"name","state","city","phone","website","address"
"The Ravine Golf Course","AL","Demopolis","","",""
"Anderson Golf Club","AL","Anderson","","",""
"Willow Point Country Club","AL","Alexander City","+1 256-212-1407","https://www.willowpoint.com/","2544 Willow Point Road, Alexander City, AL, 35010"
"Anniston Country Club","AL","Anniston","","","Anniston, AL"
"Andalusia Country Club","AL","Andalusia","","","Andalusia, AL"
"Alpine Bay Resort","AL","Alpine","","",""
"Indian Oaks Golf Club","AL","Anniston","","","Anniston, AL"
"Big Spring Lake Golf","AL","Albertville","","",""
"Twin Lakes Golf Club","AL","Arab","","","Arab, AL"
"Brookside Golf Course","AL","Arab","","",""
"Wills Creek Country Club","AL","Attalla","","","Attalla, AL"
"Pine Hill Country Club","AL","Anniston","","","Anniston, AL"
"Southern Gayles Golf Course","AL","Athens","+1 256-232-9888","","22230 Mooresville Road, Athens, AL, 35613"
"Pines Crossing Golf Course","AL","Auburn","","","900 Country Club Drive, Auburn, AL, 36830"
"Brook Graveyard at Bent Brook Golf Course","AL","Bessemer","","","Bessemer, AL"
"Windmill Brook at Bent Brook Golf Course","AL","Bessemer","","","Bessemer, AL"
"Graveyard Windmill at Bent Brook Golf Course","AL","Bessemer","","",""
"Frank House Municipal Golf Course","AL","Bessemer","+1-205 424-9540","https://www.bessemeral.org/frank-house/","801 Golf Course Road, Bessemer, AL, 35022"
"East at Country Club of Birmingham","AL","Birmingham","","","3325 Country Club Road, Birmingham, AL"
"Woodward Golf Club","AL","Bessemer","","",""
"Founders at Greystone Golf Country Club","AL","Birmingham","","","Birmingham, AL"
"Grayson Valley Country Club","AL","Birmingham","","","Birmingham, AL"
"Inverness Country Club","AL","Birmingham","","",""
"Mountain Brook Club","AL","Birmingham","","","Birmingham, AL"
"Pine Tree Country Club","AL","Birmingham","","","Birmingham, AL"
"Vestavia Country Club","AL","Birmingham","","https://www.vestaviacc.com/18-hole-golf-course","400 Beaumont Drive, Birmingham, AL, 35216"
"Riverchase Country Club","AL","Birmingham","","","2000 Club Road, Hoover, AL, 35244"
"Roebuck Municipal Golf Course","AL","Birmingham","","","8920 Roebuck Boulevard, Birmingham, AL, 35206"
"Hoover Country Club","AL","Birmingham","","","Birmingham, AL"
"West at Country Club of Birmingham","AL","Birmingham","","","3325 Country Club Road, Birmingham, AL"
"Clear Creek Golf Club","AL","Boaz","","","Boaz, AL"
"Hidden Valley Golf Course","AL","Bryant","","","Bryant, AL"
"Cherokee Country Club","AL","Centre","","",""
"Juniper Creek Golf","AL","Brewton","","","Brewton, AL"
