name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Evans Barnes Golf Course,AL,Andalusia,Blue/White,34.5,113,,,3283,5 3 4 4 4 3 5 4 4,6 7 2 1 3 8 9 5 4
Evans Barnes Golf Course,AL,Andalusia,Red/Yellow,,,35.5,114,2758,5 3 4 4 4 3 5 4 4,6 7 2 1 3 8 9 5 4
The Hill,AL,Anniston,Mens,33.8,113,,,2875,5 3 5 3 4 4 3 4 4,5 4 7 3 9 2 1 8 6
The Hill,AL,Anniston,Ladies,,,34.3,116,2875,5 3 5 3 4 4 3 4 4,5 4 7 3 9 2 1 8 6
Atmore Country Club,AL,Atmore,Gold,34.4,117,,,3116,4 4 3 4 4 4 5 3 4,7 3 8 2 5 4 1 6 9
Atmore Country Club,AL,Atmore,White,33.6,113,34.1,115,2954,4 4 3 4 4 4 5 3 4,7 3 8 2 5 4 1 6 9
Atmore Country Club,AL,Atmore,Red,,,32.5,105,2467,4 4 3 4 4 4 5 3 4,7 3 8 2 5 4 1 6 9
Holly Hills Municipal Golf Course,AL,Bay Minette,Blue,35.4,121,,,3116,4 3 5 4 4 4 4 3 5,3 9 4 6 1 7 2 8 5
Holly Hills Municipal Golf Course,AL,Bay Minette,White,34.6,117,,,2967,4 3 5 4 4 4 4 3 5,3 9 4 6 1 7 2 8 5
Holly Hills Municipal Golf Course,AL,Bay Minette,Yellow,33.7,114,35.1,119,2747,4 3 5 4 4 4 4 3 5,3 9 4 6 1 7 2 8 5
Holly Hills Municipal Golf Course,AL,Bay Minette,Red,,,33.6,113,2649,4 3 5 4 4 4 4 3 5,3 9 4 6 1 7 2 8 5
Brundidge Country Club,AL,Brundidge,White,35.4,121,,,3008,4 4 3 5 4 4 4 3 5,6 9 2 8 1 5 3 4 7
Brundidge Country Club,AL,Brundidge,Red,,,35,118,2616,4 4 3 5 4 4 4 3 5,6 9 2 8 1 5 3 4 7
Clanton,AL,Clanton,Blue,32.6,110,,,2888,5 3 4 4 3 3 4 4 4,5 6 9 1 2 7 8 3 4
Clanton,AL,Clanton,White,31.6,105,,,2744,5 3 4 4 3 3 4 4 4,5 6 9 1 2 7 8 3 4
Clanton,AL,Clanton,Red,,,33.6,113,2706,5 3 4 4 3 3 4 4 4,5 6 9 1 2 7 8 3 4
Elba Country Club,AL,Elba,Blue,34.9,123,,,3168,4 3 5 4 3 5 4 3 5,5 9 1 8 3 4 7 6 2
Elba Country Club,AL,Elba,White,34.6,117,,,2992,4 3 5 4 3 5 4 3 5,5 9 1 8 3 4 7 6 2
Elba Country Club,AL,Elba,Yellow,32.4,105,,,2491,4 3 5 4 3 5 4 3 5,5 9 1 8 3 4 7 6 2
Elba Country Club,AL,Elba,Red,,,33.3,112,2283,4 3 5 4 3 5 4 3 5,5 9 1 8 3 4 7 6 2
Evergreen Golf Course (AL),AL,Evergreen,Blue,36.6,123,,,3268,4 4 4 3 5 5 4 3 4,5 1 3 6 4 8 2 9 7
Evergreen Golf Course (AL),AL,Evergreen,White,35.4,121,,,3118,4 4 4 3 5 5 4 3 4,5 1 3 6 4 8 2 9 7
Evergreen Golf Course (AL),AL,Evergreen,Red,,,33.6,113,2659,4 4 4 3 5 5 4 3 4,5 1 3 6 4 8 2 9 7
Fayette Country Club,AL,Fayette,White/Red,34.6,117,,,2884,5 4 3 4 4 5 3 4 4,3 7 8 4 1 2 9 6 5
Fayette Country Club,AL,Fayette,Blue,,,33,107,2430,5 4 3 4 4 5 3 4 4,3 7 8 4 1 2 9 6 5
River Oaks Golf Course (AL),AL,Geneva,Black/White,35.4,121,,,3137,4 3 5 4 4 4 4 5 3,2 9 3 4 5 7 6 1 8
River Oaks Golf Course (AL),AL,Geneva,Blue/Red,,,33.1,105,2195,4 3 5 4 4 4 4 5 3,2 9 3 4 5 7 6 1 8
Greensboro,AL,Greensboro,Member,34.7,125,,,3153,4 4 4 5 3 4 3 5 4,2 9 5 7 6 4 8 1 3
Greensboro,AL,Greensboro,Ladies,,,34.9,117,2710,4 4 4 5 3 4 3 5 4,2 9 5 7 6 4 8 1 3
Greensboro,AL,Greensboro,Senior,32.8,108,,,2710,4 4 4 5 3 4 3 5 4,2 9 5 7 6 4 8 1 3
Greenville Country Club (AL),AL,Greenville,Blue/Orange,34.1,119,,,2859,4 5 4 3 4 3 4 3 5,3 8 7 4 9 2 1 6 5
Greenville Country Club (AL),AL,Greenville,White/Blue,33.5,117,,,2694,4 5 4 3 4 3 4 3 5,3 8 7 4 9 2 1 6 5
Greenville Country Club (AL),AL,Greenville,Ladies Red,,,33.6,121,2490,4 5 4 3 4 3 4 3 5,3 8 7 4 9 2 1 6 5
Marion Military Institute Golf Course,AL,Marion,Blue,34.6,117,,,2974,5 4 5 4 3 4 4 3 4,6 4 5 1 8 3 9 2 7
Marion Military Institute Golf Course,AL,Marion,Red,,,33.5,109,2470,5 4 5 4 3 4 4 3 4,6 4 5 1 8 3 9 2 7
Opp Country Club,AL,Opp,White,33.6,113,,,2882,4 3 4 5 4 5 3 4 3,8 9 7 4 3 1 5 2 6
Opp Country Club,AL,Opp,Red,32.1,107,32.6,109,2747,4 3 4 5 4 5 3 4 3,8 9 7 4 3 1 5 2 6
Pell City,AL,Pell City,White,35.4,121,,,3004,4 5 3 4 3 5 4 4 4,5 3 9 7 8 4 1 2 6
Pell City,AL,Pell City,Red,,,35.6,119,2834,4 5 3 4 3 5 4 4 4,5 3 9 7 8 4 1 2 6
The Knolls Country Club,AL,Reform,Mens,34.6,117,,,2961,4 5 4 3 5 4 4 4 3,2 1 5 9 3 4 6 7 8
The Knolls Country Club,AL,Reform,Ladies,,,35.1,119,2961,4 5 4 3 5 4 4 4 3,2 1 5 9 3 4 6 7 8
Roanoke Country Club (AL),AL,Roanoke,White,34.6,117,35.1,119,2824,4 4 3 4 3 4 4 5 5,8 6 7 3 2 1 5 9 4
Roanoke Country Club (AL),AL,Roanoke,Red,33,107,33.5,109,2344,4 4 3 4 3 4 4 5 5,8 6 7 3 2 1 5 9 4
Scottsboro Golf & Country Club,AL,Scottsboro,Blue,35.4,121,,,3015,3 4 5 4 4 3 5 4 4,7 9 5 2 6 8 1 4 3
Scottsboro Golf & Country Club,AL,Scottsboro,White,34.6,117,,,2875,3 4 5 4 4 3 5 4 4,7 9 5 2 6 8 1 4 3
Scottsboro Golf & Country Club,AL,Scottsboro,Red,,,33.6,113,2583,3 4 5 4 4 3 5 4 4,7 9 5 2 6 8 1 4 3
Craig Golf Course,AL,Selma,Blue,35.4,121,,,3187,4 3 4 5 4 4 4 3 5,6 3 2 5 8 4 1 9 7
Craig Golf Course,AL,Selma,Red,,,33.6,113,2596,4 3 4 5 4 4 4 3 5,6 3 2 5 8 4 1 9 7
Spring Creek Golf Course (AL),AL,Tuscumbia,Mens,35.4,121,,,3005,4 3 4 4 5 4 3 4 5,7 9 5 6 2 4 8 3 1
Spring Creek Golf Course (AL),AL,Tuscumbia,Ladies,,,35.9,123,3005,4 3 4 4 5 4 3 4 5,7 9 5 6 2 4 8 3 1
Union Springs,AL,Union Springs,Blue,35.4,121,,,3186,4 3 4 4 4 4 3 5 5,6 1 7 4 2 3 8 9 5
Union Springs,AL,Union Springs,White,35.1,119,,,3034,4 3 4 4 4 4 3 5 5,6 1 7 4 2 3 8 9 5
Union Springs,AL,Union Springs,Gold,32.6,109,,,2584,4 3 4 4 4 4 3 5 5,6 1 7 4 2 3 8 9 5
Union Springs,AL,Union Springs,Red,,,33.5,109,2361,4 3 4 4 4 4 3 5 5,6 1 7 4 2 3 8 9 5
Oak Hill Country Club (AL),AL,Sulligent,Gold,34.6,117,,,2855,4 4 3 5 4 4 4 4 4,6 5 1 9 2 8 3 7 4
Oak Hill Country Club (AL),AL,Sulligent,Red,,,33.5,109,2265,4 4 3 5 4 4 4 4 4,6 5 1 9 2 8 3 7 4
Sumter Country Club,AL,York,Blue,35.4,121,,,3222,4 3 5 4 3 5 4 4 4,8 1 6 3 2 9 4 5 7
Sumter Country Club,AL,York,White,34.6,117,35.1,119,2920,4 3 5 4 3 5 4 4 4,8 1 6 3 2 9 4 5 7
Sumter Country Club,AL,York,Red,,,33.5,109,2303,4 3 5 4 3 5 4 4 4,8 1 6 3 2 9 4 5 7
Headland Country Club,AL,Headland,White,35.4,121,,,3058,3 5 4 5 4 4 4 3 4,8 5 3 4 6 2 9 7 1
Headland Country Club,AL,Headland,Red,,,33.6,113,2560,3 5 4 5 4 4 4 3 4,8 5 3 4 6 2 9 7 1
Dogwood Hills Golf Course (AL),AL,Brewton,Mens,35.4,121,,,3154,4 3 5 4 4 4 3 4 5,9 1 4 5 7 3 6 8 2
