"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"The Ravine Golf Course","AL","Demopolis","Blue","69.7","119","","","6401","4 4 4 3 4 4 3 5 4 5 4 4 3 4 3 4 4 5","9 7 3 15 5 11 17 13 1 4 8 6 16 14 18 10 12 2"
"The Ravine Golf Course","AL","Demopolis","White","68.2","115","","","5920","4 4 4 3 4 4 3 5 4 5 4 4 3 4 3 4 4 5","9 7 3 15 5 11 17 13 1 4 8 6 16 14 18 10 12 2"
"The Ravine Golf Course","AL","Demopolis","Gold","65.1","109","","","5278","4 4 4 3 4 4 3 5 4 5 4 4 3 4 3 4 4 5","9 7 3 15 5 11 17 13 1 4 8 6 16 14 18 10 12 2"
"The Ravine Golf Course","AL","Demopolis","Red","","","68.1","115","5086","4 4 4 3 4 4 3 5 4 5 4 4 3 4 3 4 4 5","9 7 3 15 5 11 17 13 1 4 8 6 16 14 18 10 12 2"
"Anderson Golf Club","AL","Anderson","White","65.1","109","","","5035","4 4 5 4 3 5 3 4 4 4 4 3 4 3 5 4 4 4","9 5 17 3 1 11 7 13 15 10 18 6 14 2 12 4 16 8"
"Anderson Golf Club","AL","Anderson","Red","","","65.9","107","4536","4 4 5 4 3 5 3 4 4 4 4 3 4 3 5 4 4 4","9 5 17 3 1 11 7 13 15 10 18 6 14 2 12 4 16 8"
"Willow Point Country Club","AL","Alexander City","Black","75.4","133","","","7465","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Blue","73.4","128","","","7033","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Willow","72.1","127","","","6776","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","White","70.9","125","","","6528","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Mimosa","69.5","119","","","6275","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Gold","68.2","116","","","6018","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Weeping Willow","66","110","","","5632","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Silver","66","109","71.3","122","5554","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Red","64.1","105","69.1","117","5149","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Red/Green","62.1","100","66.3","111","4662","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Willow Point Country Club","AL","Alexander City","Green","61.1","99","64.8","107","4387","4 4 5 3 4 5 4 3 4 4 3 5 3 4 4 4 4 5","5 11 1 7 15 13 9 17 3 12 18 4 8 2 14 16 6 10"
"Anniston Country Club","AL","Anniston","Blue","70.2","129","","","6254","4 4 4 3 3 4 4 4 4 4 5 3 4 4 4 3 5 4","5 3 15 9 13 1 17 11 7 6 18 4 14 2 8 12 16 10"
"Anniston Country Club","AL","Anniston","White","68.4","128","","","5883","4 4 4 3 3 4 4 4 4 4 5 3 4 4 4 3 5 4","5 3 15 9 13 1 17 11 7 6 18 4 14 2 8 12 16 10"
"Anniston Country Club","AL","Anniston","Gold","65.2","122","","","5214","4 4 4 3 3 4 4 4 4 4 5 3 4 4 4 3 5 4","5 3 15 9 13 1 17 11 7 6 18 4 14 2 8 12 16 10"
"Anniston Country Club","AL","Anniston","Red","","","69.5","118","5042","4 4 4 3 3 4 4 4 4 4 5 3 4 4 4 3 5 4","5 3 15 9 13 1 17 11 7 6 18 4 14 2 8 12 16 10"
"Andalusia Country Club","AL","Andalusia","Blue","70.3","123","","","6332","5 4 3 5 3 4 5 4 3 5 4 3 5 4 4 3 4 4","3 11 15 5 17 1 7 9 13 4 8 18 2 6 14 16 12 10"
"Andalusia Country Club","AL","Andalusia","White","69.6","119","","","6132","5 4 3 5 3 4 5 4 3 5 4 3 5 4 4 3 4 4","3 11 15 5 17 1 7 9 13 4 8 18 2 6 14 16 12 10"
"Andalusia Country Club","AL","Andalusia","Gold","66.2","109","","","5465","5 4 3 5 3 4 5 4 3 5 4 3 5 4 4 3 4 4","3 11 15 5 17 1 7 9 13 4 8 18 2 6 14 16 12 10"
"Andalusia Country Club","AL","Andalusia","Gold Short","65.2","107","","","5250","5 4 3 5 3 4 5 4 3 5 4 3 5 4 4 3 4 4","3 11 15 5 17 1 7 9 13 4 8 18 2 6 14 16 12 10"
