"name","city","state","reason"
"Hillcrest","Pulaski","AL","9-hole"
"Sweetens Cove Golf Club","South Pittsburg","AL","9-hole"
"Evans Barnes Golf Course","Andalusia","AL","9-hole"
"The Hill","Anniston","AL","9-hole"
"Atmore Country Club","Atmore","AL","9-hole"
"Holly Hills Municipal Golf Course","Bay Minette","AL","9-hole"
"Brundidge Country Club","Brundidge","AL","9-hole"
"Clanton","Clanton","AL","9-hole"
"Isle Dauphine Club Golf Course","Dauphin Island","AL","9-hole"
"High Pointe","Eight Mile","AL","9-hole"
"Elba Country Club","Elba","AL","9-hole"
"Evergreen Golf Course","Evergreen","AL","9-hole"
"Fayette Country Club","Fayette","AL","9-hole"
"De Soto","Fort Payne","AL","9-hole"
"River Oaks Golf Course","Geneva","AL","9-hole"
"Greensboro","Greensboro","AL","9-hole"
"Greenville Country Club","Greenville","AL","9-hole"
"Marion Military Institute Golf Course","Marion","AL","9-hole"
"Opp Country Club","Opp","AL","9-hole"
"Pell City","Pell City","AL","9-hole"
"The Knolls Country Club","Reform","AL","9-hole"
"Roanoke Country Club","Roanoke","AL","9-hole"
"Scottsboro Golf & Country Club","Scottsboro","AL","9-hole"
"Craig Golf Course","Selma","AL","9-hole"
"Pineview","Thomasville","AL","9-hole"
"Spring Creek Golf Course","Tuscumbia","AL","9-hole"
"Union Springs","Union Springs","AL","9-hole"
"Oak Hill Country Club","Sulligent","AL","9-hole"
"Sumter Country Club","York","AL","9-hole"
"Amory Golf Course","Amory","AL","9-hole"
"Booneville Golf & Country Club","Booneville","AL","9-hole"
"Fulton","Fulton","AL","9-hole"
"Whispering Pines/Columbus AFB","Columbus","AL","9-hole"
"Ponta Creek","Meridian","AL","9-hole"
"Waynesboro Country Club","Waynesboro","AL","9-hole"
"Pascagoula Country Club","Pascagoula","AL","9-hole"
"Cloudmont","Mentone","AL","9-hole"
"Headland Country Club","Headland","AL","9-hole"
"Luverne Country Club","Luverne","AL","9-hole"
"Magnolia Meadows Golf Course","Columbiana","AL","9-hole"
"Dogwood Hills Golf Course","Brewton","AL","9-hole"
"Lake View McCalla","Lake View","AL","9-hole"
"The Greens At Auburn Golf Course","Auburn","AL","9-hole"
"Blue Lake","Horseshoe Bay","AL","9-hole"
"The Blakely Town & Country Club","Blakely","AL","9-hole"
"One Club","Gulf Shores","AL","9-hole"
"Beckart","Lindale","AL","9-hole"
"Oxbow Creek Golf Course","Columbus","AL","9-hole"
"Marshall/Bradley","Fort Benning","AL","9-hole"
"Marshall/Patton","Fort Benning","AL","9-hole"
"Trion","Trion","AL","9-hole"
"Valley Links","French Lick","AL","9-hole"
"Gulf Links Golf Center","Foley","AL","golf-center"
"Talladega Municipal Golf","Talladega","AL","closed-9hole"
"Clay County Public Golf Course","Ashland","AL","9hole-nocard"
"Westside Golf","Birmingham","AL","9hole-nocard"
"Deer Haven Golf Club at Roland Cooper State Park","Camden","AL","9hole-nocard"
"Green Hill Golf Course","Dothan","AL","9hole-nocard"
"Hatchett Creek Golf Club","Goodwater","AL","9hole-nocard"
"Linden Country Club","Linden","AL","9hole-nocard"
"Livingston Country Club","Livingston","AL","9hole-nocard"
"Green Briar Golf Course","Morris","AL","9hole-nocard"
"Rainsville Golf & Country Club","Rainsville","AL","9hole-nocard"
"Trojan Oaks Golf Course","Troy","AL","9hole-nocard"
"Old Pine Golf Course","Andalusia","AL","9hole-nocard"
"Aliceville Golf Course","Aliceville","AL","9hole-nocard"
"Deer Valley Links Golf Course","Chelsea","AL","9hole-nocard"
"Magnolia Springs Golf","Foley","AL","9hole-nocard"
"Jackson Links Golf Course","Jackson","AL","9hole-nocard"
"Meadowlake Golf Course","Theodore","AL","9hole-nocard"
"Rolling Hills Golf Course","Valley","AL","9hole-nocard"
"Choctaw Country Club","Butler","AL","9hole-nocard"
"Smoky Eagle Golf Course","Albertville","AL","9hole-nocard"
"Valleyside/Lakeside at Valley Hill Country Club","Huntsville","AL","multinine-combo-dup"
"Lakeside/Hillside at Valley Hill Country Club","Huntsville","AL","multinine-combo-dup"
"Hillside/Valleyside at Valley Hill Country Club","Huntsville","AL","multinine-combo-dup"
