OGA_course,city,par9,library_status,library_match
Ajo Country Club,Ajo,36,IN LIB,Ajo Country Club and Golf Course
Alpine Country Club,Alpine,35,IN LIB,Alpine Golf & Country Club
Roadhaven Golf Course,Apache Junction,27,IN LIB,Roadhaven Resort
Mesa View Golf Course,Bagdad,30,IN LIB,Mesa View Golf Course
Beaver Dam Lodge Golf Rv Resort,Beaver Dam,27,IN LIB,Beaver Dam Lodge Golf Course (Hamilton Ranch)
Chaparral Country Club,Bullhead City,32,IN LIB,Chaparral Golf Course
Riverview Rv Resort,Bullhead City,27,IN LIB,Riverview Golf Course
Club Campestre De Cananea,Cananea,36,MISSING,
Tierra Grande Country Club,Casa Grande,35,IN LIB,Tierra Grande Golf Club
Coyote Trails Golf Course,Cottonwood,33,IN LIB,Coyote Trails Golf Cours (ex Pine Shadows)
Oasis Golf Club,Florence,36,IN LIB,Golf Club at Oasis
Firerock Country Club Littlerock Course,Fountain Hills,32,MISSING,
Desert Mirage Golf Course,Glendale,31,IN LIB,Desert Mirage Golf Course
The 500 Club Futures Course,Glendale,28,MISSING,
Cobre Valle Country Club,Globe,36,MISSING,
Tortuga At Haven Public Golf Club,Green Valley,27,MISSING,
Hayden Golf Club,Hayden,35,IN LIB,Hayden Golf Club
Hidden Cove Golf Course,Holbrook,36,IN LIB,Hidden Cove Golf Course
Kearny Golf Club,Kearny,35,IN LIB,Kearny Golf Club
Bridgewater Links Golf Course,Lake Havasu City,30,IN LIB,Bridgewater Links
Havasu Island Golf Course,Lake Havasu City,32,MISSING,
Aguila Nine Golf Course,Laveen,27,MISSING,
Four Peaks Course At Sunland Springs Village,Mesa,31,IN LIB,Sunland Springs Golf
Nine Hole Executive At Viewpoint Golf Resort,Mesa,33,MISSING,
Royal Palms Golf Course,Mesa,30,IN LIB,Royal Palms Golf Course
San Tan Course At Sunland Springs Village,Mesa,33,IN LIB,Sunland Springs Golf
Stripe Show Golf Club,Mesa,29,MISSING,
Superstition Course At Sunland Springs Village,Mesa,32,IN LIB,Sunland Springs Golf
Willow Springs Golf Course,Mohave Valley,27,MISSING,
Pine Meadow Country Club Estates,Overgaard,34,MISSING,
Havasu Springs Resort,Parker,27,MISSING,
Encanto Nine Golf Course,Phoenix,30,MISSING,
Palo Verde Golf Course,Phoenix,30,IN LIB,Palo Verde Golf Course
Paradise Peak West,Phoenix,29,IN LIB,Paradise Peak West Golf Course
Apache Sun Golf Club,Queen Creek,34,MISSING,
Coronado Golf Course,Scottsdale,31,IN LIB,Coronado Golf Course
Scottsdale Shadows Golf Club,Scottsdale,27,IN LIB,Scottsdale Shadows Executive Golf Course
Starfire Golf Club The Mulligan 9,Scottsdale,28,MISSING,
Canyon Mesa Country Club,Sedona,28,IN LIB,Canyon Mesa Country Club
Poco Diablo Resort,Sedona,27,IN LIB,Poco Diablo Pitch & Putt
Snowflake Municipal Golf Course 9 Hole Course,Snowflake,36,MISSING,
Quail Run Executive Golf Course,Sun City,31,IN LIB,Quail Run Golf Course
Lakes Golf Course At Oakwood Country Club,Sun Lakes,36,MISSING,
Palms Golf Course At Oakwood Country Club,Sun Lakes,36,MISSING,
Sonoran Golf Course At Oakwood Country Club,Sun Lakes,36,MISSING,
Shalimar Golf Club,Tempe,33,MISSING,
El Conquistador Golf Tennis Pusch X9 Course,Tucson,35,MISSING,
Voyager Rv Resort And Golf Course,Tucson,27,IN LIB,Voyager RV Resort and Golf Course
Twin Lakes Municipal Golf Course,Willcox,36,IN LIB,Twin Lakes Municipal Golf Course
Foothills Executive Golf Course,Yuma,36,MISSING,
Foothills Par 3 Golf Course,Yuma,27,IN LIB,Foothills Par 3 Golf Course
Fortuna Delrey Golf Course,Yuma,36,IN LIB,Fortuna Delrey Golf Course
Ironwood Golf Course,Yuma,31,IN LIB,Ironwood Golf Club
Westwind Rv Golf Resort,Yuma,27,IN LIB,Westwind Golf Course
