name,state,city
Arizona Country Club,AZ,Phoenix
Palo Verde Golf Course (Phoenix),AZ,Phoenix
Paradise Peak West Golf Course,AZ,Phoenix
Cañada Course,AZ,Oro Valley
Conquistador Course,AZ,Oro Valley
Viewpoint Championship Course,AZ,Mesa
Viewpoint 9 Hole Executive Course,AZ,Mesa
Private golf course,AZ,Phoenix
Snakehole Golf & Country Club,AZ,Apache Junction
Sewailo,AZ,Tucson
Mountain Shadows Golf Course,AZ,Paradise Valley
Lil’ Wick,AZ,Wickenburg
Canyon At Forest Highlands,AZ,Flagstaff
Randolf Golf Complex,AZ,Tucson
#8 White Tee,AZ,Bullhead City
Cocopah Rio Colorado Golf Course,AZ,Somerton
#2 Tee White,AZ,Bullhead City
#2 Tee Red,AZ,Bullhead City
green #4,AZ,Bullhead City
Ancala Country Club,AZ,Scottsdale
McDowell Mountain Golf Club,AZ,Scottsdale
Starfire Golf Club,AZ,Scottsdale
StoneRidge Golf Course,AZ,Prescott Valley
Randolph Golf Complex,AZ,Tucson
Cocopah Bend Golf Course,AZ,Yuma
Valley Golf Center,AZ,Avondale
Ventana Canyon Golf Course,AZ,Tucson
Starr Pass Golf Course,AZ,Tucson
Big Wick,AZ,Wickenburg
Tuscany Falls Golf Club,AZ,Goodyear
Silverleaf Country Club,AZ,Scottsdale
Eagle Mountain Golf Club,AZ,Fountain Hills
