"name","state","city","phone","website","address"
"Acacia Mesquite At Kierland Golf Club","AZ","Scottsdale","(480) 922-9283","http://kierlandgolf.com","East Acoma Drive, 85254"
"Agave Highlands","AZ","Cornville","111.9632486","http://agavehighlandsgolf.com","Verde Santa Fe Parkway, 86325"
"Aguila Golf Course","AZ","Laveen","1775577054","https://www.phoenix.gov/parks/golf/phoenix-golf-courses/aguila","8440 South 35th Avenue, 85339"
"Ahwatukee Country Club","AZ","Phoenix","480-893-1161","http://www.ahwatukeegolf.com/","South 48th Street, 85076"
"Ak Chin Southern Dunes Golf Club","AZ","Maricopa","480.367.8949","http://www.akchinsoutherndunes.com/","Maricopa Road, 85139"
"Alta Mesa Country Club","AZ","Mesa","1010441561","http://www.altamesagolf.com","1460 North Alta Mesa Drive, 85205"
"Ancala Country Club","AZ","Scottsdale","+1-480-391-1000","http://www.ancalacc.com","North 118th Street, 85259"
"Anthem Golf & Country Club","AZ","Anthem","(623) 742-6200","https://www.invitedclubs.com/clubs/anthem-golf-country-club","2708 W Anthem Club Dr, Anthem, AZ 85086, USA, 85086"
"Anthem Golf Country Club Ironwood Course","AZ","Anthem","15273336560","http://invitedclubs.com/clubs/anthem-golf-country-club","2708 West Anthem Club Drive, 85086"
"Anthem Golf Country Club Persimmon Course","AZ","Anthem","15273336560","http://invitedclubs.com/clubs/anthem-golf-country-club","2708 West Anthem Club Drive, 85086"
"Apache Course At Desert Mountain Golf Club","AZ","Scottsdale","19906355376","http://www.desertmountain.com","10550 East Desert Hills Drive, 85262"
"Apache Creek Golf Club","AZ","Apache Junction","(480) 982-2677","https://apachecreekgolf.com/","South Ironwood Drive, 85120"
"Apache Stronghold Golf Club","AZ","Cutter","(928) 475-7800","https://apachegoldcasinos.com/","777 Geronimo Springs Blvd, San Carlos, AZ 85550, USA, 85550"
"Apache Wells Country Club","AZ","Mesa","2147483647","http://www.apachewellscountryclub.com","5601 East Hermosa Vista Drive, 85215"
"Arizona Biltmore Golf Club Estates Course","AZ","Phoenix","1727197344","http://www.azbiltmoregc.com","2400 East Missouri Avenue, 85016"
"Arizona Biltmore Golf Club Links Course","AZ","Phoenix","1727197344","http://azbiltmoregc.com/","2400 East Missouri Avenue, 85016"
"Arizona City Golf Club","AZ","Arizona City","520-466-5216","http://arizonacitygolfclub.com","8899 West Avenida De Amigos Circle, 85123"
"Arizona Golf Resort","AZ","Mesa","480-832-3202","https://www.arizonagolfresort.com/","425 S Power Rd, Mesa, AZ 85206, USA, 85208"
"Arizona Grand Resort","AZ","Phoenix","3333333333","http://www.arizonagrandgolf.com/","South Pointe Parkway East, 85076"
"Arizona National Golf Club","AZ","Tucson","520.749.4089","http://arizonanationalgolfclub.com","East Sabino Greens Drive, 85749"
"Arizona Traditions Golf Club","AZ","Surprise","623-584-4000","http://aztraditions.com","North Traditions Loop Road, 85388"
"Arroyo Lakes At Gainey Ranch Golf Club","AZ","Scottsdale","480-951-0022","http://invitedclubs.com/clubs/gainey-ranch-golf-club","7600 North Gainey Suites Drive, 85258"
"Aspen Valley Golf Club","AZ","Flagstaff","1064649425","http://www.aspenvalleygolf.com","North Lakeview Lane, 86004"
"Bc Ranch Golf Club","AZ","Lake Montezuma","+19285674487","https://www.eventseeker.com/venue/258632-beaver-creek-golf-club-sedona","4105 East Lake Shore Drive, 86342"
"Bear Creek Golf Complex","AZ","Chandler","(480) 883-8200","https://www.bearcreekaz.com/","500 E Riggs Rd, Chandler, AZ 85249, USA, 85249"
"Bear Creek Golf Complex Bear Course","AZ","Chandler","1503068273","http://www.bearcreekaz.com","500 East Riggs Road, 85249"
"Big Wick","AZ","Wickenburg","(928) 415-8120","http://www.wickenburgranch.com/","3430 Club Terrace Way, Wickenburg, AZ 85390, USA, 85390"
"Birdie Ranch At Silver Creek","AZ","Show Low","928.537.2744","http://www.birdieranch.com","2051 Silver Lake Boulevard, 85901"
"Bison Golf Club","AZ","Show Low","928.537.4564","http://www.bisongolf.net","3638 West Old Linden Road, 85901"
"Blackstone Country Club","AZ","Peoria","623.707.8700","http://blackstonecountryclub.com","West Blackstone Drive, 85383"
"Briarwood Country Club","AZ","Sun City West","(623) 584-5301","http://briarwoodcc.com/","20800 N 135th Ave, Sun City West, AZ 85375, USA, 85375"
"Briarwood Country Club At Sun City West","AZ","Sun City West","2999999999","http://briarwoodcc.com","North 135th Avenue, 85375"
"Camelback Golf Club Ambiente Course","AZ","Scottsdale","","http://camelbackgolf.com","7847 North Mockingbird Lane, 85253"
"Camelback Golf Club Padre Course","AZ","Scottsdale","9082025124","http://camelbackgolf.com","8412 North Golf Drive, 85253"
"Canoa Hills Golf Course","AZ","Green Valley","(520) 648-1880","http://www.canoaranchgolfclub.com","South Camino del Sol, 85622"
"Canoa Ranch Golf Club","AZ","Green Valley","520-352-1082","https://www.canoaranchgolfclub.com/","South Camino del Sol, 85622"
"Canyon At Forest Highlands Golf Club","AZ","Flagstaff","2100059483","http://www.fhgc.com","Tolani Ovi, 86001"
"Canyon Hill At La Paloma Country Club","AZ","Tucson","520.299.1500","http://www.lapalomacc.com","3660 East Sunrise Drive, 85718"
"Capital Canyon Club","AZ","Prescott","928.350.3150","http://www.capitalcanyonclub.com","2060 Golf Club Lane, 86303"
"Catalina Course At Omni Tucson National Golf Resort Spa","AZ","Tucson","(520) 297-2271","http://tucsonnational.com","2864 Casas Media, 85742"
"Catalina Saddlebrooke At Saddlebrooke Country Club","AZ","Tucson","(520) 825-3048","http://www.saddlebrooke.org","64500 East Saddlebrooke Boulevard, 85739"
"Cave Creek Golf Course","AZ","Phoenix","1775572150","https://www.phoenix.gov/parks/golf/phoenix-golf-courses/cave-creek","West Greenway Road, 85023"
"Cañada Course","AZ","Oro Valley","(520) 544-1801","https://www.elcongolf.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","10555 N La Cañada Dr, Oro Valley, AZ 85737, USA, 85737"
"Cerbat Cliffs Golf Course","AZ","Kingman","(928) 753-6593","http://cerbatcliffsgc.com","1001 Gates Avenue, 86401"
"Cerbat Cliffs Golf Course (Kingman Municipal)","AZ","Kingman","(928) 753-6593","http://cerbatcliffsgc.com/","1001 Gates Ave, Kingman, AZ 86401, USA, 86401"
"Championship At Moon Valley Country Club","AZ","Phoenix","1646174316","http://www.moonvalleycc.com","901 West Gleneagles Drive, 85023"
"Championship At Viewpoint Golf Resort","AZ","Mesa","1503068273","http://www.viewpointgolfresort.com","North Hawes Road, 85207"
"Chiricahua Course At Desert Mountain Golf Club","AZ","Scottsdale","19906355376","http://www.desertmountain.com","9748 East Mariola Way, 85262"
"Cholla Course At We Ko Pa Golf Club","AZ","Scottsdale","9999999999","http://www.wekopa.com","Beeline Highway, 85264"
"Cimarron Golf Club","AZ","Surprise","623-975-5654","http://livegrandaz.com/cimarron","West Clearview Boulevard, 85374"
"City Of Douglas Municipal Golf Course","AZ","Douglas","3517411441","http://douglasaz.gov","1372 East Fairway Drive, 85607"
"Club West Golf Course","AZ","Phoenix","(480) 460-4400","http://www.clubwestgolf.com/","16400 S 14th Ave, Phoenix, AZ 85045, USA, 85045"
"Cochise Course At Desert Mountain Golf Club","AZ","Scottsdale","19906355376","http://www.desertmountain.com","10550 East Desert Hills Drive, 85262"
"Cocopah Bend Rv Golf Resort","AZ","Yuma","(928) 343-9300","http://www.cocopahrv.com","6800 Strand Avenue, 85364"
"Coldwater Golf Club","AZ","Avondale","623-932-9000","http://coldwatergolfclub.com/","100 North Clubhouse Drive, 85323"
"Concho Valley Country Club","AZ","Concho","","","7, Concho, AZ 85924, USA, 85924"
"Conquistador Course","AZ","Oro Valley","(520) 544-1801","https://www.elcongolf.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","10555 N La Cañada Dr, Oro Valley, AZ 85737, USA, 85737"
"Continental Country Club","AZ","Flagstaff","(928) 526-5125","http://www.continentalflagstaff.com","2380 North Oakmont Drive, 86004"
"Continental Golf Course","AZ","Scottsdale","3333333333","http://continentalgc.com","7920 East Osborn Road, 85251"
"Copper Canyon Golf Club Lake Mountain Course","AZ","Buckeye","928.588.1200","http://coppercanyongolfclub.com","26867 West Ponderosa Lane, 85396"
"Copper Canyon Golf Club Mountain Vista Course","AZ","Buckeye","928.588.1200","http://coppercanyongolfclub.com","21272 North 262nd Lane, 85396"
"Copper Canyon Golf Club Vista Lake Course","AZ","Buckeye","928.588.1200","http://coppercanyongolfclub.com","26577 West Desert Vista Boulevard, 85396"
"Corte Bella Golf Club","AZ","Sun City West","2554394267","http://www.cortebellagolfclub.com","North Carrera Drive, 85375"
"Cottonwood Country Club","AZ","Sun Lakes","1316687329","http://www.cottonwoodpaloverde.com","E J Robson Boulevard, 85248"
"Country Club Of Green Valley","AZ","Green Valley","(520) 625-8806","http://www.countryclubofgreenvalley.org","East Paseo de Golf, 85614"
"Coyote Lakes Golf Club","AZ","Surprise","2999999999","https://www.coyotelakesgolfclub.com/","North Coyote Lakes Parkway, 85378"
"Coyote Wash Golf Course","AZ","Wellton","928-785-4653","http://www.coyotewashgolfcourse.com","35000 East County 12th Street, 85356"
"Crooked Tree Golf Course","AZ","Tucson","520-744-3366","http://crookedtreegc.com/","Hedgehog Trail, 85742"
"Dave White Municipal Golf Course","AZ","Casa Grande","6213557520","http://casagrandeaz.gov/golf","North Thornton Road, 86122"
"Davis Monthan Afb General William Blanchard Course","AZ","Tucson","","","Craycroft Road, 85707"
"Deer Valley Golf Course At Sun City West","AZ","Sun City West","3333333333","http://suncitywest.com/deervalleygolfcourse","West Deer Valley Drive, 85375"
"Del Lago Golf Club","AZ","Vail","520-647-1100","http://dellagogolf.net","Via Rancho Del Lago, 85641"
"Dell Urich At Randolph Golf Course","AZ","Tucson","(520) 791-4653","http://tucsoncitygolf.com/randolph-dell-urich-golf-course","600 South Alvernon Way, 85711"
"Desert Canyon Golf Club","AZ","Fountain Hills","1021683202","http://www.desertcanyongolf.com/","10431 North Indian Wells Drive, 85268"
"Desert Forest Golf Club","AZ","Carefree","(480) 488-4589","http://desertforestgolfclub.com","North Mule Train Road, 85377"
"Desert Highlands Golf Club","AZ","Scottsdale","(480) 585.7444","http://deserthighlandsscottsdale.com","East Club Estates Drive, 85255"
"Desert Hills Golf Club","AZ","Green Valley","8974799320","http://deserthillsgolfclub.org","West Desert Hills Drive, 85622"
"Desert Hills Golf Course","AZ","Yuma","928-373-5220","http://www.cityofyumagolf.com/","1245 West Desert Hills Drive, 85365"
"Desert Mountain Renegade Golf Course","AZ","Scottsdale","(480) 488-1362","http://desertmountain.com/nicklaus-golf/renegade/","38256 N Desert Mountain Pkwy, Scottsdale, AZ 85262, USA, 85262"
"Desert Sands Golf Course","AZ","Mesa","(480) 832-0210","http://www.desertsandsgc.com","1922 South 74th Street, 85209"
"Desert Springs Golf Club","AZ","Surprise","623-546-7400","http://livegrandaz.com/desert-springs","North Remington Drive, 85374"
"Dinosaur Mountain At Gold Canyon Golf Resort","AZ","Gold Canyon","2999999999","http://gcgr.com","6100 South Kings Ranch Road, 85118"
"Dobson Ranch Golf Course","AZ","Mesa","3906007895","https://dobsonranchgolfclub.com/","South Dobson Road, 85202"
"Dorado Country Club","AZ","Tucson","(520) 885-6751","http://doradocc.com","North Dorado Club Drive, 85715"
"Dove Valley Ranch Golf Club","AZ","Cave Creek","2999999999","https://www.dovevalleyranch.com/","North Dove Lakes Drive, 85311"
"Dunes Arroyo At Gainey Ranch Golf Club","AZ","Scottsdale","480-951-0022","http://invitedclubs.com/clubs/gainey-ranch-golf-club","7760 East Vaquero Drive, 85258"
"Eagle Mountain Golf Club","AZ","Fountain Hills","(480) 816-1234","http://eaglemtn.com","East Summer Hill Boulevard, 85268"
"Eagles Nest Country Club At Pebble Creek Resort","AZ","Goodyear","1753373965","http://robson.com/communities/pebblecreek/golf","85395"
"El Conquistador Golf Tennis Canada Course","AZ","Tucson","520-544-1801","http://www.elcongolf.com/","West Carmel Pointe Drive, 85737"
