name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Continental Golf Club (Scottsdale),AZ,Scottsdale,Back,58.4,85,59.7,83,3766,,6 14 18 4 12 8 10 16 2 5 11 17 7 9 15 3 13 1
Continental Golf Club (Scottsdale),AZ,Scottsdale,Forward,57.1,83,57.5,79,3374,,6 14 18 4 12 8 10 16 2 5 11 17 7 9 15 3 13 1
Palo Verde Golf Course (Phoenix),AZ,Phoenix,White,57.3,81,57.4,82,1752,4 3 3 3 3 3 3 4 4,
TPC Scottsdale Stadium Course,AZ,Scottsdale,Championship,74.7,142,,,7261,4 4 5 3 4 4 3 4 4 4 4 3 5 4 5 3 4 4,14 8 4 18 6 12 16 2 10 11 1 15 5 7 9 17 13 3
TPC Scottsdale Stadium Course,AZ,Scottsdale,Championship/Players,72.7,135,,,6882,4 4 5 3 4 4 3 4 4 4 4 3 5 4 5 3 4 4,14 8 4 18 6 12 16 2 10 11 1 15 5 7 9 17 13 3
TPC Scottsdale Stadium Course,AZ,Scottsdale,Players,71.5,131,,,6614,4 4 5 3 4 4 3 4 4 4 4 3 5 4 5 3 4 4,14 8 4 18 6 12 16 2 10 11 1 15 5 7 9 17 13 3
TPC Scottsdale Stadium Course,AZ,Scottsdale,Players/Resort,70.8,126,,,6454,4 4 5 3 4 4 3 4 4 4 4 3 5 4 5 3 4 4,14 8 4 18 6 12 16 2 10 11 1 15 5 7 9 17 13 3
TPC Scottsdale Stadium Course,AZ,Scottsdale,Resort,68.9,123,75.0,136,6110,4 4 5 3 4 4 3 4 4 4 4 3 5 4 5 3 4 4,14 8 4 18 6 12 16 2 10 11 1 15 5 7 9 17 13 3
TPC Scottsdale Stadium Course,AZ,Scottsdale,Forward (W),70.8,122,70.8,122,,4 4 5 3 4 4 3 4 4 4 4 3 5 4 5 3 4 4,14 8 4 18 6 12 16 2 10 11 1 15 5 7 9 17 13 3
El Rio Golf & Country Club,AZ,Mohave Valley,Gold,73.1,126,,,7143,,11 1 13 5 17 9 7 15 3 18 4 8 2 16 14 12 6 10
El Rio Golf & Country Club,AZ,Mohave Valley,Black,70.6,120,,,6638,,11 1 13 5 17 9 7 15 3 18 4 8 2 16 14 12 6 10
El Rio Golf & Country Club,AZ,Mohave Valley,Copper,67.7,114,72.9,118,6046,,11 1 13 5 17 9 7 15 3 18 4 8 2 16 14 12 6 10
