"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Apache Wells Country Club","AZ","Mesa","Blue","67.9","109","","","6038","4 3 4 3 4 4 3 5 4 4 5 3 5 4 3 5 3 5","9 17 1 13 15 7 11 3 5 10 18 12 4 2 6 16 14 8"
"Apache Wells Country Club","AZ","Mesa","White","66.3","106","72","115","5755","4 3 4 3 4 4 3 5 4 4 5 3 5 4 3 5 3 5","9 17 1 13 15 7 11 3 5 10 18 12 4 2 6 16 14 8"
"Apache Wells Country Club","AZ","Mesa","Gold","64.6","103","69.9","111","5450","4 3 4 3 4 4 3 5 4 4 5 3 5 4 3 5 3 5","9 17 1 13 15 7 11 3 5 10 18 12 4 2 6 16 14 8"
"Apache Wells Country Club","AZ","Mesa","Red","63.9","99","69","108","5252","4 3 4 3 4 4 3 5 4 4 5 3 5 4 3 5 3 5","9 17 1 13 15 7 11 3 5 10 18 12 4 2 6 16 14 8"
"Apache Wells Country Club","AZ","Mesa","Green","","","63.2","99","4211","4 3 4 3 4 4 3 5 4 4 5 3 5 4 3 5 3 5","9 17 1 13 15 7 11 3 5 10 18 12 4 2 6 16 14 8"
"Scottsdale Country Club the Championship Course","AZ","Scottsdale","Palmer","68.8","124","","","6106","5 3 4 3 4 5 4 3 5 3 4 4 5 3 4 4 3 4","9 15 1 17 13 11 7 5 3 10 4 8 12 18 6 2 16 14"
"Scottsdale Country Club the Championship Course","AZ","Scottsdale","Regular","66.9","114","71.2","130","5630","5 3 4 3 4 5 4 3 5 3 4 4 5 3 4 4 3 4","9 15 1 17 13 11 7 5 3 10 4 8 12 18 6 2 16 14"
"Scottsdale Country Club the Championship Course","AZ","Scottsdale","Middle","64.4","110","68","119","5084","5 3 4 3 4 5 4 3 5 3 4 4 5 3 4 4 3 4","9 15 1 17 13 11 7 5 3 10 4 8 12 18 6 2 16 14"
"Scottsdale Country Club the Championship Course","AZ","Scottsdale","Middle/Forward","","","66.4","111","4715","5 3 4 3 4 5 4 3 5 3 4 4 5 3 4 4 3 4","9 15 1 17 13 11 7 5 3 10 4 8 12 18 6 2 16 14"
"Scottsdale Country Club the Championship Course","AZ","Scottsdale","Forward","61.2","102","64.6","107","4467","5 3 4 3 4 5 4 3 5 3 4 4 5 3 4 4 3 4","9 15 1 17 13 11 7 5 3 10 4 8 12 18 6 2 16 14"
