"name","state","reason"
"#8 White Tee","AZ","junk/noise (range-center-noise name)"
"Adobe Dam Family Golf Center","AZ","junk/noise (range-center-noise name)"
"Aguila Nine Golf Course","AZ","par3-nine (par ?, 1081y)"
"Augusta Ranch Golf Club","AZ","par3-exec (18-hole par 61)"
"Bear Creek Golf Complex Cub Course","AZ","par3-exec (18-hole par 59)"
"Beaver Dam Lodge Golf Rv Resort","AZ","par3-nine (par 27, 1049y)"
"Bellair Golf Park","AZ","par3-exec (18-hole par 58)"
"Bridgewater Links Golf Course","AZ","par3-nine (par 30, 1808y)"
"Butterfield Golf Course","AZ","par3-exec (18-hole par 54)"
"Canyon Mesa Country Club","AZ","par3-nine (par 28, 1450y)"
"Chaparral Country Club","AZ","par3-nine (par ?, 2316y)"
"Coronado Golf Course","AZ","par3-nine (par 31, 1850y)"
"Desert Mirage Golf Course","AZ","par3-nine (par ?, 2095y)"
"Desert Trails Golf Course At Sun City West","AZ","par3-exec (18-hole par 61)"
"Echo Mesa Golf Course At Sun City West","AZ","par3-exec (18-hole par 60)"
"Encanto Nine Golf Course","AZ","par3-nine (par 30, 1730y)"
"Firerock Country Club Littlerock Course","AZ","par3-nine (par 32, 0y)"
"Foothills Par 3 Golf Course","AZ","par3-nine (par 27, 1040y)"
"Four Peaks Course At Sunland Springs Village","AZ","par3-nine (par ?, 2165y)"
"Grass Clippings At Rolling Hills","AZ","par3-exec (18-hole par 59)"
"Greer Lakes","AZ","par3-exec (18-hole par 54)"
"Havasu Island Golf Course","AZ","par3-nine (par 32, 2250y)"
"Havasu Springs Resort","AZ","par3-nine (par 27, 1131y)"
"Ironwood Golf Course","AZ","par3-nine (par 31, 1720y)"
"Mesa View Golf Course","AZ","par3-nine (par 30, 1671y)"
"Moon Walk At Moon Valley Country Club","AZ","par3-exec (18-hole par 54)"
"Mountain Shadows Golf Course","AZ","par3-exec (18-hole par 54)"
"Nine Hole Executive At Viewpoint Golf Resort","AZ","par3-nine (par 33, 2162y)"
"Palm Creek Golf Club","AZ","par3-exec (18-hole par 54)"
"Palo Verde Golf Course","AZ","par3-nine (par 30, 1752y)"
"Paradise Peak West","AZ","par3-nine (par 29, 1437y)"
"Poco Diablo Resort","AZ","par3-nine (par 27, 0y)"
"Quail Canyon Golf Course","AZ","par3-exec (18-hole par 54)"
"Quail Run Executive Golf Course","AZ","par3-nine (par ?, 2071y)"
"Riverview Rv Resort","AZ","par3-nine (par 27, 1160y)"
"Roadhaven Golf Course","AZ","par3-nine (par 27, 1700y)"
"Royal Palms Golf Course","AZ","par3-nine (par 30, 1543y)"
"Scottsdale Shadows Golf Club","AZ","par3-nine (par 27, 964y)"
"Sierra Vista Golf Center At Pueblo Del Sol","AZ","junk/noise (range-center-noise name)"
"Stardust Golf Course At Sun City West","AZ","par3-exec (18-hole par 60)"
"Starfire Golf Club The Mulligan 9","AZ","par3-nine (par 28, 1660y)"
"Stripe Show Golf Club","AZ","par3-nine (par 29, 1592y)"
"Sun City Lakes Golf Club East Course","AZ","par3-exec (18-hole par 60)"
"Sun Village Golf Course","AZ","par3-exec (18-hole par 54)"
"Superstition Course At Sunland Springs Village","AZ","par3-nine (par ?, 2269y)"
"The 500 Club Futures Course","AZ","par3-nine (par 28, 1464y)"
"Tortuga At Haven Public Golf Club","AZ","par3-nine (par ?, 0y)"
"Tucson Estates Country Club Golf Course","AZ","par3-exec (18-hole par 58)"
"Turquoise Hills Family Golf Center","AZ","junk/noise (range-center-noise name)"
"Valley Golf Center","AZ","junk/noise (range-center-noise name)"
"Voyager Rv Resort And Golf Course","AZ","par3-nine (par 27, 1003y)"
"Westwind Rv Golf Resort","AZ","par3-nine (par 27, 1210y)"
"Willow Springs Golf Course","AZ","par3-nine (par 27, 1155y)"
"Willowbrook Executive Golf Course At Willowcreek Golf Course","AZ","par3-exec (18-hole par 60)"
