"name","state","city","note"
"Alpine Country Club","AZ","Alpine","legit 9 (par 35, 2650y, rNone) — hold for GPS pass"
"Apache Sun Golf Club","AZ","Queen Creek","legit 9 (par 34, 2620y, rNone) — hold for GPS pass"
"Club Campestre De Cananea","AZ","Cananea","legit 9 (par 36, 3038y, rNone) — hold for GPS pass"
"Coyote Trails Golf Course","AZ","Cottonwood","legit 9 (par 33, 4446y, r63.1) — hold for GPS pass"
"El Conquistador Golf Tennis Pusch X9 Course","AZ","Tucson","legit 9 (par 35, 2788y, rNone) — hold for GPS pass"
"Foothills Executive Golf Course","AZ","Yuma","legit 9 (par 36, 2610y, rNone) — hold for GPS pass"
"Fortuna Delrey Golf Course","AZ","Yuma","legit 9 (par 36, 3069y, rNone) — hold for GPS pass"
"Hayden Golf Club","AZ","Hayden","legit 9 (par 35, 2915y, rNone) — hold for GPS pass"
"Kearny Golf Club","AZ","Kearny","legit 9 (par 35, 3222y, rNone) — hold for GPS pass"
"Oasis Golf Club","AZ","Florence","legit 9 (par 36, 3577y, rNone) — hold for GPS pass"
"Pine Meadow Country Club Estates","AZ","Overgaard","legit 9 (par 34, 2631y, rNone) — hold for GPS pass"
"Shalimar Golf Club","AZ","Tempe","legit 9 (par 33, 2406y, rNone) — hold for GPS pass"
"Snowflake Municipal Golf Course 9 Hole Course","AZ","Snowflake","legit 9 (par 36, 3185y, rNone) — hold for GPS pass"
"Tierra Grande Country Club","AZ","Casa Grande","legit 9 (par 35, 2421y, rNone) — hold for GPS pass"
"Twin Lakes Municipal Golf Course","AZ","Willcox","legit 9 (par 36, 6631y, r70) — hold for GPS pass"
