"name","state","city","note"
"3 Parks Fairways","AZ","Florence","18 holes, no ratings — research manually"
"Ajo Country Club","AZ","Ajo","9-hole, incomplete pars (rNone, 3093y) — verify before excluding"
"Campestre De Nogales","AZ","Nogales","18 holes, no ratings — research manually"
"Cañada Course","AZ","Oro Valley","18 holes, no ratings — research manually"
"Cobre Valle Country Club","AZ","Globe","9-hole, incomplete pars (rNone, 3338y) — verify before excluding"
"Cocopah Rio Colorado Golf Course","AZ","Somerton","18 holes, no ratings — research manually"
"Coldwater Country Club","AZ","Avondale","18 holes, no ratings — research manually"
"Desert Hills Par 3 Golf Course","AZ","Yuma","18 holes, no ratings — research manually"
"Desert Springs Ranch Golf Course","AZ","Casa Grande","18 holes, no ratings — research manually"
"Gold Canyon Rv Golf Resort","AZ","Gold Canyon","18 holes, no ratings — research manually"
"Greenlee Country Club","AZ","Duncan","incomplete hole data + no men rating — research manually"
"Hidden Cove Golf Course","AZ","Holbrook","9-hole, incomplete pars (rNone, 3269y) — verify before excluding"
"Juniper Ridge R V Resort","AZ","Show Low","incomplete hole data + no men rating — research manually"
"Juniper Ridge Resort Executive Course","AZ","Show Low","18 holes, no ratings — research manually"
"Lakes Golf Course At Oakwood Country Club","AZ","Sun Lakes","9-hole, incomplete pars (rNone, 3259y) — verify before excluding"
"Loons Cove Golf Course","AZ","Holbrook","18 holes, no ratings — research manually"
"Monument Express At Troon North Golf Club","AZ","Scottsdale","incomplete hole data + no men rating — research manually"
"Palms Golf Course At Oakwood Country Club","AZ","Sun Lakes","9-hole, incomplete pars (rNone, 3249y) — verify before excluding"
"SaddleBrooke One","AZ","Tucson","18 holes, no ratings — research manually"
"San Manuel Golf Club","AZ","San Manuel","18 holes, no ratings — research manually"
"San Tan Course At Sunland Springs Village","AZ","Mesa","9-hole, incomplete pars (rNone, 2463y) — verify before excluding"
"Scottsdale National Golf Club The Bad Little Nine","AZ","Scottsdale","18 holes, no ratings — research manually"
"Scottsdale Silverado Golf Club Silver Pony Course","AZ","Scottsdale","18 holes, no ratings — research manually"
"Snakehole Golf & Country Club","AZ","Apache Junction","18 holes, no ratings — research manually"
"Sonoran Golf Course At Oakwood Country Club","AZ","Sun Lakes","9-hole, incomplete pars (rNone, 3318y) — verify before excluding"
"The First Tee Of Phoenix","AZ","Phoenix","incomplete hole data + no men rating — research manually"
"The Highlands at Brentwood Pitch & Putt","AZ","Mesa","18 holes, no ratings — research manually"
"The Score at Cottonfields Golf Course","AZ","Phoenix","18 holes, no ratings — research manually"
"Timberline Short Nine","AZ","Flagstaff","18 holes, no ratings — research manually"
"Wagon Trail To Lonesome Pine Golf Course","AZ","Steamboat","18 holes, no ratings — research manually"
"Wickenburg Ranch Golf Social Club Lil Wick","AZ","Wickenburg","18 holes, no ratings — research manually"
