name,state,city
El Macero Country Club,CA,El Macero
Mesa Verde Country Club,CA,Costa Mesa
San Juan Oaks Golf Club,CA,Hollister
Gavilan Golf Course,CA,Gilroy
CordeValle Golf Club,CA,San Martin
Pajaro Valley Golf Club,CA,Watsonville
Salinas Fairways Golf Course,CA,Salinas
The Villages Golf and Country Club,CA,San Jose
Pruneridge Golf Club,CA,Santa Clara
Saratoga Country Club,CA,Saratoga
Richmond Country Club,CA,Richmond
La Jolla Country Club,CA,La Jolla
Lone Tree Golf Course,CA,Antioch
Buenaventura Golf Course,CA,Ventura
Sierra Lakes,CA,Fontana
Cypress Point Golf Course,CA,Pebble Beach
Pacific Grove Golf Links,CA,Pacific Grove
Corral de Tierra Country Club,CA,Corral De Tierra
Tehama Golf Club,CA,Carmel
Carmel Valley Ranch Golf Course,CA,Carmel
San Joaquin Country Club,CA,Fresno
Fig Garden Golf Club,CA,Fresno
Venetian Gardens Golf Course,CA,Stockton
Victoria Golf Course,CA,Carson
Riverside Golf Course,CA,Fresno
Mount Saint Helena Golf Course,CA,Calistoga
Sea Pines Golf Course,CA,Los Osos
Morro Bay Golf Course,CA,Morro Bay
Laguna Lake Golf Course,CA,San Luis Obispo
San Luis Obispo Country Club,CA,San Luis Obispo
Chalk Mountain Golf Course,CA,Atascadero
Dairy Creek Golf Course,CA,San Luis Obispo
Pismo State Beach Golf Course,CA,Grover Beach
Emerald Hills Golf Course,CA,Emerald Hills
Peninsula Golf and Country Club,CA,San Mateo
Rancho del Rey Golf Course,CA,Atwater
Diablo Country Club,CA,Diablo
Orinda Country Club,CA,Orinda
Van Buskirk Municipal Golf Course,CA,Stockton
Elkhorn Golf Course,CA,Stockton
Castlewood Country Club - Valley Course,CA,Pleasanton
Brooktrails Golf Course,CA,Willits
Whites Bridge Country Club,CA,Jamesan
Soule Park Golf Course,CA,Ojai
Madera Golf and Country Club,CA,Madera
Madera Municipal Golf Course,CA,Madera
Ahwanhee Estates and Country Club,CA,Ahwahnee
Yosemite Lakes Golf Course,CA,Coarsegold
Mace Meadows Golf Course,CA,Pioneer
Arbuckle Golf Course,CA,Arbuckle
Meadowmont Golf Course,CA,Arnold
Desert Trails Golf Course,CA,El Centro
Bishop Golf Club,CA,Bishop
China Lake Golf Course,CA,Ridgecrest
Horse Thief Golf,CA,Tehachapi
Sycamore Canyon Golf Course,CA,Arvin
Belmont Pines Golf Course,CA,Cobb
Auburn Valley Golf Club,CA,Auburn
Bijou Municipal Golf Course,CA,South Lake Tahoe
Nevada County Country Club,CA,Grass Valley
Country Village Golf Course,CA,Jurupa Valley
Golden Era Golf Course,CA,San Jacinto
Arroyo Fairways Mobile Home Club,CA,Hemet
Oak Valley Golf Club,CA,Beaumont
Canyon Estates Golf Course,CA,Palm Springs
Indian Canyons Golf Resort North Golf Course,CA,Palm Springs
Sands Avenue Country Club,CA,Desert Hot Springs
Desert Crest Country Club,CA,Desert Hot Springs
Highland Palms Golf Course,CA,Homeland
Feather River Park Resort,CA,Blairsden
Baywood Golf Course,CA,Arcata
Benbow Valley Golf Course,CA,Garberville
Emerald Isle Golf Course,CA,Oceanside
Rancho Carlsbad Golf Course,CA,Carlsbad
Marine Memorial Golf Course,CA,Camp Pendleton North
Club Circle Golf Course,CA,Borrego Springs
Presidio Hills Golf Course,CA,San Diego
National City Golf Course,CA,National City
El Camino Country Club,CA,Oceanside
The Vineyard at Escondido Golf Course,CA,Escondido
San Diego Country Club,CA,Chula Vista
Rancho Santa Fe Golf Club,CA,Rancho Santa Fe
Santa Maria Country Club,CA,Santa Maria
Rancho Maria Golf Club,CA,Santa Maria
The Mission Club,CA,Lompoc
Sunset Ridge Golf Course,CA,Santa Maria
McCloud Golf Club,CA,McCloud
Cypress Lakes Golf Course,CA,Vacaville
Oak Creek Golf Course (Red Bluff),CA,Red Bluff
Tulare Golf and Country Club,CA,Tulare
Brentwood Country Club,CA,Los Angeles
Palm Desert Greens,CA,Palm Desert
Newport Beach Country Club,CA,Newport Beach
Eureka Municipal Golf Course,CA,Eureka
Belmont Country Club,CA,Fresno
Aliso Viejo Resort and Golf Course,CA,Aliso Viejo
Costa Mesa Country Club,CA,Costa Mesa
Saticoy Regional Golf Course,CA,Ventura
Pinnacle Hills Golf Club,CA,Hollister
Cottonwood Golf Club,CA,El Cajon
Desert Horizons Country Club,CA,Indian Wells
Eldorado Country Club,CA,Indian Wells
Reserve Golf Club,CA,Indian Wells
Petaluma Golf & Country Club,CA,Petaluma
Napa Valley Country Club,CA,Napa
Meadowood Golf Club,CA,St. Helena
Peach Tree Golf & Country Club,CA,Marysville
River Island Golf Course,CA,Porterville
Dingerville USA Golf Club & RV Resort,CA,Oroville
Skyway Golf Park,CA,Chico
Tuscan Ridge Golf Club,CA,Paradise
Colusa Golf and Country Club,CA,Colusa
Grizzly Ranch Club,CA,Portola
Cordova Golf Course,CA,Sacramento
Empire Ranch Golf Course,CA,Folsom
Fremont Park Golf Course,CA,Fremont
Santa Ana Country Club,CA,Santa Ana
Palo Cedro Golf Course,CA,Palo Cedro
Coyote Moon Golf Course,CA,Truckee
Graeagle Meadows Golf Course,CA,Graeagle
Lake Don Pedro Golf Course,CA,La Grange
Rancho Irvine Golf Course,CA,Irvine
Delano Public Golf Course,CA,Delano
Forest Lake Golf Course,CA,Collierville
Aetna Springs Golf Course,CA,Pope Valley
Windsor Golf Club,CA,Windsor
Antelope Valley Country Club,CA,Palmdale
Plumas Pines Golf Course,CA,Blairsden-Graeagle
Feather River Inn,CA,Graeagle
Barona Resort Golf Course,CA,Ramona
The Links at Paso Robles,CA,Paso Robles
High Country Villas,CA,Encinitas
la Contenta Lakes Golf,CA,Valley Springs
Peacock Gap Golf Country Club,CA,San Rafael
Western Hills Golf Course (Chino Hills),CA,Chino Hills
Monterey Peninsula Country Club - Dunes Course,CA,Pebble Beach
Hunter Ranch Golf Course,CA,Paso Robles
St. Stanislaus Golf Course,CA,Modesto
The Hideaway (Pete Dye & Clive Clark Courses),CA,La Quinta
The Madison Club,CA,La Quinta
Borrego Springs Resort,CA,Borrego Springs
Catalina Island Golf Course,CA,Avalon
Wawona Golf Course,CA,Wawona
Links at Summerly,CA,Lake Elsinore
Palo Alto Hills Golf Course and Country Club,CA,Palo Alto
Trinity Alps Golf Course,CA,Weaverville
Adams Springs Golf Course,CA,Cobb
Wikiup Golf Course,CA,Santa Rosa
Sebastopol Golf Course,CA,Sebastopol
Tees & Trees Golf Course,CA,Barstow
West Winds Golf Course,CA,Victorville
Panorama Golf Course,CA,Hemet
The Oaks,CA,Escondido
Woodbridge Golf & Country Club,CA,Woodbridge
Coyote Run Golf Course,CA,Beale Air Force Base
Braemar Country Club,CA,Los Angeles
Oakmont Country Club,CA,Glendale
Lake Redding Golf Course,CA,Redding
Soboba Springs Golf Course,CA,San Jacinto
Monarch Dunes Golf Course,CA,Nipomo
Monterey Peninsula Country Club - Shore Course,CA,Del Monte Forest
Indian Camp Golf Course,CA,Tulelake
Red Hill Country Club,CA,Rancho Cucamonga
18 Hole Groomed Putting Course,CA,Avalon
La Rinconada Country Club,CA,Los Gatos
Gold Hills Golf Club,CA,Redding
Eastlake Country Club,CA,Chula Vista
Bell Gardens Golf Course,CA,Bell Gardens
Lake Wildwood Golf Course,CA,Penn Valley
Lake Arrowhead Country Club,CA,Lake Arrowhead
Del Web Golf Course,CA,Manteca
Avondale Golf Club,CA,Palm Desert
Desert Falls Country Club,CA,Palm Desert
Bidwell Park Golf Course,CA,Chico
Whitney Oaks Golf Club,CA,Rocklin
The Club at Pasadera,CA,Monterey
Tecolote Canyon Golf Course,CA,San Diego
Talega Golf Club,CA,San Clemente
"Taylormade ""The Kingdom"" Test Course",CA,Carlsbad
Rancho Monserate Country Club,CA,Fallbrook
The Grand Golf Club,CA,San Diego
Lakeview Golf Course at Rio Bend,CA,El Centro
Cameron Park Country Club,CA,Cameron Park
Mather Golf Course,CA,Mather
Swenson Park Golf Course,CA,Stockton
Teal Bend Golf Course,CA,Sacramento
