name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Spartan Golf Complex,CA,San Jose,Temporary,70.0,110,,,1800,,
Cypress Point Golf Course,CA,Pebble Beach,Championship,72.1,140,,,6524,4 5 3 4 5 5 3 4 4 5 4 4 4 4 3 3 4 4,5 1 17 7 11 3 15 9 13 16 4 2 14 8 18 6 10 12
Cypress Point Golf Course,CA,Pebble Beach,Middle,71.3,136,77.3,143,6294,4 5 3 4 5 5 3 4 4 5 4 4 4 4 3 3 4 4,5 1 17 7 11 3 15 9 13 16 4 2 14 8 18 6 10 12
Cypress Point Golf Course,CA,Pebble Beach,Forward,69.1,128,74.9,138,5797,4 5 3 4 5 5 3 4 4 5 4 4 4 4 3 3 4 4,5 1 17 7 11 3 15 9 13 16 4 2 14 8 18 6 10 12
Sunken Gardens Golf Course,CA,Sunnyvale,White (18-hole),56.8,88,55.6,86,3004,3 4 3 3 3 4 3 3 3,1 4 5 6 3 2 8 9 7
Westlake Golf Course,CA,Westlake Village,Blue,62.7,105,67.3,112,4791,4 3 4 4 4 4 3 3 4 4 4 4 3 3 5 3 3 4,17 13 1 5 15 7 11 3 9 6 2 10 4 12 16 8 14 18
Westlake Golf Course,CA,Westlake Village,Gold,61.8,102,65.9,109,4612,4 3 4 4 4 4 3 3 4 4 4 4 3 3 5 3 3 4,17 13 1 5 15 7 11 3 9 6 2 10 4 12 16 8 14 18
Westlake Golf Course,CA,Westlake Village,White,61.0,100,65.0,107,4407,4 3 4 4 4 4 3 3 4 4 4 4 3 3 5 3 3 4,17 13 1 5 15 7 11 3 9 6 2 10 4 12 16 8 14 18
Westlake Golf Course,CA,Westlake Village,Silver,60.0,97,63.6,104,4193,4 3 4 4 4 4 3 3 4 4 4 4 3 3 5 3 3 4,17 13 1 5 15 7 11 3 9 6 2 10 4 12 16 8 14 18
Vineyard Knolls,CA,Napa,Back (18-hole),58.8,104,,,3446,,
Sea Pines Golf Course,CA,Los Osos,Blue (18-hole),57.4,94,63.5,103,4004,,
Sea Pines Golf Course,CA,Los Osos,White (18-hole),58.2,90,,,3748,,
Sea Pines Golf Course,CA,Los Osos,White/Red (18-hole) (W),60.3,96,60.3,96,,,
Sea Pines Golf Course,CA,Los Osos,Red (18 holes),55.0,79,,,3088,,
Brooktrails Golf Course,CA,Willits,Blue (18-hole),57.4,98,59.0,95,3020,3 3 3 3 4 3 3 3 3,
Brooktrails Golf Course,CA,Willits,White (18-hole),56.9,98,,,2538,3 3 3 3 4 3 3 3 3,
Brooktrails Golf Course,CA,Willits,Red (18-hole),55.6,96,,,2384,3 3 3 3 4 3 3 3 3,
Yosemite Lakes Golf Course,CA,Coarsegold,Men,30.0,105,,,1710,4 3 3 3 3 4 3 4 4,
Yosemite Lakes Golf Course,CA,Coarsegold,Ladies,29.3,100,,,1471,4 3 3 3 3 4 3 4 4,
Arbuckle Golf Course,CA,Arbuckle,White/Blue (18-hole),70.4,122,,,6460,5 3 4 4 5 4 3 4 4,
Arbuckle Golf Course,CA,Arbuckle,Gold/Red (18-hole) (W),73.8,123,73.8,123,,5 3 4 4 5 4 3 4 4,
Meadowmont Golf Course,CA,Arnold,Men's,67.6,113,,,2931,,
Horse Thief Golf,CA,Tehachapi,Back,72.0,131,,,6678,4 4 5 4 3 5 3 4 4 4 3 5 4 3 4 4 4 5,15 13 3 7 11 9 17 5 1 14 18 6 2 16 4 12 8 10
Sycamore Canyon Golf Course,CA,Arvin,Black,74.2,125,,,7101,4 4 3 5 4 4 4 3 5 4 4 5 4 3 5 4 3 4,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
Belmont Pines Golf Course,CA,Cobb,White (18-hole),61.8,105,65.7,112,4494,4 3 4 4 3 4 3 4 4,
Highland Palms Golf Course,CA,Homeland,Diamond M,56.8,87,,,1287,4 3 3 4 4 3 4 3 3,
Emerald Isle Golf Course,CA,Oceanside,Emerald (W),56.0,86,56.0,86,,3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3,7 17 1 13 5 15 9 11 3 4 14 8 10 6 2 12 16 18
Oak Creek Golf Course (Red Bluff),CA,Red Bluff,Championship,66.2,107,,,2622,,
Saticoy Regional Golf Course,CA,Ventura,White/Blue (18-hole),65.8,106,63.3,102,5400,5 5 4 4 4 3 3 3 3,
Saticoy Regional Golf Course,CA,Ventura,Red/Yellow (18-hole),66.9,107,,,4851,5 5 4 4 4 3 3 3 3,
Meadowood Golf Club,CA,St. Helena,Bronze,57.4,94,,,3010,3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3,9 1 5 13 3 11 7 17 15 10 2 6 14 4 12 8 18 16
Bethel Island Golf Course,CA,Bethel Island,Championship,71.2,118,,,6592,4 5 3 4 4 5 4 3 4 4 4 4 4 3 5 3 5 4,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
Rancho Sierra Golf Course,CA,Lancaster,Blue (18-hole),63.8,105,68.8,120,4978,4 5 4 3 4 3 4 4 4,
Rancho Sierra Golf Course,CA,Lancaster,White (18-hole),63.0,101,67.6,118,4774,4 5 4 3 4 3 4 4 4,
Dingerville USA Golf Club & RV Resort,CA,Oroville,White,53.6,80,,,2428,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,11 13 3 9 1 7 17 5 15 12 14 4 10 2 8 18 6 16
Lake Don Pedro Golf Course,CA,La Grange,Blue,72.7,122,,,6900,,
Roosevelt Municipal Golf Course,CA,Los Angeles,Black (18-hole),63.8,106,68.8,114,4992,4 4 3 4 4 4 3 4 3,
Roosevelt Municipal Golf Course,CA,Los Angeles,Blue (18-hole),62.2,102,67.0,109,4632,4 4 3 4 4 4 3 4 3,
Roosevelt Municipal Golf Course,CA,Los Angeles,White (18-hole),58.6,87,59.2,92,3282,4 4 3 4 4 4 3 4 3,
Delano Public Golf Course,CA,Delano,White/Blue (18-hole),61.6,102,,,4498,3 4 3 5 4 3 3 4 3,
Delano Public Golf Course,CA,Delano,Red/White (18-hole),62.8,102,,,4170,3 4 3 5 4 3 3 4 3,
St. Stanislaus Golf Course,CA,Modesto,Gold,56.0,70,,,1533,3 3 3 3 3 4 3 3 3,
Antelope Greens Golf Course,CA,Antelope,Blue,57.1,88,,,3282,3 4 3 3 3 3 3 4 4 3 4 3 3 3 3 3 3 3,6 18 2 16 14 10 8 4 12 9 15 7 17 1 13 11 3 5
Antelope Greens Golf Course,CA,Antelope,White,56.4,86,,,3006,3 4 3 3 3 3 3 4 4 3 4 3 3 3 3 3 3 3,6 18 2 16 14 10 8 4 12 9 15 7 17 1 13 11 3 5
Antelope Greens Golf Course,CA,Antelope,Red,55.4,79,,,2546,3 4 3 3 3 3 3 4 4 3 4 3 3 3 3 3 3 3,6 18 2 16 14 10 8 4 12 9 15 7 17 1 13 11 3 5
Borrego Springs Resort,CA,Borrego Springs,Blue,34.7,115,,,3084,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
Borrego Springs Resort,CA,Borrego Springs,White,33.9,111,,,2894,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
Catalina Island Golf Course,CA,Avalon,Blue,61.6,107,,,4386,4 3 4 4 4 3 3 4 3,
Catalina Island Golf Course,CA,Avalon,White/Blue,61.1,106,65.4,110,4263,4 3 4 4 4 3 3 4 3,
Catalina Island Golf Course,CA,Avalon,White,60.6,105,,,4140,4 3 4 4 4 3 3 4 3,
Catalina Island Golf Course,CA,Avalon,White Short,59.5,103,64.3,109,4124,4 3 4 4 4 3 3 4 3,
Catalina Island Golf Course,CA,Avalon,Red/White (W),62.3,103,62.3,103,,4 3 4 4 4 3 3 4 3,
Catalina Island Golf Course,CA,Avalon,Red (W),60.0,98,60.0,98,,4 3 4 4 4 3 3 4 3,
Trinity Alps Golf Course,CA,Weaverville,White/Gold,60.0,98,,,3457,3 3 4 4 3 4 3 3 4,
Trinity Alps Golf Course,CA,Weaverville,White/Red (W),61.3,100,61.3,100,,3 3 4 4 3 4 3 3 4,
Bass Lake Golf Course,CA,Cameron Park,Back,72.3,127,,,6028,,
Wikiup Golf Course,CA,Santa Rosa,back,57.7,91,,,3223,,
Sebastopol Golf Course,CA,Sebastopol,White (18-hole),57.8,86,,,2992,,
Grayson Woods Golf Course,CA,Lafayette,Blue,70.0,110,,,1155,3 3 3 3 3 3 3 3 3,1 2 3 4 5 6 7 8 9
Twain Harte Golf Course,CA,Twain Harte,Red/Gold (18-hole),59.4,97,,,3590,4 3 3 4 3 3 3 3 3,
Twain Harte Golf Course,CA,Twain Harte,Blue/White (18-hole),56.4,87,,,3353,4 3 3 4 3 3 3 3 3,
Tees & Trees Golf Course,CA,Barstow,Championship (White/Blue),70.5,119,,,6403,4 4 4 5 3 5 4 3 4 4 4 4 4 3 5 5 3 4,11 9 13 15 7 17 3 5 1 8 2 14 4 10 16 12 18 6
