name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
"Presidio Golf Course",CA,"San Francisco","Black",72.5,136,79,137,6481,"4 5 4 3 4 4 3 4 5 5 4 4 3 4 3 4 4 5","7 15 1 17 13 3 5 9 11 10 4 2 12 14 16 8 6 18"
"Presidio Golf Course",CA,"San Francisco","Black/White",71.4,134,77.7,135,6232,"4 5 4 3 4 4 3 4 5 5 4 4 3 4 3 4 4 5","7 15 1 17 13 3 5 9 11 10 4 2 12 14 16 8 6 18"
"Presidio Golf Course",CA,"San Francisco","White",71,133,77,133,6103,"4 5 4 3 4 4 3 4 5 5 4 4 3 4 3 4 4 5","7 15 1 17 13 3 5 9 11 10 4 2 12 14 16 8 6 18"
"Presidio Golf Course",CA,"San Francisco","White/Blue",70,129,75.7,130,5867,"4 5 4 3 4 4 3 4 5 5 4 4 3 4 3 4 4 5","7 15 1 17 13 3 5 9 11 10 4 2 12 14 16 8 6 18"
"Presidio Golf Course",CA,"San Francisco","Blue",69.4,128,75,129,5746,"4 5 4 3 4 4 3 4 5 5 4 4 3 4 3 4 4 5","7 15 1 17 13 3 5 9 11 10 4 2 12 14 16 8 6 18"
"Presidio Golf Course",CA,"San Francisco","Blue/Red",66.4,125,72.4,124,5201,"4 5 4 3 4 4 3 4 5 5 4 4 3 4 3 4 4 5","7 15 1 17 13 3 5 9 11 10 4 2 12 14 16 8 6 18"
"Presidio Golf Course",CA,"San Francisco","Red",64.8,121,69.9,122,4876,"4 5 4 3 4 4 3 4 5 5 4 4 3 4 3 4 4 5","7 15 1 17 13 3 5 9 11 10 4 2 12 14 16 8 6 18"
"El Macero Country Club",CA,"","Aggie",74.3,138,81.4,144,7138,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"El Macero Country Club",CA,"","Blue",73.1,137,79.8,143,6855,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"El Macero Country Club",CA,"","Blue/White",72.6,131,78.9,140,6671,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"El Macero Country Club",CA,"","White",72,129,77.8,139,6499,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"El Macero Country Club",CA,"","White/Red",70,125,75.8,131,6081,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"El Macero Country Club",CA,"","Red",69.2,124,74.6,127,5849,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"El Macero Country Club",CA,"","Red/Gold",67.5,120,72.5,123,5515,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"El Macero Country Club",CA,"","Gold",66.6,117,71.5,118,5285,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"El Macero Country Club",CA,"","Family",57.1,91,58.9,90,3032,"4 5 3 4 5 4 3 4 4 4 4 3 4 4 5 3 4 5","15 13 9 1 7 3 17 11 5 8 2 16 6 10 12 18 4 14"
"Alhambra Golf Course",CA,"Alhambra","Black",66.2,116,70.7,122,5466,"4 5 4 4 4 5 3 3 4 4 3 4 3 4 3 5 4 5","5 7 15 17 9 1 13 11 3 16 8 2 6 10 18 4 12 14"
"Alhambra Golf Course",CA,"Alhambra","Blue",65.1,114,69.7,120,5290,"4 5 4 4 4 5 3 3 4 4 3 4 3 4 3 5 4 5","5 7 15 17 9 1 13 11 3 16 8 2 6 10 18 4 12 14"
"Alhambra Golf Course",CA,"Alhambra","White",63.3,110,67.8,115,4908,"4 5 4 4 4 5 3 3 4 4 3 4 3 4 3 5 4 5","5 7 15 17 9 1 13 11 3 16 8 2 6 10 18 4 12 14"
"Alhambra Golf Course",CA,"Alhambra","Red",61.9,104,65.8,111,4574,"4 5 4 4 4 5 3 3 4 4 3 4 3 4 3 5 4 5","5 7 15 17 9 1 13 11 3 16 8 2 6 10 18 4 12 14"
"Alhambra Golf Course",CA,"Alhambra","Yellow",57.9,92,60.6,97,3639,"4 5 4 4 4 5 3 3 4 4 3 4 3 4 3 5 4 5","5 7 15 17 9 1 13 11 3 16 8 2 6 10 18 4 12 14"
"Los Lagos Golf Course",CA,"San Jose","Blue",65.9,116,71.2,121,5393,"5 3 3 4 3 5 3 3 5 5 4 3 3 3 4 3 4 5","3 11 15 7 13 1 17 9 5 4 12 10 14 16 8 18 6 2"
"Los Lagos Golf Course",CA,"San Jose","Blue/White",64.3,113,68.9,120,5026,"5 3 3 4 3 5 3 3 5 5 4 3 3 3 4 3 4 5","3 11 15 7 13 1 17 9 5 4 12 10 14 16 8 18 6 2"
"Los Lagos Golf Course",CA,"San Jose","White",64,111,68.4,118,4922,"5 3 3 4 3 5 3 3 5 5 4 3 3 3 4 3 4 5","3 11 15 7 13 1 17 9 5 4 12 10 14 16 8 18 6 2"
"Los Lagos Golf Course",CA,"San Jose","Red",62.2,106,65.3,115,4460,"5 3 3 4 3 5 3 3 5 5 4 3 3 3 4 3 4 5","3 11 15 7 13 1 17 9 5 4 12 10 14 16 8 18 6 2"
"Los Lagos Golf Course",CA,"San Jose","Gold",60.7,98,62.2,104,3903,"5 3 3 4 3 5 3 3 5 5 4 3 3 3 4 3 4 5","3 11 15 7 13 1 17 9 5 4 12 10 14 16 8 18 6 2"
