name,state,reason
"Desert Trails Golf Course",CA,par3-exec-noncourse
"Emerald Isle Golf Course",CA,par3-exec-noncourse
"Antelope Greens Golf Course",CA,par3-exec-noncourse
"Bell Gardens Golf Course",CA,par3-exec-noncourse
"Reidy Creek Golf Course",CA,par3-exec-noncourse
"Shadow Hills Golf Club - North Course",CA,par3-exec-noncourse
"Sunken Gardens Golf Course",CA,par3-exec-noncourse
"Colton Golf Course",CA,par3-exec-noncourse
"The Hay",CA,par3-exec-noncourse
"Date Palm Country Club",CA,par3-exec-noncourse
"Mission Hills Golf Course",CA,par3-exec-noncourse
"Pismo State Beach Golf Course",CA,par3-exec-noncourse
"Palos Verdes Shores Golf Course",CA,par3-exec-noncourse
"Monterey Park Golf Club",CA,par3-exec-noncourse
"Valley Gardens Golf Course",CA,par3-exec-noncourse
"Seven Lakes Country Club",CA,par3-exec-noncourse
"Bijou Municipal Golf Course",CA,par3-exec-noncourse
"Friendly Valley Golf Course",CA,par3-exec-noncourse
"Tecolote Canyon Golf Course",CA,par3-exec-noncourse
"Hidden Oaks Country Club",CA,par3-exec-noncourse
"Pebble Beach Golf Course",CA,par3-exec-noncourse
"Hidden Springs Golf Course",CA,par3-exec-noncourse
"Lake San Marcos Executive Golf Course",CA,par3-exec-noncourse
"J B Golf Course",CA,par3-exec-noncourse
"Gator Creek Golf",CA,par3-exec-noncourse
"RoadRunner Golf & Country Club (Borrego)",CA,par3-exec-noncourse
"Laguna Lake Golf Course",CA,par3-exec-noncourse
"Swallows Nest Country Club",CA,par3-exec-noncourse
"Leisure World Seal Beach",CA,par3-exec-noncourse
"Indian Camp Golf Course",CA,par3-exec-noncourse
"Executive Course",CA,par3-exec-noncourse
"Presidio Hills Golf Course",CA,par3-exec-noncourse
"Iron-Wood Nine Golf Course",CA,par3-exec-noncourse
"Rancho Sierra Golf Course",CA,par3-exec-noncourse
"The Lakes at El Segundo",CA,par3-exec-noncourse
"South Gate Golf Course",CA,par3-exec-noncourse
"Portola Country Club",CA,par3-exec-noncourse
"Outdoor Resort Indio",CA,par3-exec-noncourse
"Heartwell Golf Course",CA,par3-exec-noncourse
"Colina Park Golf Course",CA,par3-exec-noncourse
"Motorcoach Country Club",CA,par3-exec-noncourse
"Pruneridge Golf Club",CA,par3-exec-noncourse
"Blackberry Farm Golf Course",CA,par3-exec-noncourse
"Gavilan Golf Course",CA,par3-exec-noncourse
"Bradshaw Ranch Golf Course",CA,par3-exec-noncourse
"Mission Hills of Hayward Golf Course",CA,par3-exec-noncourse
"Delano Public Golf Course",CA,par3-exec-noncourse
"Lomas Santa Fe Executive Golf Course",CA,par3-exec-noncourse
"Golden Gate Park Golf Course",CA,par3-exec-noncourse
"Buchanan Fields Golf Course",CA,par3-exec-noncourse
"Van Nuys Golf Course",CA,par3-exec-noncourse
"Heroes Golf Course",CA,par3-exec-noncourse
"Ocean Hills Country Club",CA,par3-exec-noncourse
"Outdoor Resort Palm Springs",CA,par3-exec-noncourse
"Recreation Park 9 Golf Course",CA,par3-exec-noncourse
"Arroyo Fairways Mobile Home Club",CA,par3-exec-noncourse
"Emerald Hills Golf Course",CA,par3-exec-noncourse
"Rancho Carlsbad Golf Course",CA,par3-exec-noncourse
"Twin Lakes Golf Course",CA,par3-exec-noncourse
"Brea Creek Golf Course",CA,par3-exec-noncourse
"Strata Court",CA,par3-exec-noncourse
"Oakmoore Golf Course",CA,par3-exec-noncourse
"Sinaloa Golf Course",CA,par3-exec-noncourse
