"name","city","verified","reason"
"Coral Ridge Country Club","Fort Lauderdale, FL","","OGA data failed sanity gate"
"High Ridge Country Club","FL","","delta 8 (wrong-course?)"
"Everglades Golf Course","FL","","OGA data failed sanity gate"
"Oaks Course","Pompano Beach, FL","","OGA data failed sanity gate"
"Palms Course","Oaks Clubhouse Drive, FL","","OGA data failed sanity gate"
"Hillsboro Pines Golf Course","FL","","delta 10 (wrong-course?); OGA data failed sanity gate"
"Mainlands Golf Course","FL","","OGA data failed sanity gate"
"Miles Grant Country Club","Port Salerno, FL","","OGA data failed sanity gate"
"Arrowhead Golf Course","FL","","OGA data failed sanity gate"
"The Palms","Rotonda, FL","","OGA data failed sanity gate"
"Citrus Springs Golf & Country Club","Citrus Springs, FL","","OGA data failed sanity gate"
"Baypointe Golf Course","Seminole, FL","","OGA data failed sanity gate"
"Palatka Golf Club","Palatka, FL","","OGA data failed sanity gate"
"Club at Pelican Bay South Course","Daytona Beach, FL","","OGA data failed sanity gate"
"Whiskey Creek Country Club","Fort Myers, FL","","OGA data failed sanity gate"
"Clewiston Golf Course","Clewiston, FL","","OGA data failed sanity gate"
"Fairwinds Golf Course","Fort Pierce, FL","","OGA data failed sanity gate"
"Woodmont Country Club","Tamarac, FL","","OGA data failed sanity gate"
"Moorings Country Club","Naples, FL","","OGA data failed sanity gate"
"Eagle Lakes Golf Club","Naples, FL","","delta 12 (wrong-course?); OGA data failed sanity gate"
"Brooksville Country Club","Brooksville, FL","","delta 8 (wrong-course?)"
"Bonaventure Country Club","Weston, FL","","OGA data failed sanity gate"
"White Oak Plantation","FL","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
"Lily Lake Golf Resort","FL","","our rating<55 (9-hole); delta 28 (wrong-course?); OGA data failed sanity gate"
"Ocean Course","FL","","delta 9 (wrong-course?)"
"Glen Kernan Golf Course","FL","","delta 8 (wrong-course?); OGA data failed sanity gate"
"Deerwood Country Club","Jacksonville, FL","","delta 8 (wrong-course?); OGA data failed sanity gate"
"Hidden Hills Country Club","FL","","OGA data failed sanity gate"
"Atlantic Beach Country Club","FL","","OGA data failed sanity gate"
"Naval Air Station Jacksonville Golf Course","FL","","our rating<55 (9-hole); delta 36 (wrong-course?); OGA data failed sanity gate"
"Errol Estate Golf & Country Club","FL","","OGA data failed sanity gate"
"Bluewater Bay Resort","Niceville, FL","","OGA data failed sanity gate"
"Lost Tree Club","North Palm Beach, FL","","OGA data failed sanity gate"
"Forest Glen Golf & Country Club","FL","","OGA data failed sanity gate"
"Mayacoo Lakes Country Club","West Palm Beach, FL","","OGA data failed sanity gate"
"Freedom Fairways","Sun City Center, FL","","OGA data failed sanity gate"
"Oyster Creek Golf Club","Englewood, FL","","OGA data failed sanity gate"
"Blue Heron Pines","Punta Gorda, FL","","our rating<55 (9-hole); OGA data failed sanity gate"
"Vanderbilt Country Club","Naples, FL","","OGA data failed sanity gate"
"Worthington Country Club","Bonita Springs, FL","","OGA data failed sanity gate"
"Bonita Bay Club West","FL","","OGA data failed sanity gate"
"Villages at Country Creek","Estero, FL","","our rating<55 (9-hole); OGA data failed sanity gate"
"Turtle Run Course","FL","","OGA data failed sanity gate"
"Highland Fairways Golf Club","FL","","our rating<55 (9-hole); OGA data failed sanity gate"
"Swiss Fairways Golf Club","Clermont, FL","","our rating<55 (9-hole); delta 36 (wrong-course?); OGA data failed sanity gate"
"Arlington Ridge Golf Club","Leesburg, FL","","OGA data failed sanity gate"
"The Plantation Golf Club - Otter Creek","Leesburg, FL","","OGA data failed sanity gate"
"Heathrow Country club","Heathrow, FL","","OGA data failed sanity gate"
"Sweetwater Country Club","Sugar Land, FL","","OGA data failed sanity gate"
"Fairways Golf Club","Orlando, FL","","OGA data failed sanity gate"
"Hawks Landing Golf Club","Orlando, FL","","OGA data failed sanity gate"
"Aquarina Country Club","Melbourne Beach, FL","","OGA data failed sanity gate"
"Saint Lucie Trail Golf Club","Port St. Lucie, FL","","OGA data failed sanity gate"
"Villa Del Ray Golf Club","Delray Beach, FL","","OGA data failed sanity gate"
"Delray Beach Golf Club","Delray Beach, FL","","OGA data failed sanity gate"
"Club at Boca Pointe","Boca Raton, FL","","OGA data failed sanity gate"
"Oriole Golf Club","Margate, FL","","OGA data failed sanity gate"
"Carolina Golf Club","Margate, FL","","OGA data failed sanity gate"
"Cedar Hammock Golf & Country Club","FL","","OGA data failed sanity gate"
"Boca Delray Golf & Country Club","FL","","OGA data failed sanity gate"
"The Polo Club Boca Raton","FL","","OGA data failed sanity gate"
"Cheval Golf & Country Club","FL","","OGA data failed sanity gate"
"Northdale Golf & Tennis Club","FL","","OGA data failed sanity gate"
"Babe Zaharias Golf Course","FL","","OGA data failed sanity gate"
"The Champions Club","FL","","OGA data failed sanity gate"
"Sherwood Golf Club","Titusville, FL","","OGA data failed sanity gate"
"Sun 'n Lake Golf Course","Sebring, FL","","OGA data failed sanity gate"
"Golf Club of the Everglades","Naples, FL","","OGA data failed sanity gate"
"The Legacy Golf Course","Bradenton, FL","","OGA data failed sanity gate"
"Boca Royale Club","FL","","OGA data failed sanity gate"
"Bay Point Resort Golf Club","Panama City Beach, FL","","OGA data failed sanity gate"
"Buffalo Creek Golf Course","FL","","OGA data failed sanity gate"
"Legends Walk","FL","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
