name,state,city
USF The Claw Golf Course,FL,Tampa
River Run Golf Links,FL,Bradenton
River Isles Golf Course,FL,Bradenton
Miami Springs Golf Course,FL,Miami Springs
High Ridge Country Club,FL,Lantana
The Park West Palm,FL,West Palm Beach
Village Green,FL,Sarasota
Sombrero Country Club,FL,Marathon
Fernandina Beach Municipal Golf Course,FL,Fernandina Beach
Frenchman's Creek Beach and Country Club,FL,Palm Beach Gardens
Hillsboro Pines Golf Course,FL,Deerfield Beach
Bear's Paw Country Club,FL,Naples
Wilderness Country Club,FL,Naples
Starke Golf & Country Club,FL,Starke
Vineyards Country Club,FL,Naples
Naples Grande Golf Club,FL,Naples
Mainlands Golf Course,FL,Pinellas Park
Sailfish Sands Golf Course,FL,Stuart
Quality Inn & Suites Golf Resort,FL,Naples
Eastpointe Country Club,FL,West Palm Beach
Naples National Golf Club,FL,Naples
Eagle Creek Golf & Country Club,FL,Naples
Hideaway Beach Golf Course,FL,Marco Island
Osceola Municipal Golf Course,FL,Pensacola
Marcus Pointe Golf Club,FL,Pensacola
Arrowhead Golf Course,FL,Naples
Conservatory Course,FL,Palm Coast
Hole In the Wall Golf Club,FL,Naples
The Preserve at Ironhorse,FL,West Palm Beach
Fort Myers Country Club,FL,Fort Myers
Sandhill Crane Golf Club,FL,Palm Beach Gardens
Sunrise Country Club,FL,Sunrise
Nature Walk Golf Course,FL,Lynn Haven
The Ritz-Carlton Golf Club,FL,Orlando
Links at Spruce Creek,FL,The Villages
East,FL,Hialeah
Heritage Isles,FL,Tampa
Ritz-Carlton Members Golf Club,FL,Bradenton
Bentley Village Golf Course,FL,Naples
Sherwood Park Golf Club,FL,Delray Beach
Indian Lake Estates Golf & Country Club,FL,Indian Lake Estates
Golf Club of Quincy,FL,Quincy
The Golf Club at South Hampton,FL,St. Augustine
Long Point at The Amelia Island Club,FL,Fernandina Beach
Trident Golf Club,FL,Port St. Lucie
Jefferson Country Club Golf Course,FL,Monticello
Key Colony Beach Golf,FL,Key Colony Beach
King and Bear Golf Course,FL,St. Augustine
San Jose Country Club,FL,Jacksonville
Twisted Oaks Golf Club,FL,Beverly Hills
Oak Hills Golf Club,FL,Spring Hill
Saint James Bay Golf Resort,FL,Carrabelle
Pensacola Country Club,FL,Pensacola
Ocean Reef - Dolphone Course,FL,Key Largo
Origins Golf Club,FL,Panama City
The West Course at John's Island Club,FL,FL 32958
White Oak Plantation,FL,Hilliard
River Ranch Golf Course,FL,River Ranch
Kove Estates Golf Course,FL,Osteen
Lily Lake Golf Resort,FL,Frostproof
Wellen Park Golf & Country Club,FL,Venice
Streamsong Resort - Red and Blue Courses,FL,Fort Green
Streamsong Resort - Black Course,FL,Bowling Green
Pelican Preserve Golf Club,FL,Fort Myers
Ocean Course,FL,Palm Coast
