"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Miami Beach Golf Club","FL","Miami Beach, FL","Black","73.1","131","","","6813","5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club","FL","Miami Beach, FL","Blue","71.1","128","","","6430","5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club","FL","Miami Beach, FL","White","68.5","120","74.5","142","5908","5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club","FL","Miami Beach, FL","Red","","","70.1","124","5039","5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Bradenton Country Club","FL","Bradenton, FL","Gold","73.5","133","","","6739","4 3 4 4 4 3 4 5 4 4 4 4 4 4 5 3 5 3","5 15 13 7 1 17 9 3 11 12 14 4 8 10 2 18 6 16"
"Bradenton Country Club","FL","Bradenton, FL","White","70.7","125","","","6260","4 3 4 4 4 3 4 5 4 4 4 4 4 4 5 3 5 3","5 15 13 7 1 17 9 3 11 12 14 4 8 10 2 18 6 16"
"Bradenton Country Club","FL","Bradenton, FL","Green","67","118","72.4","123","5490","4 3 4 4 4 3 4 5 4 4 4 4 4 4 5 3 5 3","5 15 13 7 1 17 9 3 11 12 14 4 8 10 2 18 6 16"
"Bradenton Country Club","FL","Bradenton, FL","Blue","67.9","120","","","4796","4 3 4 4 4 3 4 5 4 4 4 4 4 4 5 3 5 3","5 15 13 7 1 17 9 3 11 12 14 4 8 10 2 18 6 16"
"Miami Springs Golf Course","FL","FL","Blue","71","119","","","6755","4 4 4 3 5 4 4 3 4 4 4 3 5 4 5 3 4 4","10 14 4 12 18 16 2 8 6 7 3 5 13 9 15 17 1 11"
"Miami Springs Golf Course","FL","FL","White","69.6","116","75.1","128","6443","4 4 4 3 5 4 4 3 4 4 4 3 5 4 5 3 4 4","10 14 4 12 18 16 2 8 6 7 3 5 13 9 15 17 1 11"
"Miami Springs Golf Course","FL","FL","Red","","","69.8","116","5373","4 4 4 3 5 4 4 3 4 4 4 3 5 4 5 3 4 4","10 14 4 12 18 16 2 8 6 7 3 5 13 9 15 17 1 11"
"Miami Shores Country Club","FL","Miami Shores, FL","Blue","71.2","131","","","6705","5 3 4 4 4 4 5 3 3 4 4 4 5 4 4 4 3 4","5 15 11 9 3 7 1 13 17 18 16 14 12 6 2 4 10 8"
"Miami Shores Country Club","FL","Miami Shores, FL","White","69.8","130","","","6310","5 3 4 4 4 4 5 3 3 4 4 4 5 4 4 4 3 4","5 15 11 9 3 7 1 13 17 18 16 14 12 6 2 4 10 8"
"Miami Shores Country Club","FL","Miami Shores, FL","Gold","68.4","129","","","5511","5 3 4 4 4 4 5 3 3 4 4 4 5 4 4 4 3 4","5 15 11 9 3 7 1 13 17 18 16 14 12 6 2 4 10 8"
"Miami Shores Country Club","FL","Miami Shores, FL","Red","","","72.8","124","5031","5 3 4 4 4 4 5 3 3 4 4 4 5 4 4 4 3 4","5 15 11 9 3 7 1 13 17 18 16 14 12 6 2 4 10 8"
"Diamond Hill Golf Club","FL","Dover, FL","Black","73.8","135","","","7002","4 5 3 4 4 3 4 4 5 4 4 3 5 4 3 4 5 4","11 7 17 13 9 15 5 3 1 18 8 16 2 14 12 10 4 6"
"Diamond Hill Golf Club","FL","Dover, FL","Blue","72.9","127","","","6645","4 5 3 4 4 3 4 4 5 4 4 3 5 4 3 4 5 4","11 7 17 13 9 15 5 3 1 18 8 16 2 14 12 10 4 6"
"Diamond Hill Golf Club","FL","Dover, FL","White","71.3","127","","","6312","4 5 3 4 4 3 4 4 5 4 4 3 5 4 3 4 5 4","11 7 17 13 9 15 5 3 1 18 8 16 2 14 12 10 4 6"
"Diamond Hill Golf Club","FL","Dover, FL","Yellow","67.8","124","","","5837","4 5 3 4 4 3 4 4 5 4 4 3 5 4 3 4 5 4","11 7 17 13 9 15 5 3 1 18 8 16 2 14 12 10 4 6"
"Diamond Hill Golf Club","FL","Dover, FL","Red","","","63.8","114","4970","4 5 3 4 4 3 4 4 5 4 4 3 5 4 3 4 5 4","11 7 17 13 9 15 5 3 1 18 8 16 2 14 12 10 4 6"
"Amelia River Golf Course","FL","Amelia Island, FL","Gold","74","139","","","6860","5 4 4 3 5 4 3 4 4 4 4 3 5 4 4 4 3 5","17 13 11 9 15 5 7 3 1 8 6 16 10 12 14 2 18 4"
"Amelia River Golf Course","FL","Amelia Island, FL","Blue","71.6","136","","","6349","5 4 4 3 5 4 3 4 4 4 4 3 5 4 4 4 3 5","17 13 11 9 15 5 7 3 1 8 6 16 10 12 14 2 18 4"
"Amelia River Golf Course","FL","Amelia Island, FL","Blue/Black","70.4","131","","","6082","5 4 4 3 5 4 3 4 4 4 4 3 5 4 4 4 3 5","17 13 11 9 15 5 7 3 1 8 6 16 10 12 14 2 18 4"
"Amelia River Golf Course","FL","Amelia Island, FL","Black","69.4","127","","","5872","5 4 4 3 5 4 3 4 4 4 4 3 5 4 4 4 3 5","17 13 11 9 15 5 7 3 1 8 6 16 10 12 14 2 18 4"
"Amelia River Golf Course","FL","Amelia Island, FL","Black/White","67.9","122","","","5546","5 4 4 3 5 4 3 4 4 4 4 3 5 4 4 4 3 5","17 13 11 9 15 5 7 3 1 8 6 16 10 12 14 2 18 4"
"Amelia River Golf Course","FL","Amelia Island, FL","White","66.7","118","71.7","129","5290","5 4 4 3 5 4 3 4 4 4 4 3 5 4 4 4 3 5","17 13 11 9 15 5 7 3 1 8 6 16 10 12 14 2 18 4"
"Amelia River Golf Course","FL","Amelia Island, FL","Green","64.1","113","68.4","117","4706","5 4 4 3 5 4 3 4 4 4 4 3 5 4 4 4 3 5","17 13 11 9 15 5 7 3 1 8 6 16 10 12 14 2 18 4"
"Monarch Country Club","FL","Palm City, FL","Gold","73.8","138","","","6890","4 3 4 4 3 5 4 5 4 4 4 3 4 5 4 3 4 5","13 15 3 5 17 11 1 9 7 4 8 18 2 10 12 16 6 14"
