name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
USF The Claw Golf Course,FL,Tampa,DARK GREEN,73.4,128,,,6738,,5 15 1 11 17 7 9 13 3 6 10 18 4 2 8 12 16 14
LekaricA Hills,FL,Lake Wales,Green,69.3,124,,,6116,,7 5 15 9 1 13 17 11 3 10 8 2 18 4 14 6 16 12
Trident Golf Club,FL,Port St. Lucie,RED,71.4,124,,,6444,5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3,13 9 17 7 1 11 15 5 3 16 4 14 18 10 8 12 2 6
Rock Springs Ridge Golf Club,FL,Apopka,Green,74.7,133,,,7173,,16 14 8 4 12 18 10 2 6 15 13 17 3 5 1 9 7 11
Skyview golf course,FL,Lakeland,Blue,71.6,120,,,6519,4 5 3 4 4 4 3 5 4 4 3 5 4 4 4 5 3 4,5 9 15 13 7 3 17 1 11 10 18 6 2 12 14 8 16 4
5 holes,FL,Kissimmee,Gold,72.0,135,,,6512,,3 12 1 14 13 9 7 16 5 18 4 11 17 6 2 15 10 8
The Lake Club Amenity Center,FL,Lakewood Ranch,Champion,74.6,125,,,7339,4 5 4 3 4 5 3 4 4 4 4 5 3 4 4 4 3 5,4 6 12 18 14 1 17 13 5 9 3 7 15 11 10 2 16 8
Candler Hills Hole 4,FL,Ocala,Black,73.9,120,,,7333,4 4 4 5 3 5 4 3 4 4 4 5 3 4 5 4 3 4,13 5 9 1 11 3 17 15 7 18 6 8 16 10 2 4 14 12
Candler Hills Hole 2,FL,Ocala,Black,73.9,120,,,7333,4 4 4 5 3 5 4 3 4 4 4 5 3 4 5 4 3 4,13 5 9 1 11 3 17 15 7 18 6 8 16 10 2 4 14 12
Candler Hills Hole 1,FL,Ocala,Black,74.8,128,,,7333,,
Camp Phosphate Co #1,FL,Citrus Springs,Blue,71.7,126,,,6683,,7 1 15 13 3 9 11 17 5 8 16 12 10 14 2 18 4 6
Seven Springs Golf and Country Club Home Page,FL,New Port Richey,Blue,71.8,127,,,6396,5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3,7 15 3 5 13 11 9 1 17 18 6 4 16 10 8 12 2 14
Seven Springs Golf and Country Club Home Page,FL,New Port Richey,Green,70.2,123,,,6140,5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3,7 15 3 5 13 11 9 1 17 18 6 4 16 10 8 12 2 14
Seven Springs Golf and Country Club Home Page,FL,New Port Richey,White,68.9,122,,,5895,5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3,7 15 3 5 13 11 9 1 17 18 6 4 16 10 8 12 2 14
Seven Springs Golf and Country Club Home Page,FL,New Port Richey,Gold,65.7,113,,,5228,5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3,7 15 3 5 13 11 9 1 17 18 6 4 16 10 8 12 2 14
Seven Springs Golf and Country Club Home Page,FL,New Port Richey,Red (W),69.1,119,69.1,119,,5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3,7 15 3 5 13 11 9 1 17 18 6 4 16 10 8 12 2 14
