name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Jefferson Country Club Golf Course,FL,,Blue,35.1,136,38.6,142,3108,4-4-3-4-5-4-5-3-4,12-14-8-16-10-2-6-18-4
Jefferson Country Club Golf Course,FL,,Gold,32.8,122,36,131,2500,4-4-3-4-5-4-5-3-4,12-14-8-16-10-2-6-18-4
Jefferson Country Club Golf Course,FL,,Red,32,118,35,127,2513,4-4-3-4-5-4-5-3-4,12-14-8-16-10-2-6-18-4
River Ranch Golf Course,FL,,Blue,36.6,123,,,3321,5-4-4-4-3-5-3-4-4,11-15-1-7-9-13-17-5-3
River Ranch Golf Course,FL,,White,35.4,121,35.9,123,3158,5-4-4-4-3-5-3-4-4,11-15-1-7-9-13-17-5-3
River Ranch Golf Course,FL,,Red (W),,,33.6,113,2661,5-4-4-4-3-5-3-4-4,11-15-1-7-9-13-17-5-3
El Diablo Golf & Country Club,FL,Citrus Springs,Gold,75.3,147,,,7045,4-5-3-4-5-3-4-4-4-4-4-5-3-4-3-4-5-4,3-7-13-11-15-17-5-9-1-4-12-10-18-16-14-6-8-2
El Diablo Golf & Country Club,FL,Citrus Springs,Silver,73.7,136,,,6688,4-5-3-4-5-3-4-4-4-4-4-5-3-4-3-4-5-4,3-7-13-11-15-17-5-9-1-4-12-10-18-16-14-6-8-2
El Diablo Golf & Country Club,FL,Citrus Springs,Blue,71.7,130,,,6230,4-5-3-4-5-3-4-4-4-4-4-5-3-4-3-4-5-4,3-7-13-11-15-17-5-9-1-4-12-10-18-16-14-6-8-2
El Diablo Golf & Country Club,FL,Citrus Springs,White,68.7,121,73,124,5654,4-5-3-4-5-3-4-4-4-4-4-5-3-4-3-4-5-4,3-7-13-11-15-17-5-9-1-4-12-10-18-16-14-6-8-2
El Diablo Golf & Country Club,FL,Citrus Springs,Red (W),,,69.8,117,5144,4-5-3-4-5-3-4-4-4-4-4-5-3-4-3-4-5-4,3-7-13-11-15-17-5-9-1-4-12-10-18-16-14-6-8-2
