"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Oaks National Golf Club","FL","Kissimmee","Blue","73.3","139","79.9","148","6796","4 5 3 4 5 3 4 4 4 4 5 3 4 3 5 4 4 4","9 17 13 3 7 15 1 11 5 6 12 10 2 16 4 8 18 14"
"Oaks National Golf Club","FL","Kissimmee","White","71","133","77.4","142","6383","4 5 3 4 5 3 4 4 4 4 5 3 4 3 5 4 4 4","9 17 13 3 7 15 1 11 5 6 12 10 2 16 4 8 18 14"
"Oaks National Golf Club","FL","Kissimmee","Gold","68.4","124","74.3","135","5829","4 5 3 4 5 3 4 4 4 4 5 3 4 3 5 4 4 4","9 17 13 3 7 15 1 11 5 6 12 10 2 16 4 8 18 14"
"Oaks National Golf Club","FL","Kissimmee","Red","63.9","110","68.8","119","4910","4 5 3 4 5 3 4 4 4 4 5 3 4 3 5 4 4 4","9 17 13 3 7 15 1 11 5 6 12 10 2 16 4 8 18 14"
"Tanglewood Golf and Country Club","FL","Milton","Blue","70.9","126","","","6302","5 4 4 4 3 4 4 3 5 4 3 5 4 4 4 3 4 5","15 11 17 1 13 5 9 3 7 6 18 14 10 4 8 12 16 2"
"Tanglewood Golf and Country Club","FL","Milton","White","69.2","124","75.4","132","5980","5 4 4 4 3 4 4 3 5 4 3 5 4 4 4 3 4 5","15 11 17 1 13 5 9 3 7 6 18 14 10 4 8 12 16 2"
"Tanglewood Golf and Country Club","FL","Milton","Yellow","67.5","117","73","128","5607","5 4 4 4 3 4 4 3 5 4 3 5 4 4 4 3 4 5","15 11 17 1 13 5 9 3 7 6 18 14 10 4 8 12 16 2"
"Tanglewood Golf and Country Club","FL","Milton","Red","63.8","112","69.8","122","4957","5 4 4 4 3 4 4 3 5 4 3 5 4 4 4 3 4 5","15 11 17 1 13 5 9 3 7 6 18 14 10 4 8 12 16 2"
"Tanglewood Golf and Country Club","FL","Milton","Green","58.2","102","61.9","106","3667","5 4 4 4 3 4 4 3 5 4 3 5 4 4 4 3 4 5","15 11 17 1 13 5 9 3 7 6 18 14 10 4 8 12 16 2"
"Perdido Bay Golf Club","FL","Pensacola","Gold","74.4","133","","","7052","4 5 4 3 4 4 5 3 4 4 5 4 3 4 5 4 3 4","12 16 4 14 8 6 2 18 10 1 7 3 17 9 13 11 15 5"
"Perdido Bay Golf Club","FL","Pensacola","Blue","72.2","129","","","6586","4 5 4 3 4 4 5 3 4 4 5 4 3 4 5 4 3 4","12 16 4 14 8 6 2 18 10 1 7 3 17 9 13 11 15 5"
"Perdido Bay Golf Club","FL","Pensacola","White","69.9","124","76","134","6081","4 5 4 3 4 4 5 3 4 4 5 4 3 4 5 4 3 4","12 16 4 14 8 6 2 18 10 1 7 3 17 9 13 11 15 5"
"Perdido Bay Golf Club","FL","Pensacola","Black","67.4","117","72.4","126","5562","4 5 4 3 4 4 5 3 4 4 5 4 3 4 5 4 3 4","12 16 4 14 8 6 2 18 10 1 7 3 17 9 13 11 15 5"
"Perdido Bay Golf Club","FL","Pensacola","Red","","","70.4","124","5176","4 5 4 3 4 4 5 3 4 4 5 4 3 4 5 4 3 4","12 16 4 14 8 6 2 18 10 1 7 3 17 9 13 11 15 5"
"Grand Cypress Golf Club Links Course","FL","Orlando","Blue Long","71.9","121","","","6851","4 5 3 4 4 5 3 4 4 4 4 3 4 4 5 3 5 4","13 7 15 3 5 9 17 1 11 10 6 8 4 12 2 18 16 14"
"Grand Cypress Golf Club Links Course","FL","Orlando","Blue Short","70.9","120","","","6773","4 5 3 4 4 5 3 4 4 4 4 3 4 4 5 3 5 4","13 7 15 3 5 9 17 1 11 10 6 8 4 12 2 18 16 14"
"Grand Cypress Golf Club Links Course","FL","Orlando","Blenden 1","70.4","117","76.4","127","6477","4 5 3 4 4 5 3 4 4 4 4 3 4 4 5 3 5 4","13 7 15 3 5 9 17 1 11 10 6 8 4 12 2 18 16 14"
"Grand Cypress Golf Club Links Course","FL","Orlando","White","69","115","74.7","124","6181","4 5 3 4 4 5 3 4 4 4 4 3 4 4 5 3 5 4","13 7 15 3 5 9 17 1 11 10 6 8 4 12 2 18 16 14"
"Grand Cypress Golf Club Links Course","FL","Orlando","Blenden 2","67","110","71.5","118","5737","4 5 3 4 4 5 3 4 4 4 4 3 4 4 5 3 5 4","13 7 15 3 5 9 17 1 11 10 6 8 4 12 2 18 16 14"
"Grand Cypress Golf Club Links Course","FL","Orlando","Red","","","69.2","112","5314","4 5 3 4 4 5 3 4 4 4 4 3 4 4 5 3 5 4","13 7 15 3 5 9 17 1 11 10 6 8 4 12 2 18 16 14"
"Dogwood Lakes Golf Club","FL","Bonifay","White","70.1","118","","","6207","5 3 4 4 3 5 3 4 5 5 3 4 4 3 5 5 3 4","11 9 13 15 7 5 17 1 3 12 10 14 16 8 6 18 2 4"
"Dogwood Lakes Golf Club","FL","Bonifay","Gold","66.2","110","","","5379","5 3 4 4 3 5 3 4 5 5 3 4 4 3 5 5 3 4","11 9 13 15 7 5 17 1 3 12 10 14 16 8 6 18 2 4"
"Dogwood Lakes Golf Club","FL","Bonifay","Red","66.2","108","66.8","112","4542","5 3 4 4 3 5 3 4 5 5 3 4 4 3 5 5 3 4","11 9 13 15 7 5 17 1 3 12 10 14 16 8 6 18 2 4"
"Eagle Springs Golf Course","FL","Defuniak Springs","Blue","70.9","127","","","6435","4 3 3 4 5 4 4 5 4 5 3 4 3 4 4 3 4 5","5 8 13 3 7 15 1 14 12 16 18 4 10 17 9 11 2 6"
"Eagle Springs Golf Course","FL","Defuniak Springs","White","68.1","122","","","5895","4 3 3 4 5 4 4 5 4 5 3 4 3 4 4 3 4 5","5 8 13 3 7 15 1 14 12 16 18 4 10 17 9 11 2 6"
"Eagle Springs Golf Course","FL","Defuniak Springs","Gold","63.9","112","","","4830","4 3 3 4 5 4 4 5 4 5 3 4 3 4 4 3 4 5","5 8 13 3 7 15 1 14 12 16 18 4 10 17 9 11 2 6"
"Eagle Springs Golf Course","FL","Defuniak Springs","Red","","","65.4","108","4706","4 3 3 4 5 4 4 5 4 5 3 4 3 4 4 3 4 5","5 8 13 3 7 15 1 14 12 16 18 4 10 17 9 11 2 6"
"Stonebrook Golf Course","FL","Pace","Tee 6","73.2","135","","","6807","4 5 4 4 3 4 3 4 5 5 4 3 5 4 3 4 4 4","9 13 11 1 5 15 17 7 3 10 6 14 4 16 18 8 12 2"
"Stonebrook Golf Course","FL","Pace","Tee 5","71.5","131","77.8","139","6478","4 5 4 4 3 4 3 4 5 5 4 3 5 4 3 4 4 4","9 13 11 1 5 15 17 7 3 10 6 14 4 16 18 8 12 2"
"Stonebrook Golf Course","FL","Pace","Tee 4","70.2","124","75.9","134","6149","4 5 4 4 3 4 3 4 5 5 4 3 5 4 3 4 4 4","9 13 11 1 5 15 17 7 3 10 6 14 4 16 18 8 12 2"
"Stonebrook Golf Course","FL","Pace","Tee 3","67.9","119","73.1","128","5646","4 5 4 4 3 4 3 4 5 5 4 3 5 4 3 4 4 4","9 13 11 1 5 15 17 7 3 10 6 14 4 16 18 8 12 2"
"Stonebrook Golf Course","FL","Pace","Tee 2","64","111","67.6","118","4794","4 5 4 4 3 4 3 4 5 5 4 3 5 4 3 4 4 4","9 13 11 1 5 15 17 7 3 10 6 14 4 16 18 8 12 2"
"Stonebrook Golf Course","FL","Pace","Tee 1","60.8","104","62.6","109","3878","4 5 4 4 3 4 3 4 5 5 4 3 5 4 3 4 4 4","9 13 11 1 5 15 17 7 3 10 6 14 4 16 18 8 12 2"
"The Club Renaissance","FL","Sun City Center","Gold","73.4","142","","","6661","4 4 5 3 4 4 3 5 4 5 4 3 4 3 4 5 4 4","11 5 3 17 15 9 7 13 1 8 10 14 12 18 4 2 6 16"
"The Club Renaissance","FL","Sun City Center","Burgundy","72.2","138","","","6371","4 4 5 3 4 4 3 5 4 5 4 3 4 3 4 5 4 4","11 5 3 17 15 9 7 13 1 8 10 14 12 18 4 2 6 16"
"The Club Renaissance","FL","Sun City Center","Blue","70.6","131","76.2","139","6023","4 4 5 3 4 4 3 5 4 5 4 3 4 3 4 5 4 4","11 5 3 17 15 9 7 13 1 8 10 14 12 18 4 2 6 16"
"The Club Renaissance","FL","Sun City Center","White","68.6","127","73.7","135","5584","4 4 5 3 4 4 3 5 4 5 4 3 4 3 4 5 4 4","11 5 3 17 15 9 7 13 1 8 10 14 12 18 4 2 6 16"
"The Club Renaissance","FL","Sun City Center","Green","66","123","71.5","131","5070","4 4 5 3 4 4 3 5 4 5 4 3 4 3 4 5 4 4","11 5 3 17 15 9 7 13 1 8 10 14 12 18 4 2 6 16"
"The Club Renaissance","FL","Sun City Center","Red","63.7","118","69.1","124","4645","4 4 5 3 4 4 3 5 4 5 4 3 4 3 4 5 4 4","11 5 3 17 15 9 7 13 1 8 10 14 12 18 4 2 6 16"
"The Club Renaissance","FL","Sun City Center","Orange","61.2","110","64.6","119","3982","4 4 5 3 4 4 3 5 4 5 4 3 4 3 4 5 4 4","11 5 3 17 15 9 7 13 1 8 10 14 12 18 4 2 6 16"
"Lost Key Golf Club","FL","Pensacola","Black","73","143","","","6690","5 3 4 4 4 5 3 4 4 4 3 5 3 4 4 3 4 5","13 11 5 17 3 15 9 1 7 4 12 16 18 6 8 14 2 10"
"Lost Key Golf Club","FL","Pensacola","Blue","71.4","137","78.1","150","6332","5 3 4 4 4 5 3 4 4 4 3 5 3 4 4 3 4 5","13 11 5 17 3 15 9 1 7 4 12 16 18 6 8 14 2 10"
"Lost Key Golf Club","FL","Pensacola","White","69.3","128","75.6","144","5902","5 3 4 4 4 5 3 4 4 4 3 5 3 4 4 3 4 5","13 11 5 17 3 15 9 1 7 4 12 16 18 6 8 14 2 10"
"Lost Key Golf Club","FL","Pensacola","Gold","65.9","110","71.1","126","5243","5 3 4 4 4 5 3 4 4 4 3 5 3 4 4 3 4 5","13 11 5 17 3 15 9 1 7 4 12 16 18 6 8 14 2 10"
"Lost Key Golf Club","FL","Pensacola","Red","64","105","68.9","121","4807","5 3 4 4 4 5 3 4 4 4 3 5 3 4 4 3 4 5","13 11 5 17 3 15 9 1 7 4 12 16 18 6 8 14 2 10"
