name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
"Miami Beach Golf Club",FL,"Miami Beach","Black",74.1,142,,,6813,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club",FL,"Miami Beach","Black/Blue",72.9,140,,,6605,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club",FL,"Miami Beach","Blue",72.2,138,77.7,145,6430,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club",FL,"Miami Beach","White/Blue",71.2,136,76.5,142,6206,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club",FL,"Miami Beach","White",70.1,133,75.4,140,6007,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club",FL,"Miami Beach","White/Yellow",69.1,130,74.2,137,5799,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club",FL,"Miami Beach","Yellow",68,125,72.8,135,5557,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club",FL,"Miami Beach","Yellow/Red",66.1,122,70.6,129,5159,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"Miami Beach Golf Club",FL,"Miami Beach","Red",64.8,118,69.1,123,4905,"5 4 3 4 5 3 4 4 3 5 4 5 4 3 5 4 3 4","3 15 11 1 9 17 13 5 7 6 2 10 4 16 14 12 18 8"
"River Run Golf Links",FL,"","Blue",70.6,133,77,145,6318,"4 4 4 4 3 4 4 3 5 4 5 4 4 4 3 4 3 4","11 1 7 5 15 9 13 17 3 12 6 4 14 2 18 10 16 8"
"River Run Golf Links",FL,"","White",68.3,124,74.4,140,5836,"4 4 4 4 3 4 4 3 5 4 5 4 4 4 3 4 3 4","11 1 7 5 15 9 13 17 3 12 6 4 14 2 18 10 16 8"
"River Run Golf Links",FL,"","Gold",66.2,116,71.5,130,5331,"4 4 4 4 3 4 4 3 5 4 5 4 4 4 3 4 3 4","11 1 7 5 15 9 13 17 3 12 6 4 14 2 18 10 16 8"
"River Run Golf Links",FL,"","Red",63.7,111,68.6,117,4709,"4 4 4 4 3 4 4 3 5 4 5 4 4 4 3 4 3 4","11 1 7 5 15 9 13 17 3 12 6 4 14 2 18 10 16 8"
"Bobby Jones Golf Club",FL,"Sarasota","Red",72.3,133,,,6714,"4 4 3 5 5 4 4 3 4 4 5 4 3 4 4 3 4 4","7 3 11 17 15 1 13 9 5 12 6 14 16 8 2 10 18 4"
"Bobby Jones Golf Club",FL,"Sarasota","Black",70.7,131,76.5,139,6389,"4 4 3 5 5 4 4 3 4 4 5 4 3 4 4 3 4 4","7 3 11 17 15 1 13 9 5 12 6 14 16 8 2 10 18 4"
"Bobby Jones Golf Club",FL,"Sarasota","Ross",70.2,128,,,6240,"4 4 3 5 5 4 4 3 4 4 5 4 3 4 4 3 4 4","7 3 11 17 15 1 13 9 5 12 6 14 16 8 2 10 18 4"
"Bobby Jones Golf Club",FL,"Sarasota","Blue",69.4,126,74.7,135,6061,"4 4 3 5 5 4 4 3 4 4 5 4 3 4 4 3 4 4","7 3 11 17 15 1 13 9 5 12 6 14 16 8 2 10 18 4"
"Bobby Jones Golf Club",FL,"Sarasota","Tan",67.3,124,72.5,130,5668,"4 4 3 5 5 4 4 3 4 4 5 4 3 4 4 3 4 4","7 3 11 17 15 1 13 9 5 12 6 14 16 8 2 10 18 4"
"Bobby Jones Golf Club",FL,"Sarasota","White",64.4,111,69.2,121,5061,"4 4 3 5 5 4 4 3 4 4 5 4 3 4 4 3 4 4","7 3 11 17 15 1 13 9 5 12 6 14 16 8 2 10 18 4"
"Bobby Jones Golf Club",FL,"Sarasota","Yellow",62.2,107,66.5,116,4583,"4 4 3 5 5 4 4 3 4 4 5 4 3 4 4 3 4 4","7 3 11 17 15 1 13 9 5 12 6 14 16 8 2 10 18 4"
"River Isles Golf Course",FL,"","Mens",34.1,111,,,1600,"3 3 4 3 3 4 4 3 3","2 7 5 8 6 3 4 1 9"
"River Isles Golf Course",FL,"","Ladies",,,36.1,113,1477,"3 3 4 3 3 4 4 3 3","2 7 5 8 6 3 4 1 9"
"Pinebrook Ironwood Golf Club",FL,"Bradenton","White",59.1,96,61,103,3752,"4 3 3 3 3 4 3 4 3 4 4 3 3 4 4 3 3 3","13 3 17 5 15 11 7 9 1 8 10 12 16 6 2 4 14 18"
"Pinebrook Ironwood Golf Club",FL,"Bradenton","Red",56.7,90,59,99,3122,"4 3 3 3 3 4 3 4 3 4 4 3 3 4 4 3 3 3","13 3 17 5 15 11 7 9 1 8 10 12 16 6 2 4 14 18"
"Palm Aire Country Club",FL,"Sarasota","Blue",73.2,129,,,6944,"4 5 4 3 5 4 3 4 4 4 5 4 3 5 4 3 4 4","9 7 13 15 11 3 17 5 1 8 6 12 18 10 4 16 14 2"
"Palm Aire Country Club",FL,"Sarasota","Green",71.5,126,77.4,137,6586,"4 5 4 3 5 4 3 4 4 4 5 4 3 5 4 3 4 4","9 7 13 15 11 3 17 5 1 8 6 12 18 10 4 16 14 2"
"Palm Aire Country Club",FL,"Sarasota","White",69.8,124,75.5,132,6363,"4 5 4 3 5 4 3 4 4 4 5 4 3 5 4 3 4 4","9 7 13 15 11 3 17 5 1 8 6 12 18 10 4 16 14 2"
"Palm Aire Country Club",FL,"Sarasota","Gold",67.2,117,72.2,126,5582,"4 5 4 3 5 4 3 4 4 4 5 4 3 5 4 3 4 4","9 7 13 15 11 3 17 5 1 8 6 12 18 10 4 16 14 2"
"Palm Aire Country Club",FL,"Sarasota","Red",65.9,115,70.7,122,5318,"4 5 4 3 5 4 3 4 4 4 5 4 3 5 4 3 4 4","9 7 13 15 11 3 17 5 1 8 6 12 18 10 4 16 14 2"
"Palm Aire Country Club",FL,"Sarasota","Orange",61.2,103,64.7,109,4111,"4 5 4 3 5 4 3 4 4 4 5 4 3 5 4 3 4 4","9 7 13 15 11 3 17 5 1 8 6 12 18 10 4 16 14 2"
"Bradenton Country Club",FL,"Bradenton","Tee I",73.1,137,,,6904,"4 5 4 3 4 3 4 4 5 5 4 4 3 4 5 4 3 4","10 12 2 16 8 18 6 4 14 9 7 1 15 11 3 5 17 13"
"Bradenton Country Club",FL,"Bradenton","Tee II",71.5,135,,,6410,"4 5 4 3 4 3 4 4 5 5 4 4 3 4 5 4 3 4","10 12 2 16 8 18 6 4 14 9 7 1 15 11 3 5 17 13"
"Bradenton Country Club",FL,"Bradenton","Tee III",70.1,126,,,6130,"4 5 4 3 4 3 4 4 5 5 4 4 3 4 5 4 3 4","10 12 2 16 8 18 6 4 14 9 7 1 15 11 3 5 17 13"
"Bradenton Country Club",FL,"Bradenton","Tee III/IV",69.1,125,,,5932,"4 5 4 3 4 3 4 4 5 5 4 4 3 4 5 4 3 4","10 12 2 16 8 18 6 4 14 9 7 1 15 11 3 5 17 13"
"Bradenton Country Club",FL,"Bradenton","Tee IV",68.6,120,74,131,5706,"4 5 4 3 4 3 4 4 5 5 4 4 3 4 5 4 3 4","10 12 2 16 8 18 6 4 14 9 7 1 15 11 3 5 17 13"
"Bradenton Country Club",FL,"Bradenton","Tee V",66.8,119,72.1,126,5349,"4 5 4 3 4 3 4 4 5 5 4 4 3 4 5 4 3 4","10 12 2 16 8 18 6 4 14 9 7 1 15 11 3 5 17 13"
"Miami Shores Country Club",FL,"Miami Shores","Blue",71.5,124,,,6705,"5 3 4 4 4 4 5 3 3 4 4 4 5 4 4 4 3 4","5 15 11 9 3 7 1 13 17 18 16 14 12 6 2 4 10 8"
"Miami Shores Country Club",FL,"Miami Shores","White",69.5,121,75.8,139,6310,"5 3 4 4 4 4 5 3 3 4 4 4 5 4 4 4 3 4","5 15 11 9 3 7 1 13 17 18 16 14 12 6 2 4 10 8"
"Miami Shores Country Club",FL,"Miami Shores","Gold",67.3,119,73.2,124,5511,"5 3 4 4 4 4 5 3 3 4 4 4 5 4 4 4 3 4","5 15 11 9 3 7 1 13 17 18 16 14 12 6 2 4 10 8"
"Miami Shores Country Club",FL,"Miami Shores","Red",63.6,114,68.6,122,5031,"5 3 4 4 4 4 5 3 3 4 4 4 5 4 4 4 3 4","5 15 11 9 3 7 1 13 17 18 16 14 12 6 2 4 10 8"
"Coral Ridge Country Club",FL,"Fort Lauderdale","Championship",75.4,137,,,7322,"4 4 4 5 3 4 5 3 4 4 5 3 5 4 4 3 4 4","5 1 7 15 13 3 9 17 11 10 12 8 6 2 14 18 16 4"
"Coral Ridge Country Club",FL,"Fort Lauderdale","Long",73.7,132,,,6875,"4 4 4 5 3 4 5 3 4 4 5 3 5 4 4 3 4 4","5 1 7 15 13 3 9 17 11 10 12 8 6 2 14 18 16 4"
"Coral Ridge Country Club",FL,"Fort Lauderdale","Club",71.4,128,,,6421,"4 4 4 5 3 4 5 3 4 4 5 3 5 4 4 3 4 4","5 1 7 15 13 3 9 17 11 10 12 8 6 2 14 18 16 4"
"Coral Ridge Country Club",FL,"Fort Lauderdale","Middle",68.2,126,73.7,133,5810,"4 4 4 5 3 4 5 3 4 4 5 3 5 4 4 3 4 4","5 1 7 15 13 3 9 17 11 10 12 8 6 2 14 18 16 4"
"Coral Ridge Country Club",FL,"Fort Lauderdale","Member",65.1,117,70.1,125,5198,"4 4 4 5 3 4 5 3 4 4 5 3 5 4 4 3 4 4","5 1 7 15 13 3 9 17 11 10 12 8 6 2 14 18 16 4"
"Coral Ridge Country Club",FL,"Fort Lauderdale","Forward",62.8,113,67,118,4600,"4 4 4 5 3 4 5 3 4 4 5 3 5 4 4 3 4 4","5 1 7 15 13 3 9 17 11 10 12 8 6 2 14 18 16 4"
"Biltmore Golf Course",FL,"Coral Gables","Black",74.3,132,,,7112,"5 3 4 4 4 4 4 3 4 4 4 3 4 3 5 4 4 5","16 12 10 18 4 6 2 8 14 5 7 11 3 17 9 13 1 15"
"Biltmore Golf Course",FL,"Coral Gables","Ross",72.6,128,79,140,6758,"5 3 4 4 4 4 4 3 4 4 4 3 4 3 5 4 4 5","16 12 10 18 4 6 2 8 14 5 7 11 3 17 9 13 1 15"
"Biltmore Golf Course",FL,"Coral Gables","Blue",71.2,126,77.2,137,6448,"5 3 4 4 4 4 4 3 4 4 4 3 4 3 5 4 4 5","16 12 10 18 4 6 2 8 14 5 7 11 3 17 9 13 1 15"
"Biltmore Golf Course",FL,"Coral Gables","Members",70,124,75.9,134,6216,"5 3 4 4 4 4 4 3 4 4 4 3 4 3 5 4 4 5","16 12 10 18 4 6 2 8 14 5 7 11 3 17 9 13 1 15"
"Biltmore Golf Course",FL,"Coral Gables","White",69.2,122,75,133,6050,"5 3 4 4 4 4 4 3 4 4 4 3 4 3 5 4 4 5","16 12 10 18 4 6 2 8 14 5 7 11 3 17 9 13 1 15"
"Biltmore Golf Course",FL,"Coral Gables","Red",65.6,116,70.5,118,5288,"5 3 4 4 4 4 4 3 4 4 4 3 4 3 5 4 4 5","16 12 10 18 4 6 2 8 14 5 7 11 3 17 9 13 1 15"
