id,name,state,reason
hilltop-golf-course-the-villages,Hilltop Golf Course (The Villages),FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
orange-county-national-golf-center-lodge,Orange County National Golf Center & Lodge,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
img-academy-golf-club,IMG Academy Golf Club,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
topgolf-miami-gardens,Topgolf Miami Gardens,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
twin-brooks-golf-course-and-driving-range,Twin Brooks Golf Course and Driving Range,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
the-cove-of-rotonda-golf-center,The Cove of Rotonda Golf Center,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
fred-gay-golf-academy-driving-range,Fred Gay Golf Academy Driving Range,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
lutz-executive-golf-center,Lutz Executive Golf Center,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
driving-range-tee-off,Driving Range Tee off,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
practice-disc-golf-course,Practice Disc Golf Course,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
sweet-swing-driving-range,Sweet Swing driving range,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
timber-toss-disc-golf,Timber Toss Disc Golf,FL,junk (range/practice/mini-golf/academy) — not a mappable golf course
