name,state,reason
"Congo River Golf",FL,mini-golf-entertainment
"16 holes",FL,fragment-not-course
"5 holes",FL,fragment-not-course
"Summit Golf Inc",FL,not-a-golf-course
"UNF",FL,not-a-golf-course
"The Lake Club Amenity Center",FL,not-a-golf-course
"Tee Box 1",FL,fragment-not-course
"The Clutch",FL,fragment-not-course
"Candler Hills Hole 4",FL,fragment-not-course
"Candler Hills Hole 3",FL,fragment-not-course
"Candler Hills Hole 2",FL,fragment-not-course
"Candler Hills Hole 1",FL,fragment-not-course
"Little Sandy Short Course",FL,short-course
"East Lake Community Church",FL,not-a-golf-course
"YCS",FL,not-a-golf-course
"Emerald Bay Golf Course New Eigth Green",FL,fragment-not-course
"Camp Phosphate Co #1",FL,not-a-golf-course
"Seven Springs Golf and Country Club Home Page",FL,not-a-golf-course
"Topgolf Miami Gardens",FL,mini-golf-entertainment
"Twin Brooks Golf Course and Driving Range",FL,driving-range
"The Cove of Rotonda Golf Center",FL,driving-range
"Fred Gay Golf Academy Driving Range",FL,driving-range
"Lutz Executive Golf Center",FL,driving-range
"Driving Range Tee off",FL,driving-range
"Practice Disc Golf Course",FL,driving-range
"Sweet Swing driving range",FL,driving-range
"Timber Toss Disc Golf",FL,disc-golf
"fairway",FL,fragment-not-course
"Palm Beach Par 3 Golf Course",FL,par3-course
"The Nest Par 3 Golf Course",FL,par3-course
"Kings Point Par 3 Course",FL,par3-course
"Crystal Lake Country Club - Tam O'Shanter Golf Course (closed)",FL,closed
