"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"East Lake Golf Club","GA","Atlanta","Tour","76.6","144","","","7496","5 3 4 4 4 5 4 4 3 4 3 4 4 5 3 4 4 5","17 11 3 9 5 15 1 13 7 4 12 8 6 18 16 2 14 10"
"East Lake Golf Club","GA","Atlanta","Medal","74.2","138","","","6904","5 3 4 4 4 5 4 4 3 4 3 4 4 5 3 4 4 5","17 11 3 9 5 15 1 13 7 4 12 8 6 18 16 2 14 10"
"East Lake Golf Club","GA","Atlanta","Jones","71.8","130","","","6318","5 3 4 4 4 5 4 4 3 4 3 4 4 5 3 4 4 5","17 11 3 9 5 15 1 13 7 4 12 8 6 18 16 2 14 10"
"East Lake Golf Club","GA","Atlanta","Member","70.5","128","73.8","134","5708","5 3 4 4 4 5 4 4 3 4 3 4 4 5 3 4 4 5","17 11 3 9 5 15 1 13 7 4 12 8 6 18 16 2 14 10"
"East Lake Golf Club","GA","Atlanta","Forward","65.1","117","69.9","126","4766","5 3 4 4 4 5 4 4 3 4 3 4 4 5 3 4 4 5","17 11 3 9 5 15 1 13 7 4 12 8 6 18 16 2 14 10"
"Cherokee Town and Country Club (North)","GA","Atlanta","Black","75.2","143","","","7170","4 3 4 4 5 4 3 4 5 4 3 4 4 3 5 4 4 5","13 15 5 3 11 7 17 1 9 18 16 6 14 8 10 2 4 12"
"Cherokee Town and Country Club (North)","GA","Atlanta","Fazio","74","139","","","6922","4 3 4 4 5 4 3 4 5 4 3 4 4 3 5 4 4 5","13 15 5 3 11 7 17 1 9 18 16 6 14 8 10 2 4 12"
"Cherokee Town and Country Club (North)","GA","Atlanta","Burgundy","73.1","137","","","6696","4 3 4 4 5 4 3 4 5 4 3 4 4 3 5 4 4 5","13 15 5 3 11 7 17 1 9 18 16 6 14 8 10 2 4 12"
"Cherokee Town and Country Club (North)","GA","Atlanta","Founders","71.6","135","","","6368","4 3 4 4 5 4 3 4 5 4 3 4 4 3 5 4 4 5","13 15 5 3 11 7 17 1 9 18 16 6 14 8 10 2 4 12"
"Cherokee Town and Country Club (North)","GA","Atlanta","Blue","71.1","131","77.6","146","6177","4 3 4 4 5 4 3 4 5 4 3 4 4 3 5 4 4 5","13 15 5 3 11 7 17 1 9 18 16 6 14 8 10 2 4 12"
"Druid Hills Golf Club","GA","Atlanta","Dogwood","73.7","142","80.6","148","6891","4 4 4 4 4 3 5 3 5 4 4 4 3 5 4 4 3 5","11 13 15 5 1 17 3 7 9 6 4 10 16 2 14 12 18 8"
"Druid Hills Golf Club","GA","Atlanta","President","72.8","139","79.2","146","6564","4 4 4 4 4 3 5 3 5 4 4 4 3 5 4 4 3 5","11 13 15 5 1 17 3 7 9 6 4 10 16 2 14 12 18 8"
"Druid Hills Golf Club","GA","Atlanta","Blue","71.8","134","77.7","142","6353","4 4 4 4 4 3 5 3 5 4 4 4 3 5 4 4 3 5","11 13 15 5 1 17 3 7 9 6 4 10 16 2 14 12 18 8"
