name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Turtle Cove,GA,Monticello,middle,58.9,90,,,4030,,9 13 3 7 17 15 1 5 11 10 14 4 8 18 16 2 6 12
Turtle Cove,GA,Monticello,forward,59.7,92,,,3560,,9 13 3 7 17 15 1 5 11 10 14 4 8 18 16 2 6 12
Green Island Hills Golf Course,GA,Columbus,Soutthern Open,72.1,136,,,6512,4 3 5 4 4 4 4 3 4 4 3 4 4 5 4 3 5 4,7 15 3 9 1 13 11 17 5 8 18 14 10 4 12 16 2 6
Green Island Hills Golf Course,GA,Columbus,Island,71.1,133,,,6186,4 3 5 4 4 4 4 3 4 4 3 4 4 5 4 3 5 4,7 15 3 9 1 13 11 17 5 8 18 14 10 4 12 16 2 6
Green Island Hills Golf Course,GA,Columbus,Swan,69.5,129,,,5828,4 3 5 4 4 4 4 3 4 4 3 4 4 5 4 3 5 4,7 15 3 9 1 13 11 17 5 8 18 14 10 4 12 16 2 6
Green Island Hills Golf Course,GA,Columbus,Dogwood (W),72.5,129,72.5,129,,4 3 5 4 4 4 4 3 4 4 3 4 4 5 4 3 5 4,7 15 3 9 1 13 11 17 5 8 18 14 10 4 12 16 2 6
Green Island Hills Golf Course,GA,Columbus,Jordan,66.5,124,,,5290,4 3 5 4 4 4 4 3 4 4 3 4 4 5 4 3 5 4,7 15 3 9 1 13 11 17 5 8 18 14 10 4 12 16 2 6
Green Island Hills Golf Course,GA,Columbus,Azalea (W),70.8,126,70.8,126,,4 3 5 4 4 4 4 3 4 4 3 4 4 5 4 3 5 4,7 15 3 9 1 13 11 17 5 8 18 14 10 4 12 16 2 6
Fort McPherson Golf Course,GA,Atlanta,Blue,70.4,126,,,6296,,
Hawks Ridge Golf Club,GA,Ball Ground,Black,76.1,150,,,7235,4 4 3 5 3 4 5 4 4 4 4 3 5 4 4 3 4 5,9 3 11 5 17 15 1 13 7 2 6 18 12 16 10 14 4 8
Hawks Ridge Golf Club,GA,Ball Ground,Gold,73.8,146,,,6781,4 4 3 5 3 4 5 4 4 4 4 3 5 4 4 3 4 5,9 3 11 5 17 15 1 13 7 2 6 18 12 16 10 14 4 8
Hawks Ridge Golf Club,GA,Ball Ground,White,71.4,139,77.5,150,6392,4 4 3 5 3 4 5 4 4 4 4 3 5 4 4 3 4 5,9 3 11 5 17 15 1 13 7 2 6 18 12 16 10 14 4 8
Hawks Ridge Golf Club,GA,Ball Ground,Blue,70.0,134,75.8,146,6032,4 4 3 5 3 4 5 4 4 4 4 3 5 4 4 3 4 5,9 3 11 5 17 15 1 13 7 2 6 18 12 16 10 14 4 8
Hawks Ridge Golf Club,GA,Ball Ground,Red,65.6,124,71.0,136,5120,4 4 3 5 3 4 5 4 4 4 4 3 5 4 4 3 4 5,9 3 11 5 17 15 1 13 7 2 6 18 12 16 10 14 4 8
Legacy Golf Links,GA,Smyrna,Black,55.6,86,,,2954,3 3 3 3 3 3 3 3 4 4 4 3 3 4 3 3 3 3,9 17 5 7 13 11 15 1 3 4 2 18 14 6 12 16 8 10
Legacy Golf Links,GA,Smyrna,Red (W),55.6,98,55.6,98,,3 3 3 3 3 3 3 3 4 4 4 3 3 4 3 3 3 3,9 17 5 7 13 11 15 1 3 4 2 18 14 6 12 16 8 10
Turkey Creek Golf Course,GA,Fitzgerald,White,33.8,105,,,3040,,
Turkey Creek Golf Course,GA,Fitzgerald,Red (W),32.8,100,32.8,100,,,
Old Toccoa Farm,GA,Mineral Bluff,Persimmon,73.8,149,,,6707,4 4 4 4 4 4 5 3 4 4 4 3 5 3 4 4 4 5,9 5 7 13 1 17 11 15 3 4 16 12 2 8 6 18 10 14
Old Toccoa Farm,GA,Mineral Bluff,Black,71.0,145,,,6261,4 4 4 4 4 4 5 3 4 4 4 3 5 3 4 4 4 5,9 5 7 13 1 17 11 15 3 4 16 12 2 8 6 18 10 14
Old Toccoa Farm,GA,Mineral Bluff,Blue,69.3,141,75.1,144,5911,4 4 4 4 4 4 5 3 4 4 4 3 5 3 4 4 4 5,9 5 7 13 1 17 11 15 3 4 16 12 2 8 6 18 10 14
Old Toccoa Farm,GA,Mineral Bluff,White,66.5,131,71.3,136,5250,4 4 4 4 4 4 5 3 4 4 4 3 5 3 4 4 4 5,9 5 7 13 1 17 11 15 3 4 16 12 2 8 6 18 10 14
Old Toccoa Farm,GA,Mineral Bluff,Lavender (W),67.2,123,67.2,123,,4 4 4 4 4 4 5 3 4 4 4 3 5 3 4 4 4 5,9 5 7 13 1 17 11 15 3 4 16 12 2 8 6 18 10 14
Eagle's Landing Country Club,GA,McDonough,Black,36.9,138,,,3522,4 5 4 3 4 5 4 3 4,
Eagle's Landing Country Club,GA,McDonough,Blue,36.1,134,,,3356,4 5 4 3 4 5 4 3 4,
Eagle's Landing Country Club,GA,McDonough,Gold,35.4,128,,,3160,4 5 4 3 4 5 4 3 4,
Eagle's Landing Country Club,GA,McDonough,White,34.8,123,,,3013,4 5 4 3 4 5 4 3 4,
Eagle's Landing Country Club,GA,McDonough,Red,35.5,128,,,2598,4 5 4 3 4 5 4 3 4,
