"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Mclemore Club Highlands Course","GA","Rising Fawn","Tee I","74","140","","","6908","5 4 3 4 3 5 3 4 4 4 3 5 3 4 4 4 5 4","5 1 17 13 11 9 15 7 3 16 10 2 18 8 12 6 14 4"
"Mclemore Club Highlands Course","GA","Rising Fawn","Tee II","72","138","","","6618","5 4 3 4 3 5 3 4 4 4 3 5 3 4 4 4 5 4","5 1 17 13 11 9 15 7 3 16 10 2 18 8 12 6 14 4"
"Mclemore Club Highlands Course","GA","Rising Fawn","Member","70.7","136","","","6332","5 4 3 4 3 5 3 4 4 4 3 5 3 4 4 4 5 4","5 1 17 13 11 9 15 7 3 16 10 2 18 8 12 6 14 4"
"Mclemore Club Highlands Course","GA","Rising Fawn","Tee III","69.6","130","75.5","137","6101","5 4 3 4 3 5 3 4 4 4 3 5 3 4 4 4 5 4","5 1 17 13 11 9 15 7 3 16 10 2 18 8 12 6 14 4"
"Mclemore Club Highlands Course","GA","Rising Fawn","Sr Member","68.5","128","","","5827","5 4 3 4 3 5 3 4 4 4 3 5 3 4 4 4 5 4","5 1 17 13 11 9 15 7 3 16 10 2 18 8 12 6 14 4"
"Mclemore Club Highlands Course","GA","Rising Fawn","Tee IV","67.6","127","73.1","131","5478","5 4 3 4 3 5 3 4 4 4 3 5 3 4 4 4 5 4","5 1 17 13 11 9 15 7 3 16 10 2 18 8 12 6 14 4"
"Mclemore Club Highlands Course","GA","Rising Fawn","Tee V","64.4","121","69.4","124","4870","5 4 3 4 3 5 3 4 4 4 3 5 3 4 4 4 5 4","5 1 17 13 11 9 15 7 3 16 10 2 18 8 12 6 14 4"
"Mclemore Club Highlands Course","GA","Rising Fawn","Tee VI","","","65","114","4253","5 4 3 4 3 5 3 4 4 4 3 5 3 4 4 4 5 4","5 1 17 13 11 9 15 7 3 16 10 2 18 8 12 6 14 4"
"Highland Country Club","GA","LaGrange","Blue","72.4","136","","","6557","5 4 4 4 4 3 5 3 4 4 4 5 3 4 4 5 3 4","9 3 11 1 5 17 15 13 7 8 4 14 18 10 6 16 12 2"
"Highland Country Club","GA","LaGrange","White","71.2","133","76.8","137","6256","5 4 4 4 4 3 5 3 4 4 4 5 3 4 4 5 3 4","9 3 11 1 5 17 15 13 7 8 4 14 18 10 6 16 12 2"
"Highland Country Club","GA","LaGrange","Gold","68.5","128","73.8","134","5689","5 4 4 4 4 3 5 3 4 4 4 5 3 4 4 5 3 4","9 3 11 1 5 17 15 13 7 8 4 14 18 10 6 16 12 2"
"Highland Country Club","GA","LaGrange","Red","66","118","69.8","127","5092","5 4 4 4 4 3 5 3 4 4 4 5 3 4 4 5 3 4","9 3 11 1 5 17 15 13 7 8 4 14 18 10 6 16 12 2"
"Highland Country Club","GA","LaGrange","Green","60.3","111","61.9","107","3693","5 4 4 4 4 3 5 3 4 4 4 5 3 4 4 5 3 4","9 3 11 1 5 17 15 13 7 8 4 14 18 10 6 16 12 2"
"The Fields Golf Club","GA","Lagrange","Blue","72.2","130","","","6650","5 4 4 3 4 4 4 3 4 5 4 4 3 4 4 3 5 4","13 11 5 7 9 17 15 3 1 4 2 14 16 12 10 8 18 6"
"The Fields Golf Club","GA","Lagrange","White","70","126","","","6169","5 4 4 3 4 4 4 3 4 5 4 4 3 4 4 3 5 4","13 11 5 7 9 17 15 3 1 4 2 14 16 12 10 8 18 6"
"The Fields Golf Club","GA","Lagrange","Gold","67.5","117","72.8","128","5648","5 4 4 3 4 4 4 3 4 5 4 4 3 4 4 3 5 4","13 11 5 7 9 17 15 3 1 4 2 14 16 12 10 8 18 6"
"The Fields Golf Club","GA","Lagrange","Red","","","68","116","4854","5 4 4 3 4 4 4 3 4 5 4 4 3 4 4 3 5 4","13 11 5 7 9 17 15 3 1 4 2 14 16 12 10 8 18 6"
"Mclemore Club the Keep","GA","Rising Fawn","Blue","73.7","140","","","7036","4 5 3 4 4 4 5 3 4 5 3 4 4 3 5 4 4 4","1 13 9 11 7 17 15 5 3 6 10 18 4 8 12 2 16 14"
"Mclemore Club the Keep","GA","Rising Fawn","White","70.6","132","","","6413","4 5 3 4 4 4 5 3 4 5 3 4 4 3 5 4 4 4","1 13 9 11 7 17 15 5 3 6 10 18 4 8 12 2 16 14"
"Mclemore Club the Keep","GA","Rising Fawn","Green","67","127","72","130","5702","4 5 3 4 4 4 5 3 4 5 3 4 4 3 5 4 4 4","1 13 9 11 7 17 15 5 3 6 10 18 4 8 12 2 16 14"
"Mclemore Club the Keep","GA","Rising Fawn","Copper","64.2","120","68.1","118","4896","4 5 3 4 4 4 5 3 4 5 3 4 4 3 5 4 4 4","1 13 9 11 7 17 15 5 3 6 10 18 4 8 12 2 16 14"
"Cherokee Golf Country Club","GA","Cedartown","Blue","72.2","129","","","6806","5 3 4 5 4 4 3 4 4 4 3 4 4 4 4 5 3 5","5 3 7 9 1 17 15 11 13 2 12 6 4 14 10 16 8 18"
"Cherokee Golf Country Club","GA","Cedartown","White","69.6","124","75.9","132","6292","5 3 4 5 4 4 3 4 4 4 3 4 4 4 4 5 3 5","5 3 7 9 1 17 15 11 13 2 12 6 4 14 10 16 8 18"
"Cherokee Golf Country Club","GA","Cedartown","Gold","64.6","108","69.5","118","5230","5 3 4 5 4 4 3 4 4 4 3 4 4 4 4 5 3 5","5 3 7 9 1 17 15 11 13 2 12 6 4 14 10 16 8 18"
"Cherokee Golf Country Club","GA","Cedartown","Red","64.1","106","68.8","117","5117","5 3 4 5 4 4 3 4 4 4 3 4 4 4 4 5 3 5","5 3 7 9 1 17 15 11 13 2 12 6 4 14 10 16 8 18"
"Cedar Valley Golf Club","GA","Cedartown","Blue","67","121","","","5664","4 3 5 3 5 4 3 4 5 4 3 4 4 4 3 5 3 5","3 9 5 13 11 7 17 15 1 10 14 6 12 8 18 2 16 4"
"Cedar Valley Golf Club","GA","Cedartown","White","65.3","118","71.2","124","5336","4 3 5 3 5 4 3 4 5 4 3 4 4 4 3 5 3 5","3 9 5 13 11 7 17 15 1 10 14 6 12 8 18 2 16 4"
