"name","state","reason"
"Charlie Yates Golf Course","GA","par3-nine (par 30)"
"Cross Creek Golf Club","GA","par3-exec (all-par-3 18)"
"Legacy Golf Links","GA","par3-exec (par 58)"
"Noonan Golf Facility","GA","practice-facility (Georgia Tech)"
"Wendell Coffee Golf & Event Center","GA","par3-range"
"Fort McPherson Golf Course","GA","closed-2011"
"The Villages of East Lake","GA","not-a-course"
"Chateau Elan Golf Club - Executive Par 3 Course","GA","par3-nine"
"Godwin Creek Golf Course","GA","par3-nine"
"Turtle Cove","GA","par3-nine"
"Candler Park Golf Course","GA","par3-nine"
"Green Island Hills Golf Course","GA","dup (neighborhood of Green Island CC)"
"Louisville Golf Club","GA","dup (same as Ogeechee Valley CC)"
"Pumpkinvine Golf Club","GA","closed"
"Sandy Run Golf Club","GA","dup (address of International City GC)"
"Teaver Golf","GA","junk-geodata"
"Town and Country Club","GA","closed-2021 (Blakely T&CC)"
"Wymberly Community Golf Course","GA","par3-nine (community amenity)"
"Clubhouse","GA","junk"
"Driving Range","GA","junk"
"Miniature Golf","GA","junk"
"Putt Putt","GA","junk"
"Twisted Pine Golf Course","GA","9hole-incomplete (no published rating)"
"Turkey Creek Golf Course","GA","9hole-incomplete (no per-hole card)"
