"name","city","verified","reason"
"Eel River Golf Course","IN","Y","delta 8 (wrong-course?)"
"Shoaff Park Golf Course","IN","Y","OGA data failed sanity gate"
"Whispering Pines Golf Course","IN","Y","OGA data failed sanity gate"
"McMillen Park Golf Course","Fort Wayne, IN","","OGA data failed sanity gate"
"Pete Dye Course","IN","Y","delta 14 (wrong-course?)"
"Turkey Creek Golf Course","IN","Y","OGA data failed sanity gate"
"Hazelden Country Club","Brook, IN","","OGA data failed sanity gate"
"Long Beach Country Club","IN","Y","delta 8 (wrong-course?)"
"Maplecrest Country Club","Goshen, IN","Y","delta 9 (wrong-course?)"
"Summertree Golf Club","IN","","OGA data failed sanity gate"
"Helfrich Golf Course","Evansville, IN","Y","OGA data failed sanity gate"
"Heartland Crossing Golf Links","Camby, IN","Y","OGA data failed sanity gate"
"West Chase Golf Club","Brownsburg, IN","Y","OGA data failed sanity gate"
"Sarah Shank Golf Course","Indianapolis, IN","Y","OGA data failed sanity gate"
"Hoosier Links Golf Club","Milan, IN","Y","OGA data failed sanity gate"
"Winding Branch Golf Course","IN","Y","OGA data failed sanity gate"
"Elk Run Golf Club","Jeffersonville, IN","Y","OGA data failed sanity gate"
"Meadowbrook Golf Course","Anderson, IN","Y","OGA data failed sanity gate"
"Grandview Golf Course","Anderson, IN","Y","OGA data failed sanity gate"
"Centennial Park 9-Hole Golf Course","IN","","our rating<55 (9-hole); delta 34 (wrong-course?); OGA data failed sanity gate"
"Elks Country Club","Kendallville, IN","","OGA data failed sanity gate"
"Windy Hill Country Club","IN","","OGA data failed sanity gate"
"Crawfordsville Golf Course","Crawfordsville, IN","Y","OGA data failed sanity gate"
"Clover Meadows Golf Course","IN","Y","OGA data failed sanity gate"
"Logansport Country Club","IN","Y","OGA data failed sanity gate"
"Deer Track Golf","Frankfort, IN","Y","delta 9 (wrong-course?)"
"Valle Vista Golf Course","Greenwood, IN","Y","OGA data failed sanity gate"
"Prestwick Country Club","IN","Y","OGA data failed sanity gate"
"Chestnut Hills Golf Club","Fort Wayne, IN","Y","OGA data failed sanity gate"
"Hidden Valley Golf Club","Lawrenceburg, IN","Y","OGA data failed sanity gate"
"Tipton Municipal Golf Course","IN","Y","OGA data failed sanity gate"
