"name","state","city","phone","website","address"
"Ackerman-Allen Golf Course","IN","West Lafayette","","https://purduegolf.com/ackerman-allen/","West Lafayette IN 47907"
"American Legion Golf Course","IN","Kokomo","","",""
"Anderson Country Club","IN","Anderson","+1 765 642 0100","https://andersoncountryclub.net/","602 Northshore Boulevard Anderson IN 46011"
"Angel Hill GC","IN","Rossville","","",""
"Arbor Trace Golf Club","IN","Marion","+1-765-662-8236","","2500 East 550 North Marion IN 46952"
"Arrowhead Golf Course","IN","Greenfield","","",""
"Autumn Ridge Golf","IN","Fort Wayne","+1-260-637-8727","https://www.autumnridgegc.com/","11420 Auburn Road Fort Wayne IN 46845"
"Battle Ground Golf Club LLC","IN","Battle Ground","","","5505 Pretty Prairie Road BATTLE GROUND IN 47920"
"Bear Chase Golf Club","IN","Shelbyville","+1-317-392-9100","","2660 N. Riley Highway Shelbyville IN 46176"
"Beechwood Golf Course","IN","La Porte","+1 219 362 2651","https://www.thebeechwoodgolfcourse.com/","2222 Woodlawn Drive La Porte IN 46350"
"Belterra Golf Course","IN","Florence","","https://www.belterracasino.com/amenities/golf-course-and-clubhouse/",""
"Black Squirrel Golf Club","IN","Goshen","","",""
"Blackford Golf Club","IN","Hartford City","","",""
"Blackthorn Golf Club","IN","South Bend","","",""
"Bloomington Country Club","IN","Bloomington","+1-812-332-1116","https://www.bloomingtoncc.com/","3000 South Rogers Street Bloomington IN 47403"
"Bluff Creek Golf Course","IN","Greenwood","+1-317-422-4736","https://www.bluffcreekgolf.com/","2710 South Old State Route 37 Greenwood IN 46143"
"Briar Leaf Golf Club","IN","La Porte","","https://www.briarleaf.com/",""
"Brickyard Crossing Golf Course","IN","Indianapolis","+1-317-492-6417","https://www.brickyardcrossing.com/","4400 West 16th Street Indianapolis IN 46222"
"Bridgewater Golf Club","IN","Auburn","+1-260-925-8184","https://www.bridgewatergc.com/","1818 Morningstar Road Auburn IN 46706"
"Broadmoor Country Club","IN","Indianapolis","","",""
"Brookshire Golf Club","IN","Carmel","+1-317-846-7431","https://www.brookshiregolf.com/","12120 Brookshire Parkway Carmel IN 46033"
"Brookwood Golf Club","IN","Fort Wayne","","",""
"Buffalo Trace Golf Course","IN","Jasper","+1 812 482 4600","https://www.jasperindiana.gov/egov/apps/locations/facilities.egov?view=detail&id=15","1728 Jackson Street Jasper IN 47546"
"Cardinal Hills Golf Course","IN","Selma","+1 765 288 2731","https://www.cardinalhills.com/","3900 South Whitney Road Selma IN 47383"
"Cedar Lake Golf Club","IN","Howe","+1-260-562-3923","https://cedarlakegc.com/","3355 E 700 N Howe IN 46746"
"Champions Pointe Golf Club","IN","Henryville","+1-812-294-1800","https://www.cbcpgolf.com/","1820 Champions Pointe Club Lane Henryville IN 47126"
"Chariot Run","IN","Laconia","+1-812-578-3355","https://golfchariotrun.com/","8191 Chariot Run Dr SE Laconia IN 47135"
"Chatham Hills Golf Course","IN","Westfield","","",""
"Cherry Hill Golf Club","IN","Fort Wayne","+1-260-485-8727","",""
"Chesapeake Run Golf Club","IN","North Judson","","",""
"Chestnut Hills Golf Club","IN","Fort Wayne","+1-260-625-4146","https://www.chestnuthillsgolf.com/","11502 Illinois Road Fort Wayne IN 46814"
"Chippendale Golf Course","IN","Kokomo","","",""
"Christiana Creek Country Club","IN","Elkhart","+1-574-264-3060","https://www.christianacreek.com/","116 West Bristol Street Elkhart IN 46514"
"Clover Meadows Golf Course","IN","Cloverdale","","",""
"Cobblestone Golf Course","IN","Kendallville","","http://cobblestonegc.com/cobblestone",""
"Coffin Golf Course","IN","Indianapolis","+1-317-327-7845","https://www.coffingolf.com/","2401 Cold Spring Road Indianapolis IN 46222"
"Colonial Oaks Golf Club","IN","Fort Wayne","+1-260-489-5121","http://www.colonialoaksgc.com/","8218 Huguenard Road Fort Wayne IN 46818"
"Country Club of Terre Haute","IN","Terre Haute","+1-812-299-1558","https://www.ccth.org/","57 Allendale Terre Haute IN 47802"
"Country Oaks Golf Course","IN","Montgomery","","",""
"Covered Bridge Golf Club","IN","Sellersburg","+1-812-246-8880","https://www.cbcpgolf.com/","12510 Covered Bridge Road Sellersburg IN 47172"
"Coyote Creek Golf Club","IN","Fort Wayne","+1-260-483-3148","http://www.ccgconline.com/","4935 Hillegas Road Fort Wayne IN 46818"
"Coyote Crossing Golf Club","IN","West Lafayette","","",""
"Crawfordsville Golf Course","IN","Crawfordsville","+1 765 364 5171","https://www.crawfordsvillegolf.com/","1000 East South Boulevard Crawfordsville IN 47933"
"Creekside Golf Course","IN","Valparaiso","+1-219-531-7888","http://www.ci.valparaiso.in.us/index.aspx?nid=677","2355 Clifford Road Valparaiso IN 46385"
"Crestview Golf Club","IN","Muncie","+1 765 289 6952","https://crestviewgolf.net/","3325 South Walnut Street Muncie IN 47302"
"Crooked Stick Golf Club","IN","Carmel","+1-317-844-9938","https://www.crookedstick.org/","1964 Burning Tree Lane Carmel IN 46032"
"Cross Creek Golf Club","IN","Decatur","","",""
"Curtis Creek Golf Course","IN","Rensselaer","+1 219 866 7729","https://www.curtiscreekgolf.com/",""
"Deer Creek Golf Club","IN","Clayton","+1-317-539-2013","https://deercreekgolfclub.com/","7143 South State Highway 39 Clayton IN 46118"
"Deer Track Golf","IN","Frankfort","","","775 N CR 700 W Frankfort IN"
"Delaware Country Club","IN","Muncie","+1 765 288 0238","https://www.delawarecc.com/","510 South Country Club Road Muncie IN 47302"
"Duck Creek Golf Course","IN","Hobart","+1-219-759-5870","https://duckcreekgolfcourse.com/","638 North 700 West Hobart IN 46342"
"Dye's Walk Country Club","IN","Greenwood","","",""
"Eagle Creek Golf Club","IN","Indianapolis","+1-317-297-3366","https://www.eaglecreekgolfclub.com/","8802 West 56th Street Indianapolis IN 46234"
"Eberhart Petro Golf Course","IN","Mishawaka","","",""
"Eel River Golf Course","IN","Churubusco","","",""
"Elbel Golf Course","IN","South Bend","","",""
"Elcona Country Club","IN","Bristol","","",""
"Elk Run Golf Club","IN","Jeffersonville","+1 812 283 9022","https://www.elkrungolfclub.com/","1820 Charlestown Pike Jeffersonville IN 47130"
"Elwood Golf Course","IN","Elwood","","",""
"Erskine Golf Course","IN","South Bend","","",""
"Evansville Country Club","IN","Evansville","","","3810 Stringtown Road IN"
"Fall Creek Golf Club","IN","Pendleton","+1 765 778 8071","https://fallspark.org/fall-creek-golf-club-pendleton","250 Reformatory Road Pendleton IN 46064"
"Fendrich Golf Course","IN","Evansville","+1-812-435-6070","https://www.fendrichgolfcourse.org/","1900 Diamond Avenue Evansville IN 47711"
"Forest Hills Country Club","IN","Richmond","+1-765-962-2711","https://www.fhcclub.com/","2169 South 23rd Street Richmond IN 47374"
"Forest Park Golf Course","IN","Valparaiso","+1-219-531-7888","http://in-valparaiso.civicplus.com/index.aspx?nid=601","1155 Sheffield Drive Valparaiso IN 46385"
"Foster Park Golf Course","IN","Fort Wayne","+1-260-427-6735","https://www.fostergolfcourse.com/","3900 Old Mill Road Fort Wayne IN 46807"
"Fox Prairie Golf Course","IN","Noblesville","+1-317-776-6357","http://www.foxprairie.com/","8465 East 196th Street Noblesville IN 46060"
"Foxcliff Golf Club","IN","Martinsville","+1 765 342 0409","http://www.foxcliffgc.com/","1970 Maple Turn Road Martinsville IN 46151"
"Glendarin Hills Golf Club","IN","Angola","+1-260-624-3550","https://www.glendarinhills.com/","3333 Glendarin Way Angola IN 46703"
"Golf Club of Indiana","IN","Lebanon","","",""
"Grandview Golf Course","IN","Anderson","+1 765 648 6880","https://www.cityofanderson.com/670/Grandview-Golf-Course","1907 Northshore Extended Anderson IN 46011"
"Gray Eagle Golf Club and Academy","IN","Fishers","+1-317-845-2900","https://grayeaglegolf.com/","12500 Brooks School Road Fishers IN 46038"
"Greensburg Country Club","IN","Greensburg","","",""
"Hamlet Golf Course","IN","Hamlet","","",""
"Harrison Hills Golf Course","IN","Attica","","",""
"Harrison Lake Country Club","IN","Columbus","","",""
"Hazelden Country Club","IN","Brook","+1 219 275 7771","https://www.hazeldencountryclub.com/","3705 E State Road 16 Brook IN 47922"
"Heartland Crossing Golf Links","IN","Camby","+1-317-630-1785","http://www.heartlandcrossinggolf.com/","6701 South Heartland Boulevard Camby IN 46113"
"Helfrich Golf Course","IN","Evansville","+1-812-435-6075","","1550 Mesker Park Drive Evansville IN 47712"
"Heron Creek Golf Club","IN","LaGrange","+1-260-463-2906","https://www.heroncreekgolfclub.com/","0615 West 050 North Lagrange IN 46761"
"Hidden Hills","IN","Springville","","",""
"Hidden Valley Golf Club","IN","Lawrenceburg","+1-513-241-6710","https://www.hiddenvalleylakegolfclub.com/","19775 Alpine Drive Lawrenceburg IN 47025"
"Hidden Valley Golf Course","IN","Angola","","",""
"High Pointe Golf Course","IN","Bicknell","","","5723 N. Golf Course Road Bicknell IN 47512"
"Highland Country Club","IN","Indianapolis","+1-317-255-5431","https://www.highlandgcc.com/","1050 West 52nd Street Indianapolis IN 46228"
"Highland Lake Golf Course","IN","Richmond","+1-765-983-7287","https://www.richmondindiana.gov/Our_Government/Departments/Parks_and_Recreation/Sports/Highland_Lake_Golf_Course.htm","1972 Highland Road Richmond IN 47374"
"Hillcrest Country Club","IN","Batesville","","",""
"Hillcrest Golf & Country Club","IN","Batesville","+1-812-934-3401","https://hillcrest-gcc.com/","850 North Walnut Street Batesville IN 47006"
