"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Colonial Oaks Golf Club","IN","Fort Wayne, IN","Blue","71.9","127","","","6582","4 4 4 4 5 3 4 3 4 4 4 5 3 5 4 4 3 4","7 9 11 13 5 17 3 15 1 6 4 2 18 10 14 12 16 8"
"Colonial Oaks Golf Club","IN","Fort Wayne, IN","White","69.5","122","","","5939","4 4 4 4 5 3 4 3 4 4 4 5 3 5 4 4 3 4","7 9 11 13 5 17 3 15 1 6 4 2 18 10 14 12 16 8"
"Colonial Oaks Golf Club","IN","Fort Wayne, IN","Red","","","70.7","123","5151","4 4 4 4 5 3 4 3 4 4 4 5 3 5 4 4 3 4","7 9 11 13 5 17 3 15 1 6 4 2 18 10 14 12 16 8"
"Coyote Creek Golf Club","IN","Fort Wayne, IN","Black","73.5","128","","","6978","5 5 3 4 4 4 3 4 4 4 4 4 4 3 5 4 3 5","13 9 15 7 5 3 11 17 1 6 8 18 10 16 4 2 12 14"
"Coyote Creek Golf Club","IN","Fort Wayne, IN","Blue","71.3","125","76.9","133","6520","5 5 3 4 4 4 3 4 4 4 4 4 4 3 5 4 3 5","13 9 15 7 5 3 11 17 1 6 8 18 10 16 4 2 12 14"
"Coyote Creek Golf Club","IN","Fort Wayne, IN","White","68.6","122","","","5994","5 5 3 4 4 4 3 4 4 4 4 4 4 3 5 4 3 5","13 9 15 7 5 3 11 17 1 6 8 18 10 16 4 2 12 14"
"Coyote Creek Golf Club","IN","Fort Wayne, IN","Silver","65.7","113","","","5456","5 5 3 4 4 4 3 4 4 4 4 4 4 3 5 4 3 5","13 9 15 7 5 3 11 17 1 6 8 18 10 16 4 2 12 14"
"Coyote Creek Golf Club","IN","Fort Wayne, IN","Gold","","","68.2","117","5135","5 5 3 4 4 4 3 4 4 4 4 4 4 3 5 4 3 5","13 9 15 7 5 3 11 17 1 6 8 18 10 16 4 2 12 14"
"Otter Creek Golf Course","IN","IN","Black","76.6","142","","","7349","5 4 3 4 5 4 4 3 4 4 4 4 3 5 3 4 4 5","8 12 16 6 2 14 10 18 4 1 17 13 15 11 9 3 7 5"
"Otter Creek Golf Course","IN","IN","Gold","74.3","139","","","6897","5 4 3 4 5 4 4 3 4 4 4 4 3 5 3 4 4 5","8 12 16 6 2 14 10 18 4 1 17 13 15 11 9 3 7 5"
"Otter Creek Golf Course","IN","IN","Blue","72.7","134","","","6537","5 4 3 4 5 4 4 3 4 4 4 4 3 5 3 4 4 5","8 12 16 6 2 14 10 18 4 1 17 13 15 11 9 3 7 5"
"Otter Creek Golf Course","IN","IN","White","70.2","129","","","6122","5 4 3 4 5 4 4 3 4 4 4 4 3 5 3 4 4 5","8 12 16 6 2 14 10 18 4 1 17 13 15 11 9 3 7 5"
"Otter Creek Golf Course","IN","IN","Green","66.5","124","","","5398","5 4 3 4 5 4 4 3 4 4 4 4 3 5 3 4 4 5","8 12 16 6 2 14 10 18 4 1 17 13 15 11 9 3 7 5"
"Otter Creek Golf Course","IN","IN","Red","62.8","116","","","4446","5 4 3 4 5 4 4 3 4 4 4 4 3 5 3 4 4 5","8 12 16 6 2 14 10 18 4 1 17 13 15 11 9 3 7 5"
