"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Ackerman-Allen Golf Course","IN","West Lafayette","Black","76.5","141","","","7546","4 5 4 4 3 5 3 4 4 4 4 4 3 5 4 5 3 4","10 8 14 12 16 6 18 4 2 11 5 17 13 9 1 7 15 3"
"Ackerman-Allen Golf Course","IN","West Lafayette","Blue","73.2","132","","","6838","4 5 4 4 3 5 3 4 4 4 4 4 3 5 4 5 3 4","10 8 14 12 16 6 18 4 2 11 5 17 13 9 1 7 15 3"
"Ackerman-Allen Golf Course","IN","West Lafayette","Hammer Down","71.1","129","","","6455","4 5 4 4 3 5 3 4 4 4 4 4 3 5 4 5 3 4","10 8 14 12 16 6 18 4 2 11 5 17 13 9 1 7 15 3"
"Ackerman-Allen Golf Course","IN","West Lafayette","White","70.7","129","","","6363","4 5 4 4 3 5 3 4 4 4 4 4 3 5 4 5 3 4","10 8 14 12 16 6 18 4 2 11 5 17 13 9 1 7 15 3"
"Ackerman-Allen Golf Course","IN","West Lafayette","Purdue Pete","69.9","124","","","6148","4 5 4 4 3 5 3 4 4 4 4 4 3 5 4 5 3 4","10 8 14 12 16 6 18 4 2 11 5 17 13 9 1 7 15 3"
"Ackerman-Allen Golf Course","IN","West Lafayette","Gold","69.1","124","74.8","129","6003","4 5 4 4 3 5 3 4 4 4 4 4 3 5 4 5 3 4","10 8 14 12 16 6 18 4 2 11 5 17 13 9 1 7 15 3"
"Ackerman-Allen Golf Course","IN","West Lafayette","Boiler Up","67.1","117","72.2","125","5571","4 5 4 4 3 5 3 4 4 4 4 4 3 5 4 5 3 4","10 8 14 12 16 6 18 4 2 11 5 17 13 9 1 7 15 3"
"Ackerman-Allen Golf Course","IN","West Lafayette","Silver","65.9","115","70.4","122","5255","4 5 4 4 3 5 3 4 4 4 4 4 3 5 4 5 3 4","10 8 14 12 16 6 18 4 2 11 5 17 13 9 1 7 15 3"
"American Legion Golf Course","IN","Kokomo","Blue","68","118","","","6067","4 4 3 5 4 3 5 4 3 3 5 4 4 3 4 5 3 4","5 1 7 11 13 3 17 9 15 10 4 6 14 12 8 18 2 16"
"American Legion Golf Course","IN","Kokomo","White","66.4","113","","","5767","4 4 3 5 4 3 5 4 3 3 5 4 4 3 4 5 3 4","5 1 7 11 13 3 17 9 15 10 4 6 14 12 8 18 2 16"
"American Legion Golf Course","IN","Kokomo","Red","62","96","65.4","106","5420","4 4 3 5 4 3 5 4 3 3 5 4 4 3 4 5 3 4","5 1 7 11 13 3 17 9 15 10 4 6 14 12 8 18 2 16"
"Anderson Country Club","IN","Anderson","Blue","71.9","129","","","6605","5 3 5 4 4 4 3 4 4 4 4 4 4 4 3 5 3 5","15 9 5 1 3 7 17 11 13 4 10 2 16 18 14 6 8 12"
"Anderson Country Club","IN","Anderson","White","70.3","128","","","6280","5 3 5 4 4 4 3 4 4 4 4 4 4 4 3 5 3 5","15 9 5 1 3 7 17 11 13 4 10 2 16 18 14 6 8 12"
"Anderson Country Club","IN","Anderson","White/Green","68.5","121","","","5845","5 3 5 4 4 4 3 4 4 4 4 4 4 4 3 5 3 5","15 9 5 1 3 7 17 11 13 4 10 2 16 18 14 6 8 12"
"Anderson Country Club","IN","Anderson","Green","66.7","113","71.4","124","5535","5 3 5 4 4 4 3 4 4 4 4 4 4 4 3 5 3 5","15 9 5 1 3 7 17 11 13 4 10 2 16 18 14 6 8 12"
"Anderson Country Club","IN","Anderson","Green/Yellow","65.2","112","69.9","119","5190","5 3 5 4 4 4 3 4 4 4 4 4 4 4 3 5 3 5","15 9 5 1 3 7 17 11 13 4 10 2 16 18 14 6 8 12"
"Anderson Country Club","IN","Anderson","Yellow","63.5","108","68.1","117","4865","5 3 5 4 4 4 3 4 4 4 4 4 4 4 3 5 3 5","15 9 5 1 3 7 17 11 13 4 10 2 16 18 14 6 8 12"
"Angel Hill GC","IN","Rossville","White","69.7","119","","","6138","4 4 4 4 3 5 4 3 4 4 3 5 4 3 4 4 5 4","7 15 3 9 11 5 1 13 17 8 10 4 6 18 16 12 2 14"
"Angel Hill GC","IN","Rossville","Gold","65.1","109","66.1","111","5332","4 4 4 4 3 5 4 3 4 4 3 5 4 3 4 4 5 4","7 15 3 9 11 5 1 13 17 8 10 4 6 18 16 12 2 14"
"Angel Hill GC","IN","Rossville","Red","","","65.9","107","4885","4 4 4 4 3 5 4 3 4 4 3 5 4 3 4 4 5 4","7 15 3 9 11 5 1 13 17 8 10 4 6 18 16 12 2 14"
"Arbor Trace Golf Club","IN","Marion","Blue","71.5","120","","","6718","4 4 4 4 5 3 4 3 5 4 4 3 4 3 5 4 4 4","9 1 3 15 7 11 17 13 5 18 6 16 12 14 8 4 10 2"
"Arbor Trace Golf Club","IN","Marion","White","69","112","74.2","123","6058","4 4 4 4 5 3 4 3 5 4 4 3 4 3 5 4 4 4","9 1 3 15 7 11 17 13 5 18 6 16 12 14 8 4 10 2"
