name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
"Dakota Landing Golf Course",IN,"Indianapolis","Blue",33.6,113,,,2795,"4 3 4 4 3 5 5 3 4","6 9 1 2 3 8 7 4 5"
"Dakota Landing Golf Course",IN,"Indianapolis","White",32,103,,,2470,"4 3 4 4 3 5 5 3 4","6 9 1 2 3 8 7 4 5"
"Dakota Landing Golf Course",IN,"Indianapolis","Yellow",31.6,100,,,2294,"4 3 4 4 3 5 5 3 4","6 9 1 2 3 8 7 4 5"
"Dakota Landing Golf Course",IN,"Indianapolis","Red",,,32.1,101,2115,"4 3 4 4 3 5 5 3 4","6 9 1 2 3 8 7 4 5"
"Cherry Hill Golf Club",IN,"","Gold",73.3,134,,,6825,"4 3 5 4 4 3 4 5 4 4 4 4 3 5 3 5 4 4","15 17 5 3 1 11 13 9 7 6 16 4 12 14 18 10 2 8"
"Cherry Hill Golf Club",IN,"","Blue",71.4,129,,,6427,"4 3 5 4 4 3 4 5 4 4 4 4 3 5 3 5 4 4","15 17 5 3 1 11 13 9 7 6 16 4 12 14 18 10 2 8"
"Cherry Hill Golf Club",IN,"","White",68.7,125,73.7,128,5835,"4 3 5 4 4 3 4 5 4 4 4 4 3 5 3 5 4 4","15 17 5 3 1 11 13 9 7 6 16 4 12 14 18 10 2 8"
"Cherry Hill Golf Club",IN,"","Green",66.4,116,71.4,123,5409,"4 3 5 4 4 3 4 5 4 4 4 4 3 5 3 5 4 4","15 17 5 3 1 11 13 9 7 6 16 4 12 14 18 10 2 8"
"Cherry Hill Golf Club",IN,"","Red",65,113,69.5,120,5083,"4 3 5 4 4 3 4 5 4 4 4 4 3 5 3 5 4 4","15 17 5 3 1 11 13 9 7 6 16 4 12 14 18 10 2 8"
"Arlington Park Golf Course",IN,"","Blue",31.1,101,,,2095,"3 3 3 4 3 3 4 4 4","3 1 8 9 7 2 5 6 4"
"Arlington Park Golf Course",IN,"","White",30.5,99,30,97,1888,"3 3 3 4 3 3 4 4 4","3 1 8 9 7 2 5 6 4"
"Arlington Park Golf Course",IN,"","Red",,,29.1,95,1709,"3 3 3 4 3 3 4 4 4","3 1 8 9 7 2 5 6 4"
