"name","city","state","reason"
"Arlington Park Golf Course","Fort Wayne","IN","9-hole"
"Bowler's Country Club","South Bend","IN","9-hole"
"Cedar Creek Family Golf Center","Cedar Lake","IN","9-hole"
"Cherry Valley Golf Course","New Albany","IN","9-hole"
"Crestview Executive Course","Muncie","IN","9-hole"
"Dakota Landing Golf Course","Indianapolis","IN","9-hole"
"Douglass Golf Course","Indianapolis","IN","9-hole"
"Driving Range","Valparaiso","IN","range"
"Hollow Acres Golf Center","Monticello","IN","9-hole"
"Mad Anthony III's Short Course","Fort Wayne","IN","no-card"
"McArthur Golf Course","East Chicago","IN","9-hole"
"New Salisbury Golf Course","New Salisbury","IN","no-card"
"Pine Woods Golf Course","Spencer","IN","9-hole"
"Riverside Golf Academy","Indianapolis","IN","9-hole"
"Rocky Ford Par 3","Columbus","IN","par3-short"
"Shoaff Park Golf Course","Fort Wayne","IN","par3-short"
"The Legends Golf Club","Franklin","IN","no-card"
"The Links at Rising Star Casino Resort","Rising Sun","IN","closed"
"Twilight Golf Course","Jeffersonville","IN","no-card"
"Whispering Hills Golf Course","Indianapolis","IN","no-card"
"White Lick Golf Course","Brownsburg","IN","no-card"
