"name","city","verified","reason"
"Audubon Park Golf Course","New Orleans","✓","OGA data failed sanity gate"
"Northwestern Hills Golf Course","Natchitoches, LA","✓","OGA data failed sanity gate"
"East Ridge Country Club","Shreveport, LA","✓","OGA data failed sanity gate"
"Palmetto Country Club","Benton, LA","","OGA data failed sanity gate"
"Bomber Bayou Golf Course","Barksdale Air Force Base, LA","✓","OGA data failed sanity gate"
"Chennault Park Golf Course","Monroe, LA","✓","OGA data failed sanity gate"
"Mallard Cove Golf Course","Lake Charles, LA","","OGA data failed sanity gate"
"Jennings Golf Course","Jennings","✓","OGA data failed sanity gate"
"Warrior Hills Golf Course","Fort Polk, LA","","OGA data failed sanity gate"
"Abita Springs Golf Club","Abita Springs, LA","✓","OGA data failed sanity gate"
"Royal Golf Course","LA","✓","OGA data failed sanity gate"
"The Bluffs on Thompson Creek","Saint Francisville, LA","","OGA data failed sanity gate"
"Stonebridge Golf Club of New Orleans","Gretna, LA","✓","OGA data failed sanity gate"
"Mallard Cove Golf Course","LA","✓","OGA data failed sanity gate"
"Beaver Creek Golf Course","Zachary","✓","delta 10 (wrong-course?); OGA data failed sanity gate"
"Copper Mill Golf Club","Zachary","✓","OGA data failed sanity gate"
"Lake Charles Country Club","Lake Charles","✓","OGA data failed sanity gate"
"LSU Golf Course","Baton Rouge","✓","OGA data failed sanity gate"
"Chateau Golf Country Club","Kenner","✓","OGA data failed sanity gate"
"Joseph M Bartholomew Golf Course","New Orleans","✓","OGA data failed sanity gate"
"Magnolia At Beau Chene Golf Racquet Club","Mandeville","✓","delta 9 (wrong-course?)"
"Oak At Beau Chene Golf Racquet Club","Mandeville","✓","delta 8 (wrong-course?)"
"Southern Oaks Country Club","Abbeville","✓","OGA data failed sanity gate"
"Timberlane Golf Recreation","Gretna","✓","OGA data failed sanity gate"
"Stonebridge Golf Club of New Orleans - Championship Course","Gretna","","OGA data failed sanity gate"
"Bomber Bayou Golf Course","Barksdale Air Force Base","","OGA data failed sanity gate"
"Bay Hills Recreation Park","Bunkie","","OGA data failed sanity gate"
"Houma Golf Club","Houma","","our rating<55 (9-hole); delta 36 (wrong-course?); OGA data failed sanity gate"
"Oakland Plantation Golf Course","Alexandria","","OGA data failed sanity gate"
