name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Bay Hills Recreation Park,LA,Bunkie,White/Blue,34.6,115,,,3270,4 3 5 4 4 4 5 3 4,1 2 3 4 5 6 7 8 9
Bay Hills Recreation Park,LA,Bunkie,Red/Yellow,32.1,100,34.6,113,2524,4 3 5 4 4 4 5 3 4,1 2 3 4 5 6 7 8 9
Bayouside Golf Club,LA,Napoleonville,Red/Blue,34,114,,,2979,4 5 3 5 3 4 3 4 4,6 3 7 1 9 5 8 4 2
Bayouside Golf Club,LA,Napoleonville,Gold,33,109,,,2733,4 5 3 5 3 4 3 4 4,6 3 7 1 9 5 8 4 2
Bayouside Golf Club,LA,Napoleonville,White,31.6,100,34,110,2467,4 5 3 5 3 4 3 4 4,6 3 7 1 9 5 8 4 2
Boeuf River Country Club,LA,Rayville,Gold,36.6,123,,,3396,5 4 3 5 4 4 3 4 4,8 3 2 9 4 7 1 6 5
Boeuf River Country Club,LA,Rayville,Blue,35.4,121,,,3026,5 4 3 5 4 4 3 4 4,8 3 2 9 4 7 1 6 5
Boeuf River Country Club,LA,Rayville,White,33.1,111,,,2523,5 4 3 5 4 4 3 4 4,8 3 2 9 4 7 1 6 5
Boeuf River Country Club,LA,Rayville,Red,,,33.6,113,2523,5 4 3 5 4 4 3 4 4,8 3 2 9 4 7 1 6 5
Bogalusa Country Club,LA,Bogalusa,Blue,32.8,111,,,2646,5 3 4 4 3 5 3 4 4,2 8 6 7 5 1 9 3 4
Bogalusa Country Club,LA,Bogalusa,Red,,,35.1,113,2389,5 3 4 4 3 5 3 4 4,2 8 6 7 5 1 9 3 4
Cajun Pines Golf Course,LA,Branch,Blue,33.6,110,,,2797,4 3 4 4 4 3 4 5 5,5 6 9 7 8 4 3 1 2
Cajun Pines Golf Course,LA,Branch,Senior,32.6,108,35.3,115,2661,4 3 4 4 4 3 4 5 5,5 6 9 7 8 4 3 1 2
Cajun Pines Golf Course,LA,Branch,Red,32,100,34.3,112,2475,4 3 4 4 4 3 4 5 5,5 6 9 7 8 4 3 1 2
False River Golf & Country Club,LA,New Roads,Blue,35,117,,,3253,4 4 3 5 3 5 4 4 4,7 1 4 3 8 9 6 5 2
False River Golf & Country Club,LA,New Roads,White,34.2,115,37.3,124,3000,4 4 3 5 3 5 4 4 4,7 1 4 3 8 9 6 5 2
False River Golf & Country Club,LA,New Roads,Gold,33.1,107,35.7,119,2793,4 4 3 5 3 5 4 4 4,7 1 4 3 8 9 6 5 2
False River Golf & Country Club,LA,New Roads,Red,31.7,99,34,112,2464,4 4 3 5 3 5 4 4 4,7 1 4 3 8 9 6 5 2
Fashion Golf & Country Club,LA,Hahnville,Blue,36.6,123,,,3266,4 4 5 3 5 4 4 3 4,5 8 4 1 6 7 3 9 2
Fashion Golf & Country Club,LA,Hahnville,White,35.4,121,,,3164,4 4 5 3 5 4 4 3 4,5 8 4 1 6 7 3 9 2
Fashion Golf & Country Club,LA,Hahnville,Red,,,33.6,113,2717,4 4 5 3 5 4 4 3 4,5 8 4 1 6 7 3 9 2
Fennwood Hills Country Club,LA,Zachary,White/Blue,35.7,122,,,3212,4 5 4 3 4 5 3 4 4,7 8 2 6 1 9 5 3 4
Fennwood Hills Country Club,LA,Zachary,Black/Green,33.6,115,36.3,125,2811,4 5 4 3 4 5 3 4 4,7 8 2 6 1 9 5 3 4
Fennwood Hills Country Club,LA,Zachary,Purple/Silver,32.4,109,34.6,121,2594,4 5 4 3 4 5 3 4 4,7 8 2 6 1 9 5 3 4
