"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Oakbourne Country Club","LA","LA","Gold","73.5","132","","","6898","4 4 5 3 4 4 5 4 3 4 5 4 5 4 3 4 3 4","13 9 1 17 3 11 5 7 15 12 6 14 2 10 16 4 18 8"
"Oakbourne Country Club","LA","LA","Green","72","128","","","6593","4 4 5 3 4 4 5 4 3 4 5 4 5 4 3 4 3 4","13 9 1 17 3 11 5 7 15 12 6 14 2 10 16 4 18 8"
"Oakbourne Country Club","LA","LA","Blue","70.3","127","","","6243","4 4 5 3 4 4 5 4 3 4 5 4 5 4 3 4 3 4","13 9 1 17 3 11 5 7 15 12 6 14 2 10 16 4 18 8"
"Oakbourne Country Club","LA","LA","White","67.7","118","73.3","128","5661","4 4 5 3 4 4 5 4 3 4 5 4 5 4 3 4 3 4","13 9 1 17 3 11 5 7 15 12 6 14 2 10 16 4 18 8"
"Oakbourne Country Club","LA","LA","Red","","","70.2","120","5058","4 4 5 3 4 4 5 4 3 4 5 4 5 4 3 4 3 4","13 9 1 17 3 11 5 7 15 12 6 14 2 10 16 4 18 8"
"Lakewood Country Club","LA","New Orleans, LA","Gold","74.1","139","","","7002","5 4 3 5 4 4 4 3 4 5 3 4 5 4 4 4 3 4","5 13 15 11 9 1 7 17 3 16 14 6 12 10 2 4 18 8"
"Lakewood Country Club","LA","New Orleans, LA","Blue","71.1","130","","","6430","5 4 3 5 4 4 4 3 4 5 3 4 5 4 4 4 3 4","5 13 15 11 9 1 7 17 3 16 14 6 12 10 2 4 18 8"
"Lakewood Country Club","LA","New Orleans, LA","White","68.6","124","","","5917","5 4 3 5 4 4 4 3 4 5 3 4 5 4 4 4 3 4","5 13 15 11 9 1 7 17 3 16 14 6 12 10 2 4 18 8"
"Lakewood Country Club","LA","New Orleans, LA","Red","","","71.5","127","5432","5 4 3 5 4 4 4 3 4 5 3 4 5 4 4 4 3 4","5 13 15 11 9 1 7 17 3 16 14 6 12 10 2 4 18 8"
"Wetlands Golf Course","LA","Lafayette, LA","Black","74.9","134","","","7293","4 4 4 3 4 5 4 3 5 4 5 4 3 5 4 3 4 4","11 9 1 17 7 3 13 15 5 6 4 10 14 2 12 18 16 8"
"Wetlands Golf Course","LA","Lafayette, LA","Gold","73.1","126","","","6831","4 4 4 3 4 5 4 3 5 4 5 4 3 5 4 3 4 4","11 9 1 17 7 3 13 15 5 6 4 10 14 2 12 18 16 8"
"Wetlands Golf Course","LA","Lafayette, LA","Blue","70.3","126","","","6348","4 4 4 3 4 5 4 3 5 4 5 4 3 5 4 3 4 4","11 9 1 17 7 3 13 15 5 6 4 10 14 2 12 18 16 8"
"Wetlands Golf Course","LA","Lafayette, LA","White","67.3","116","","","5760","4 4 4 3 4 5 4 3 5 4 5 4 3 5 4 3 4 4","11 9 1 17 7 3 13 15 5 6 4 10 14 2 12 18 16 8"
"Wetlands Golf Course","LA","Lafayette, LA","Red","","","68.7","110","5025","4 4 4 3 4 5 4 3 5 4 5 4 3 5 4 3 4 4","11 9 1 17 7 3 13 15 5 6 4 10 14 2 12 18 16 8"
"The Atchafalaya at Idlewild","LA","Patterson, LA","Gator","76.4","136","","","7533","4 3 5 4 4 5 3 4 4 4 3 4 5 4 3 5 4 4","15 11 7 3 13 1 17 9 5 12 16 10 4 8 14 2 18 6"
"The Atchafalaya at Idlewild","LA","Patterson, LA","Bear","73.8","134","","","7032","4 3 5 4 4 5 3 4 4 4 3 4 5 4 3 5 4 4","15 11 7 3 13 1 17 9 5 12 16 10 4 8 14 2 18 6"
"The Atchafalaya at Idlewild","LA","Patterson, LA","Eagle","71.9","127","","","6520","4 3 5 4 4 5 3 4 4 4 3 4 5 4 3 5 4 4","15 11 7 3 13 1 17 9 5 12 16 10 4 8 14 2 18 6"
"The Atchafalaya at Idlewild","LA","Patterson, LA","Owl","68.7","121","","","5932","4 3 5 4 4 5 3 4 4 4 3 4 5 4 3 5 4 4","15 11 7 3 13 1 17 9 5 12 16 10 4 8 14 2 18 6"
"The Atchafalaya at Idlewild","LA","Patterson, LA","Otter","","","71.1","122","5263","4 3 5 4 4 5 3 4 4 4 3 4 5 4 3 5 4 4","15 11 7 3 13 1 17 9 5 12 16 10 4 8 14 2 18 6"
"Black Bear Golf Club","LA","Delhi, LA","Gold","74.9","136","","","7276","4 4 5 3 4 3 4 4 5 4 3 4 5 4 4 3 5 4","15 7 13 11 3 5 17 1 9 6 16 18 10 4 14 12 8 2"
"Black Bear Golf Club","LA","Delhi, LA","Blue","73.2","134","","","6964","4 4 5 3 4 3 4 4 5 4 3 4 5 4 4 3 5 4","15 7 13 11 3 5 17 1 9 6 16 18 10 4 14 12 8 2"
"Black Bear Golf Club","LA","Delhi, LA","White","70.1","126","76.1","136","6298","4 4 5 3 4 3 4 4 5 4 3 4 5 4 4 3 5 4","15 7 13 11 3 5 17 1 9 6 16 18 10 4 14 12 8 2"
"Black Bear Golf Club","LA","Delhi, LA","Black","66.7","118","72","128","5567","4 4 5 3 4 3 4 4 5 4 3 4 5 4 4 3 5 4","15 7 13 11 3 5 17 1 9 6 16 18 10 4 14 12 8 2"
"Webb Park Golf Course","LA","LA","Purple","70.1","121","","","6349","4 4 3 5 3 4 5 4 4 4 5 4 5 4 3 4 3 4","11 9 17 1 15 7 3 13 5 14 4 8 2 10 18 12 16 6"
"Webb Park Golf Course","LA","LA","White","67.7","119","73.4","130","5844","4 4 3 5 3 4 5 4 4 4 5 4 5 4 3 4 3 4","11 9 17 1 15 7 3 13 5 14 4 8 2 10 18 12 16 6"
"Webb Park Golf Course","LA","LA","Gold","64.2","106","69.5","116","5203","4 4 3 5 3 4 5 4 4 4 5 4 5 4 3 4 3 4","11 9 17 1 15 7 3 13 5 14 4 8 2 10 18 12 16 6"
"Frenchmans Bend","LA","Monroe, LA","Black","73.4","123","","","6988","5 4 4 3 4 4 5 3 4 4 4 4 4 5 3 4 3 5","17 13 11 5 1 3 7 15 9 10 16 6 2 14 18 4 8 12"
"Frenchmans Bend","LA","Monroe, LA","Blue","71.4","118","","","6585","5 4 4 3 4 4 5 3 4 4 4 4 4 5 3 4 3 5","17 13 11 5 1 3 7 15 9 10 16 6 2 14 18 4 8 12"
"Frenchmans Bend","LA","Monroe, LA","White","69.3","113","","","6193","5 4 4 3 4 4 5 3 4 4 4 4 4 5 3 4 3 5","17 13 11 5 1 3 7 15 9 10 16 6 2 14 18 4 8 12"
"Frenchmans Bend","LA","Monroe, LA","Gold","66.3","107","","","5528","5 4 4 3 4 4 5 3 4 4 4 4 4 5 3 4 3 5","17 13 11 5 1 3 7 15 9 10 16 6 2 14 18 4 8 12"
"Frenchmans Bend","LA","Monroe, LA","Red","","","69.5","108","5082","5 4 4 3 4 4 5 3 4 4 4 4 4 5 3 4 3 5","17 13 11 5 1 3 7 15 9 10 16 6 2 14 18 4 8 12"
"The Island Golf Course","LA","Plaquemine, LA","Black","75.1","143","","","7010","4 5 3 4 4 4 5 3 4 4 4 5 3 4 4 3 4 5","7 1 13 17 9 3 15 11 5 12 2 6 16 14 18 10 4 8"
"The Island Golf Course","LA","Plaquemine, LA","Gold","72.4","135","","","6486","4 5 3 4 4 4 5 3 4 4 4 5 3 4 4 3 4 5","7 1 13 17 9 3 15 11 5 12 2 6 16 14 18 10 4 8"
"The Island Golf Course","LA","Plaquemine, LA","Green","70.3","130","","","5997","4 5 3 4 4 4 5 3 4 4 4 5 3 4 4 3 4 5","7 1 13 17 9 3 15 11 5 12 2 6 16 14 18 10 4 8"
"The Island Golf Course","LA","Plaquemine, LA","Brown","72.7","128","","","5408","4 5 3 4 4 4 5 3 4 4 4 5 3 4 4 3 4 5","7 1 13 17 9 3 15 11 5 12 2 6 16 14 18 10 4 8"
"Squire Creek Country Club","LA","Choudrant, LA","Fazzio/Black","75.4","146","","","7105","4 5 3 4 3 4 4 4 5 4 5 3 4 4 4 3 5 4","5 15 11 1 17 7 3 9 13 4 12 16 10 14 2 18 8 6"
"Squire Creek Country Club","LA","Choudrant, LA","Squire/Blue","72.8","143","","","6582","4 5 3 4 3 4 4 4 5 4 5 3 4 4 4 3 5 4","5 15 11 1 17 7 3 9 13 4 12 16 10 14 2 18 8 6"
