"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Abita Springs Golf Club","LA","Abita Springs","Blue","70.7","121","","","6427","5 4 3 4 5 3 4 4 4 4 5 4 3 4 5 3 4 4","9 7 15 11 1 17 3 13 5 8 2 10 12 4 6 16 18 14"
"Abita Springs Golf Club","LA","Abita Springs","White","69.1","119","","","6065","5 4 3 4 5 3 4 4 4 4 5 4 3 4 5 3 4 4","9 7 15 11 1 17 3 13 5 8 2 10 12 4 6 16 18 14"
"Abita Springs Golf Club","LA","Abita Springs","Gold","65.9","107","","","4845","5 4 3 4 5 3 4 4 4 4 5 4 3 4 5 3 4 4","9 7 15 11 1 17 3 13 5 8 2 10 12 4 6 16 18 14"
"Abita Springs Golf Club","LA","Abita Springs","Red","","","66.9","109","4645","5 4 3 4 5 3 4 4 4 4 5 4 3 4 5 3 4 4","9 7 15 11 1 17 3 13 5 8 2 10 12 4 6 16 18 14"
"Audubon Park Golf Course","LA","New Orleans","Gold","59.8","105","62.8","109","4220","4 3 3 3 4 3 3 3 5 4 3 3 3 4 3 3 3 5","6 16 4 14 10 12 18 8 2 7 17 3 15 11 9 13 1 5"
"Audubon Park Golf Course","LA","New Orleans","Blue","58.2","101","60.4","103","3776","4 3 3 3 4 3 3 3 5 4 3 3 3 4 3 3 3 5","6 16 4 14 10 12 18 8 2 7 17 3 15 11 9 13 1 5"
"Audubon Park Golf Course","LA","New Orleans","White","56.6","93","59.9","98","3341","4 3 3 3 4 3 3 3 5 4 3 3 3 4 3 3 3 5","6 16 4 14 10 12 18 8 2 7 17 3 15 11 9 13 1 5"
"Baton Rouge Country Club","LA","Baton Rouge","Black","74.2","139","","","6992","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Baton Rouge Country Club","LA","Baton Rouge","Jones","73.3","136","","","6814","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Baton Rouge Country Club","LA","Baton Rouge","Blue","72.8","135","","","6685","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Baton Rouge Country Club","LA","Baton Rouge","Toms","71.9","132","","","6523","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Baton Rouge Country Club","LA","Baton Rouge","White","70.8","131","","","6357","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Baton Rouge Country Club","LA","Baton Rouge","Purple","68.6","128","74.7","132","5931","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Baton Rouge Country Club","LA","Baton Rouge","Purple/Gold","67.6","121","73.2","127","5658","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Baton Rouge Country Club","LA","Baton Rouge","Gold","66.7","119","71.8","125","5476","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Baton Rouge Country Club","LA","Baton Rouge","Red","64.7","114","69.3","120","5057","4 4 3 4 5 4 4 3 5 4 4 3 4 3 5 4 4 5","9 3 17 5 1 11 13 15 7 14 6 18 2 16 10 8 4 12"
"Bayou Bend Golf Course","LA","LA","White","69.1","110","","","6105","4 4 3 4 4 3 4 4 5 3 4 4 3 5 5 4 4 4","17 15 11 1 7 13 5 3 9 14 12 18 8 2 4 10 16 6"
"Bayou Bend Golf Course","LA","LA","Red","65.9","101","69.8","114","5665","4 4 3 4 4 3 4 4 5 3 4 4 3 5 5 4 4 4","17 15 11 1 7 13 5 3 9 14 12 18 8 2 4 10 16 6"
"Bayou Desiard Country Club","LA","Monroe","Championship","74.5","131","","","7092","4 4 5 3 4 5 4 4 3 4 4 4 4 5 3 5 3 4","7 3 11 1 9 17 13 5 15 6 8 14 4 10 16 18 12 2"
"Bayou Desiard Country Club","LA","Monroe","Black","73.8","125","","","6906","4 4 5 3 4 5 4 4 3 4 4 4 4 5 3 5 3 4","7 3 11 1 9 17 13 5 15 6 8 14 4 10 16 18 12 2"
"Bayou Desiard Country Club","LA","Monroe","Black/Blue","72.4","123","","","6630","4 4 5 3 4 5 4 4 3 4 4 4 4 5 3 5 3 4","7 3 11 1 9 17 13 5 15 6 8 14 4 10 16 18 12 2"
"Bayou Desiard Country Club","LA","Monroe","Blue","71.5","122","77.3","135","6427","4 4 5 3 4 5 4 4 3 4 4 4 4 5 3 5 3 4","7 3 11 1 9 17 13 5 15 6 8 14 4 10 16 18 12 2"
"Bayou Desiard Country Club","LA","Monroe","Blue/Gold","69.7","118","74.8","130","5986","4 4 5 3 4 5 4 4 3 4 4 4 4 5 3 5 3 4","7 3 11 1 9 17 13 5 15 6 8 14 4 10 16 18 12 2"
"Bayou Desiard Country Club","LA","Monroe","Gold","68.8","117","74","128","5828","4 4 5 3 4 5 4 4 3 4 4 4 4 5 3 5 3 4","7 3 11 1 9 17 13 5 15 6 8 14 4 10 16 18 12 2"
"Bayou Desiard Country Club","LA","Monroe","White","66.4","111","71.4","119","5337","4 4 5 3 4 5 4 4 3 4 4 4 4 5 3 5 3 4","7 3 11 1 9 17 13 5 15 6 8 14 4 10 16 18 12 2"
"Bayou Desiard Country Club","LA","Monroe","Green","62.8","100","66","110","4419","4 4 5 3 4 5 4 4 3 4 4 4 4 5 3 5 3 4","7 3 11 1 9 17 13 5 15 6 8 14 4 10 16 18 12 2"
"New Orleans City Park North Course","LA","New Orleans","Black","67.1","111","73","125","5762","4 3 5 4 4 4 4 4 4 4 3 3 4 4 3 3 4 4","5 7 13 18 3 6 12 4 2 8 15 14 11 16 17 10 9 1"
"New Orleans City Park North Course","LA","New Orleans","Blue","65.9","109","71.6","121","5501","4 3 5 4 4 4 4 4 4 4 3 3 4 4 3 3 4 4","5 7 13 18 3 6 12 4 2 8 15 14 11 16 17 10 9 1"
"New Orleans City Park North Course","LA","New Orleans","White","63.8","100","68","112","4904","4 3 5 4 4 4 4 4 4 4 3 3 4 4 3 3 4 4","5 7 13 18 3 6 12 4 2 8 15 14 11 16 17 10 9 1"
"New Orleans City Park North Course","LA","New Orleans","Gold","61.3","92","65.1","106","4388","4 3 5 4 4 4 4 4 4 4 3 3 4 4 3 3 4 4","5 7 13 18 3 6 12 4 2 8 15 14 11 16 17 10 9 1"
"Bayou Oaks City Park South Course","LA","New Orleans","Gold","74.9","134","","","7297","4 3 5 4 4 4 3 4 5 4 5 4 4 3 4 4 3 5","11 7 3 13 5 15 17 9 1 14 10 18 2 8 4 12 16 6"
"Bayou Oaks City Park South Course","LA","New Orleans","Black","73.6","131","","","7010","4 3 5 4 4 4 3 4 5 4 5 4 4 3 4 4 3 5","11 7 3 13 5 15 17 9 1 14 10 18 2 8 4 12 16 6"
"Bayou Oaks City Park South Course","LA","New Orleans","Blue","71.8","129","","","6640","4 3 5 4 4 4 3 4 5 4 5 4 4 3 4 4 3 5","11 7 3 13 5 15 17 9 1 14 10 18 2 8 4 12 16 6"
"Bayou Oaks City Park South Course","LA","New Orleans","Blue/White","70.5","123","","","6400","4 3 5 4 4 4 3 4 5 4 5 4 4 3 4 4 3 5","11 7 3 13 5 15 17 9 1 14 10 18 2 8 4 12 16 6"
"Bayou Oaks City Park South Course","LA","New Orleans","White","69.1","117","74.8","129","6103","4 3 5 4 4 4 3 4 5 4 5 4 4 3 4 4 3 5","11 7 3 13 5 15 17 9 1 14 10 18 2 8 4 12 16 6"
"Bayou Oaks City Park South Course","LA","New Orleans","Green","66","109","71.1","119","5507","4 3 5 4 4 4 3 4 5 4 5 4 4 3 4 4 3 5","11 7 3 13 5 15 17 9 1 14 10 18 2 8 4 12 16 6"
"Bayou Oaks City Park South Course","LA","New Orleans","Red","63.8","107","68.4","114","5039","4 3 5 4 4 4 3 4 5 4 5 4 4 3 4 4 3 5","11 7 3 13 5 15 17 9 1 14 10 18 2 8 4 12 16 6"
"Beaver Creek Golf Course","LA","Zachary","Black","72.6","127","","","6855","4 5 3 4 4 5 4 3 4 4 5 4 5 4 3 4 3 4","5 15 17 1 13 11 3 9 7 16 18 6 10 2 12 8 14 4"
"Beaver Creek Golf Course","LA","Zachary","Blue","70","118","75.7","132","6257","4 5 3 4 4 5 4 3 4 4 5 4 5 4 3 4 3 4","5 15 17 1 13 11 3 9 7 16 18 6 10 2 12 8 14 4"
"Beaver Creek Golf Course","LA","Zachary","White","66.7","109","71.8","121","5563","4 5 3 4 4 5 4 3 4 4 5 4 5 4 3 4 3 4","5 15 17 1 13 11 3 9 7 16 18 6 10 2 12 8 14 4"
"Beaver Creek Golf Course","LA","Zachary","Red","63.6","98","68.4","108","4925","4 5 3 4 4 5 4 3 4 4 5 4 5 4 3 4 3 4","5 15 17 1 13 11 3 9 7 16 18 6 10 2 12 8 14 4"
"Beaver Creek Golf Course","LA","Zachary","Gold","63","97","67.7","107","4798","4 5 3 4 4 5 4 3 4 4 5 4 5 4 3 4 3 4","5 15 17 1 13 11 3 9 7 16 18 6 10 2 12 8 14 4"
"Southern Pines Golf Club - Calvert Crossing","LA","Calhoun","Black","73.2","141","","","6807","5 3 5 4 3 4 4 4 4 4 4 3 4 5 4 4 3 5","3 17 1 5 13 15 11 7 9 18 10 12 8 6 2 16 14 4"
