"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Cardinal At Diamondhead Country Club","MS","Diamondhead","Blue","72.4","131","","","6729","4 5 4 3 4 4 3 4 5 4 4 4 3 4 5 4 3 5","9 11 5 17 1 3 15 7 13 12 10 6 18 4 2 16 14 8"
"Cardinal At Diamondhead Country Club","MS","Diamondhead","Blue/White","71.9","132","","","6572","4 5 4 3 4 4 3 4 5 4 4 4 3 4 5 4 3 5","9 11 5 17 1 3 15 7 13 12 10 6 18 4 2 16 14 8"
"Cardinal At Diamondhead Country Club","MS","Diamondhead","White","71","128","","","6128","4 5 4 3 4 4 3 4 5 4 4 4 3 4 5 4 3 5","9 11 5 17 1 3 15 7 13 12 10 6 18 4 2 16 14 8"
"Cardinal At Diamondhead Country Club","MS","Diamondhead","White/Gold","69","125","","","5923","4 5 4 3 4 4 3 4 5 4 4 4 3 4 5 4 3 5","9 11 5 17 1 3 15 7 13 12 10 6 18 4 2 16 14 8"
"Cardinal At Diamondhead Country Club","MS","Diamondhead","Gold","66.7","122","72.4","123","5596","4 5 4 3 4 4 3 4 5 4 4 4 3 4 5 4 3 5","9 11 5 17 1 3 15 7 13 12 10 6 18 4 2 16 14 8"
"Cardinal At Diamondhead Country Club","MS","Diamondhead","Gold/Red","65.7","117","71.1","120","5350","4 5 4 3 4 4 3 4 5 4 4 4 3 4 5 4 3 5","9 11 5 17 1 3 15 7 13 12 10 6 18 4 2 16 14 8"
"Cardinal At Diamondhead Country Club","MS","Diamondhead","Red","63.9","113","69.2","117","4950","4 5 4 3 4 4 3 4 5 4 4 4 3 4 5 4 3 5","9 11 5 17 1 3 15 7 13 12 10 6 18 4 2 16 14 8"
"Millbrook Country Club","MS","Picayune","Blue","70.7","120","","","6531","4 4 4 4 5 5 3 3 4 4 3 5 5 4 4 4 3 4","3 15 1 11 5 7 17 13 9 10 14 12 2 8 4 6 18 16"
"Millbrook Country Club","MS","Picayune","White","69.2","120","76.1","137","6272","4 4 4 4 5 5 3 3 4 4 3 5 5 4 4 4 3 4","3 15 1 11 5 7 17 13 9 10 14 12 2 8 4 6 18 16"
"Millbrook Country Club","MS","Picayune","Gold","67.3","112","74.2","132","5928","4 4 4 4 5 5 3 3 4 4 3 5 5 4 4 4 3 4","3 15 1 11 5 7 17 13 9 10 14 12 2 8 4 6 18 16"
"Millbrook Country Club","MS","Picayune","Green","64.1","103","","","5204","4 4 4 4 5 5 3 3 4 4 3 5 5 4 4 4 3 4","3 15 1 11 5 7 17 13 9 10 14 12 2 8 4 6 18 16"
"The Bridges Golf Club At Hollywood Casino","MS","Bay Saint Louis","The Kings","72.9","144","","","6841","5 4 3 4 5 4 3 4 4 4 5 3 4 4 3 4 4 5","3 7 13 5 11 1 9 17 15 16 10 12 2 18 14 6 8 4"
"The Bridges Golf Club At Hollywood Casino","MS","Bay Saint Louis","Championship","69.9","132","","","6272","5 4 3 4 5 4 3 4 4 4 5 3 4 4 3 4 4 5","3 7 13 5 11 1 9 17 15 16 10 12 2 18 14 6 8 4"
"The Bridges Golf Club At Hollywood Casino","MS","Bay Saint Louis","Regular","68.3","125","73.6","139","5883","5 4 3 4 5 4 3 4 4 4 5 3 4 4 3 4 4 5","3 7 13 5 11 1 9 17 15 16 10 12 2 18 14 6 8 4"
"The Bridges Golf Club At Hollywood Casino","MS","Bay Saint Louis","Forward","65.2","107","69.5","122","5108","5 4 3 4 5 4 3 4 4 4 5 3 4 4 3 4 4 5","3 7 13 5 11 1 9 17 15 16 10 12 2 18 14 6 8 4"
