"name","city","state","reason"
"Bay Hills Recreation Park","Bunkie","LA","9-hole (maxYds 3270, no 18-hole card)"
"Bayou Country Club","Thibodaux","LA","9-hole (maxYds 3000, no 18-hole card)"
"Bayouside Golf Club","Napoleonville","LA","9-hole (maxYds 2979, no 18-hole card)"
"Boeuf River Country Club","Rayville","LA","9-hole (maxYds 3396, no 18-hole card)"
"Bogalusa Country Club","Bogalusa","LA","9-hole (maxYds 2646, no 18-hole card)"
"Bringhurst Golf Course","Alexandria","LA","9-hole (Bringhurst)"
"Cajun Pines Golf Course","Branch","LA","9-hole (maxYds 2797, no 18-hole card)"
"City Park Golf Course","Baton Rouge","LA","9-hole (Baton Rouge City Park)"
"David Toms Academy 265","Shreveport","LA","practice/academy"
"False River Golf Country Club","New Roads","LA","9-hole (maxYds 3253, no 18-hole card)"
"Fashion Golf Country Club","Hahnville","LA","9-hole"
"Fennwood Hills Country Club","Zachary","LA","9-hole (maxYds 3212, no 18-hole card)"
"Hammond Golf Center","Hammond","LA","par-3/short (maxYds 1317, no 18-hole card)"
"Houma Golf Club","Houma","LA","9-hole (maxYds 3200, no 18-hole card)"
"J S Clark Park Golf Course","Baton Rouge","LA","9-hole (maxYds 3171, no 18-hole card)"
"Jerry Tim Brooks Golf Course","Shreveport","LA","9-hole (maxYds 2623, no 18-hole card)"
"Lake Darbonne Country Club","Farmerville","LA","9-hole (maxYds 3122, no 18-hole card)"
"Lasalle Golf Country Club","Jena","LA","9-hole (maxYds 2888, no 18-hole card)"
"Meadow Lake Golf Country Club","Bernice","LA","9-hole (maxYds 3157, no 18-hole card)"
"Oakland Plantation Golf Course At Lsu","Alexandria","LA","9-hole (maxYds 2850, no 18-hole card)"
"Pelican Point Golf Club Get Golf Ready Course","Gonzales","LA","9-hole (maxYds 3192, no 18-hole card)"
"Ruston Golf Country Club","Ruston","LA","9-hole (maxYds 3063, no 18-hole card)"
"Southern Oaks Golf Club","Houma","LA","9-hole (maxYds 3192, no 18-hole card)"
"St Mary Golf Country Club","Berwick","LA","9-hole (maxYds 3188, no 18-hole card)"
"Stonebridge Golf Club Of New Orleans Harvey 9 Course","Gretna","LA","9-hole (Harvey 9)"
"The Links At Muny","Monroe","LA","par-3/short (maxYds 2463, no 18-hole card)"
"The Pines At North Park","Denham Springs","LA","9-hole (maxYds 2881, no 18-hole card)"
"Tidelands Golf Country Club","Galliano","LA","9-hole (maxYds 3155, no 18-hole card)"
"Twin Oaks Golf Country Club","Winnsboro","LA","9-hole (maxYds 3079, no 18-hole card)"
"Blackhorse Golf Club (South)","Cypress","LA","dup-mislabeled (belongs to TX, already in TX data)"
