"name","state","city","phone","website","address"
"Alpena Golf Club","MI","Alpena","+1-989-354-5052","https://www.alpenagolfclub.com/","1135 Golf Course Road, Alpena, MI, 49707"
"Alpine Golf Club","MI","Comstock Park","+1-616-784-1064","https://www.alpinegolfmichigan.com/","6320 Alpine Avenue Northwest, Comstock Park, MI, 49321"
"Alwyn Downs Golf Club","MI","Marshall","","https://alwyndowns.webs.com/",""
"American Dunes Golf Club","MI","Grand Haven","+1-616-842-4040","https://americandunesgolfclub.com/","17000 Lincoln Street, Grand Haven, MI, 49417"
"Angels Crossing Golf Course","MI","Vicksburg","+1-269-649-2700","https://golfangelscrossing.com/","3600 East W Avenue, Vicksburg, MI, 49097"
"Ann Arbor Country Club","MI","Ann Arbor","+1-734-426-4693","http://annarborcc.com/","4699 East Loch Alpine Drive, Ann Arbor, MI, 48103"
"Ann Arbor Golf and Outing Club","MI","Ann Arbor","","https://www.aagoc.org/",""
"Antioch Hills Golf Club","MI","Mesick","+1-231-885-1220","http://www.briarnorth.com/","5441 West M-115, Mesick, MI, 49668"
"Antrim Dells","MI","Atwood","+1-231-599-2679","https://www.a-ga-ming.com/antrimdells/",""
"Apple Mountain Golf Course","MI","Freeland","+1-989-781-6789","https://www.applemountain.com/golf/","4519 North River Road, Freeland, MI, 48623"
"Apple Valley Golf Course","MI","West Branch","","",""
"Arbor Hills Golf Club","MI","Jackson","","https://www.arborhillsgolfclub.com/",""
"Arcadia Bluffs - South Course","MI","Bear Lake","","","14710 Northwood Highway, Arcadia, MI, 49613"
"Arcadia Bluffs Golf Club","MI","Arcadia","+1-800-494-8666","https://arcadiabluffs.com/","14710 Northwood Highway, Arcadia, MI, 49613"
"Arcadia Hills Golf Club","MI","Attica","+1-810-724-6967","http://hstrial-lkopich.homestead.com/","3801 Haines Road, Attica, MI, 48412"
"Arrowhead Golf Club","MI","Caro","+1-616-897-7264","http://www.arrowheadontheweb.com/","2170 Alden Nash Avenue Northeast, Lowell, MI, 49331"
"Arthur Hills","MI","Harbor Springs","+1-800-462-6963","https://www.boyne.com/boynehighlands/golf/courses/arthur-hills","250 Heather Drive, Harbor Springs, MI, 49740"
"Atlas Valley Country Club","MI","Grand Blanc","+1-810-636-2273","https://atlasvalleygolf.com/","8313 Perry Road, Grand Blanc, MI, 48439"
"Barton Hills Country Club","MI","Ann Arbor","+1-734-663-8511","https://www.bartonhillscc.com/","730 Country Club Road, Ann Arbor, MI, 48105"
"Battle Creek Country Club","MI","Battle Creek","","https://www.battlecreekcc.com/",""
"Bay Harbor Golf Club","MI","Bay Harbor","+1-231-439-4085","https://bayharborgolf.com/","5800 Coastal Ridge Drive, Bay Harbor, MI, 49770"
"Bay Pointe Golf Club","MI","West Bloomfield","+1-248-360-0603","https://www.baypointegolfcourse.com/","4001 Haggerty Road, West Bloomfield, MI, 48323"
"Bear Lake Highlands","MI","Bear Lake","","","11685 Chippewa Highway, Bear Lake, MI, 49614"
"Beaver Island Golf Course","MI","Beaver Island","","https://www.beaverislandgolf.com/",""
"Bedford Hills Golf Club","MI","Temperance","+1-734-854-4653","https://www.bedfordhillsgolf.com/","6400 Jackman Road, Temperance, MI, 48182"
"Bedford Valley","MI","Battle Creek","","https://www.gulllakeview.com/golf-bedford-valley.html",""
"Beech Hollow Golf Course","MI","Freeland","+1-989-695-5427","https://beechhollowgolf.com/","7494 Hospital Road, Freeland, MI, 48623"
"Beech Woods Golf Course","MI","Southfield","","http://www.golfsouthfield.com/",""
"Beeches Golf Club","MI","South Haven","","",""
"Beechwood Greens Golf Club","MI","Mount Morris","","",""
"Belle River Golf and Country Club","MI","Memphis","+1-810-392-2121","https://www.bellerivergolfcourse.com/","12564 Belle River Road, Memphis, MI, 48044"
"Bello Woods Golf Course","MI","Macomb","","","23650 23 Mile Road, Macomb, MI, 48042"
"Belvedere Golf Club","MI","Charlevoix","","https://belvederegolfclub.com/",""
"Benona Shores Golf Course","MI","Shelby","+1-866-252-6840","https://www.benonashores.com/","866-252-6840 Scenic Drive, Shelby, MI, 49455"
"Bent Pine Golf Club","MI","Whitehall","+1-231-766-2045","http://www.bentpinegolfclub.com/","2480 Duck Lake Road, Whitehall, MI, 49461"
"Berrien Hills Golf Club","MI","Benton Harbor","+1-269-925-9002","https://www.berrienhills.com/","690 West Napier Avenue, Benton Harbor, MI, 49022"
"Betsie Valley","MI","Thompsonville","+1-855-995-5146","https://www.crystalmountain.com/golf/course-info-betsie-valley",""
"Binder Park Golf Course","MI","Battle Creek","","",""
"Birch Valley Golf Course","MI","Sears","","",""
"Birchwood Farms Golf & Country Club","MI","Harbor Springs","+1-231-526-2166","https://www.birchwoodcc.com/","600 Birchwood Drive, Harbor Springs, MI, 49740"
"Bird Creek Golf Club","MI","Port Austin","+1-989-738-4653","http://www.birdcreekgolf.com/","7850 North Van Dyke Road, Port Austin, MI, 48467"
"Birmingham Country Club","MI","Birmingham","+1-248-644-4111","https://www.bhamcc.com/","1750 Saxon Drive, Birmingham, MI, 48009"
"Black Bear Golf Club","MI","Vanderbilt","+1-989-983-4441","https://www.golfblackbear.net/","1500 Alexander Road, Vanderbilt, MI, 49795"
"Black Lake Golf Course","MI","Onaway","+1-989-733-4653","https://www.blacklakegolf.com/","2800 Maxon Road, Onaway, MI, 49765"
"Black River Golf Club","MI","Port Huron","+1-810-982-5251","https://www.blackrivergolfclub.com/","3300 Country Club Drive, Port Huron, MI, 48060"
"Blackheath Golf Club","MI","Rochester Hills","+1-248-601-8000","https://www.blackheathgolfclub.com/","3311 North Rochester Road, Oakland Township, MI, 48306"
"Blackshire","MI","Oscoda","","",""
"Bloomfield Hills Country Club","MI","Bloomfield Hills","+1-248-644-6262","https://www.bloomfieldhillscc.org/","350 West Long Lake Road, Bloomfield Hills, MI, 48304"
"Blossom Trails Golf Club","MI","Benton Harbor","+1-269-925-4951","https://blossomtrailsgolfclub.com/","1565 East Britain Avenue, Benton Harbor, MI, 49022"
"Blythefield Country Club","MI","Belmont","+1-616-361-2661","https://www.blythefieldcc.org/","5801 Northland Drive Northeast, Belmont, MI, 49306"
"Boulder Creek Golf Club","MI","Belmont","+1-616-363-1330","https://bouldercreekgolfclub.com/","5750 Brewer Avenue Northeast, Belmont, MI, 49306"
"Boulder Pointe Golf Club","MI","Oxford","+1-248-969-1500","https://www.boulderpointe.net/","1 Champions Circle, Oxford, MI, 48371"
"Brae-Burn Golf Club","MI","Plymouth","+1-734-453-1900","https://www.braeburngc.com/","10860 5 Mile Road, Plymouth, MI, 48170"
"Branson Bay Golf Course","MI","Mason","+1-517-663-4144","https://www.bransonbay.com/","215 Branson Bay Drive, Mason, MI, 48854"
"Brentwood Golf Club and Banquet Center","MI","White Lake","+1-248-684-2662","https://www.brentwoodgc.com/","2450 Havenwood Road, White Lake, MI, 48383"
"Briar Ridge Golf Course","MI","Montrose","+1-810-639-4653","https://www.briarridgegolf.com/","11099 Dodge Road, Montrose, MI, 48457"
"Briarwood Golf Club","MI","Caledonia","+1-616-698-8720","https://briarwoodlinks.com/","2900 92nd Street Southeast, Caledonia, MI, 49316"
"Broadmoor Country Club","MI","Caledonia","+1-616-891-8000","https://www.golfbroadmoor.com/","616-891-8000 Kraft Avenue Southeast, Caledonia, MI, 49316"
"Brookshire Golf Club","MI","Williamston","+1 517-655-4694","https://www.brookshiregolfclub.com/","205 West Church Street, Williamston, MI, 48895"
"Brookside Golf and Grill","MI","Gowen","+1-616-984-2381","https://www.brooksidegolf.com/","1518S Johnson Road, Gowen, MI, 49326"
"Brookside Golf Course","MI","Saline","+1-734-429-4276","http://www.brooksidesaline.com/","6451 Ann Arbor-Saline Road, Saline, MI, 48176"
"Brookwood Golf Club","MI","Rochester Hills","+1-248-651-1300","http://www.mybrookwood.com/","998 Brookwood Lane, Rochester Hills, MI, 48309"
"Brookwood Golf Course","MI","Buchanan","+1-269-695-7818","https://golfbrookwood.com/","1339 Rynearson Street, Buchanan, MI, 49107"
"Bruce Hills Golf Course","MI","Romeo","+1-586-752-7244","https://golfbrucehills.com/","6771 Taft Road, Romeo, MI, 48065"
"Bucks Run Golf Club","MI","Mt Pleasant","+1-989-773-6830","https://www.bucksrun.com/","1559 South Chippewa Road, Mount Pleasant, MI, 48858"
"Burning Oak Country Club","MI","Roscommon","","",""
"Burr Oak Golf Club","MI","Parma","","",""
"Caberfae Peaks","MI","Cadillac","","https://caberfaepeaks.com/",""
"Cadillac Country Club","MI","Cadillac","","https://www.cadillaccountryclub.org/",""
"Calderone Farms Golf Club","MI","Grass Lake","","http://calderone-golf-club.com/",""
"Calumet Golf Club","MI","Calumet","+1-906-337-3911","https://www.calumetgolfclub.com/","54270 Golf Course Road, Calumet, MI, 49913"
"Candlestone","MI","Belding","","https://www.candlestone.com/",""
"Carleton Glen Golf Club","MI","Carleton","+1-734-654-6201","http://www.carletonglengolf.com/",""
"Caro Golf Club","MI","Caro","","",""
"Carrington Golf Club","MI","Monroe","","",""
"Cascades Golf Course","MI","Jackson","","https://www.cascadesgolfcourse.com/",""
"Caseville Golf Course","MI","Caseville","+1-989-856-2613","http://www.casevillegolfcourse.com/","5848 Griggs Road, Caseville, MI, 48725"
"Castle Creek Golf Club","MI","Lum","+1-810-724-0851","https://www.castlecreekgolfclub.com/","5191 Lum Road, Attica, MI, 48412"
"Cattails Golf Club","MI","South Lyon","+1-248-486-8777","https://www.cattailsgolfclub.com/","57737 9 Mile Road, South Lyon, MI, 48178"
"Cedar Chase Golf Club","MI","Cedar Springs","+1-616-696-2308","https://www.cedarchasegolfclub.com/","7551 17 Mile Road Northeast, Cedar Springs, MI, 49319"
"Cedar Creek Golf Course","MI","Battle Creek","","https://www.cedargolfclub.com/",""
"Cedar Glen Golf Club","MI","New Baltimore","+1-586-725-8156","https://cedarglengolfclub.com/","36860 25 Mile Road, New Baltimore, MI, 48047"
"Cedar River Golf Course","MI","Bellaire","+1-800-678-4111","https://www.shantycreek.com/summer/golf/","2400 Troon Drive South, Bellaire, MI, 49615"
"Cedar Valley Golf Club","MI","Comins","","",""
"Centennial Acres Golf Course","MI","Sunfield","+1 517-566-8055","https://www.centennialacres.com/","12485 Dow Road, MI"
"Centennial Farm Golf Club","MI","Bellaire","","http://www.centennialfarmgolfclub.com/",""
"Century Oaks Golf Club","MI","Elkton","+1-989-375-4419","https://centuryoaksgolf.com/","4570 Pigeon Road, Elkton, MI, 48731"
"Champion Hill Golf Course","MI","Beulah","+1-231-882-9200","https://www.championhill.com/","501 North Marshall Road, Beulah, MI, 49617"
"Chandler Park Golf Course","MI","Detroit","+1-313-331-7755","https://chandlerparkgolfcourse.com/","12801 Chandler Park Drive, Detroit, MI, 48213"
"Chase Hammond Golf Club","MI","Muskegon","","https://www.chasehammondgolfclub.com/",""
"Cheboygan Golf & Country Club","MI","Cheboygan","+1-231-627-4264","https://www.cheboygangolf.com/","1431 Old Mackinaw Road, Cheboygan, MI, 49721"
"Chemung Hills Golf Club","MI","Howell","+1-517-546-7706","https://www.chemunghills.com/","3125 Golf Club Road, Howell, MI, 48843"
"Cherry Creek Golf Club","MI","Shelby Township","+1 586 254 7700","https://www.cherrycreekgolf.com/","52000 Cherry Creek Drive, Shelby Township, MI, 48316"
