name,state,city,tee,rating,slope,yardage
The Rock Golf Course,MI,Drummond Island,Gold,73.1,136,6691
The Rock Golf Course,MI,Drummond Island,Blue,70.4,131,6225
The Rock Golf Course,MI,Drummond Island,White,67.8,126,5660
The Rock Golf Course,MI,Drummond Island,Green,64.7,112,4831
Huron Shores Golf Club & Restaurant,MI,Port Sanilac,Blue,68.0,117,5428
Huron Shores Golf Club & Restaurant,MI,Port Sanilac,Red,63.2,113,4639
Woody’s Run Public Golf Course,MI,Escanaba,Yellow,68.4,110,5144
Woody’s Run Public Golf Course,MI,Escanaba,Red,63.4,100,4080
Elk Ridge Golf Club,MI,Atlanta,Gold,75.6,147,7072
Elk Ridge Golf Club,MI,Atlanta,Blue,73.7,140,6654
Elk Ridge Golf Club,MI,Atlanta,White,71.8,130,6113
Marsh Ridge Golf Course and Resort,MI,Gaylord,Blue,71.2,132,6231
Marsh Ridge Golf Course and Resort,MI,Gaylord,White,69.0,128,5842
Marsh Ridge Golf Course and Resort,MI,Gaylord,Gold,68.8,118,5237
Marsh Ridge Golf Course and Resort,MI,Gaylord,Red,65.4,112,4495
Kimberly Oaks Golf Club,MI,Saint Charles,Blue,72.7,134,6673
Charlevoix Municipal Golf Course,MI,Charlevoix,Blue,69.0,115,5980
Charlevoix Municipal Golf Course,MI,Charlevoix,White,66.8,110,5502
Charlevoix Municipal Golf Course,MI,Charlevoix,Red,62.8,100,4548
Charlevoix Municipal Golf Course,MI,Charlevoix,Yellow,57.2,89,3002
Hiawatha Sportsman’s Club Golf Course,MI,Naubinway,Blue,72.2,118,5974
Hiawatha Sportsman’s Club Golf Course,MI,Naubinway,Red,69.0,111,5280
"""The Old Course"" at Sugar Loaf",MI,Cedar,Blue,74.2,139,6787
"""The Old Course"" at Sugar Loaf",MI,Cedar,White,70.5,129,6118
"""The Old Course"" at Sugar Loaf",MI,Cedar,Green,69.0,120,5451
Pine View Highlands,MI,Houghton Lake,Blue,67.9,122,6093
Pine View Highlands,MI,Houghton Lake,White,64.9,112,5475
Pine View Highlands,MI,Houghton Lake,Red,65.1,107,4572
The Rose Golf Course,MI,Leroy,Back,71.0,122,6216
The Rose Golf Course,MI,Leroy,Middle,68.3,118,5542
The Rose Golf Course,MI,Leroy,Forward,66.6,108,4239
Falcon Head Golf Club,MI,Big Rapids,Back,71.8,133,6166
Riverwood Resort,MI,Mount Pleasant,Blue,72.8,134,6546
Riverwood Resort,MI,Mount Pleasant,White,71.1,130,6123
Riverwood Resort,MI,Mount Pleasant,Gold,67.7,124,5563
Riverwood Resort,MI,Mount Pleasant,Red,64.2,110,4961
Arrowhead Golf Club,MI,Caro,Back,68.6,113,5762
North Kent Golf Course,MI,Rockford,Blue,70.4,125,6242
North Kent Golf Course,MI,Rockford,White,68.9,121,5868
North Kent Golf Course,MI,Rockford,Gold,66.6,113,5362
North Kent Golf Course,MI,Rockford,Red,64.1,108,4781
Burning Tree Country Club,MI,Macomb,Blue,70.0,132,6109
Burning Tree Country Club,MI,Macomb,White,68.8,121,5638
Burning Tree Country Club,MI,Macomb,Gold,67.1,118,5290
Burning Tree Country Club,MI,Macomb,Red,66.5,115,5112
Port Huron Elks Lodge Golf Course,MI,Port Huron,Blue,71.7,130,6450
Port Huron Elks Lodge Golf Course,MI,Port Huron,White,70.4,126,6153
Port Huron Elks Lodge Golf Course,MI,Port Huron,Yellow,66.7,116,5423
Port Huron Elks Lodge Golf Course,MI,Port Huron,Red,65.8,112,5209
Maple Hill Golf Course,MI,Grandville,Back,70.0,113,5003
Sherwood on the Hill Golf Course,MI,Gagetown,Back,64.0,109,4942
The Myth,MI,Oakland Township,Blue,69.5,129,6077
Springdale Park and Golf Course,MI,Birmingham,Blue,66.4,127,5464
Fountains Golf & Banquet,MI,Clarkston,Black,69.8,130,6159
Fountains Golf & Banquet,MI,Clarkston,Blue,67.7,122,5858
Fountains Golf & Banquet,MI,Clarkston,Silver,66.2,116,5337
Fountains Golf & Banquet,MI,Clarkston,Gold,65.5,112,4529
Bramblewood Country Club,MI,Holly,Blue,66.7,117,5904
Bramblewood Country Club,MI,Holly,White,66.0,114,5701
Bramblewood Country Club,MI,Holly,Red,66.8,103,5035
Highland Hills Golf Course,MI,Highland,Blue,66.5,116,6186
Olivet Country Club,MI,Olivet,White,68.8,124,6014
Olivet Country Club,MI,Olivet,Red,67.2,108,4906
Hastings Country Club,MI,Hastings,Black,71.4,128,6423
Hastings Country Club,MI,Hastings,Blue,70.1,124,6137
Hastings Country Club,MI,Hastings,White,66.2,116,5287
Hastings Country Club,MI,Hastings,Red,63.2,107,4600
LYNX Golf Course & Grill,MI,Otsego,Blue,71.2,137,6471
LYNX Golf Course & Grill,MI,Otsego,White,69.1,134,6012
LYNX Golf Course & Grill,MI,Otsego,Gold,65.4,112,5190
LYNX Golf Course & Grill,MI,Otsego,Red,66.1,113,4429
Prairiewood Golf Course,MI,Otsego,Blue,70.4,114,6519
Grande Golf Club,MI,Jackson,Black,74.3,147,7156
Pine View Golf Course,MI,Ypsilanti,Blue,71.6,126,6490
Pine View Golf Course,MI,Ypsilanti,White,70.1,124,6220
Pine View Golf Course,MI,Ypsilanti,Gold,71.3,122,5784
Pine View Golf Course,MI,Ypsilanti,Green,63.6,108,4101
Idylwyld Golf Club,MI,Livonia,Black,68.0,126,5872
Idylwyld Golf Club,MI,Livonia,Silver,62.5,102,4665
Water's Edge Golf Course,MI,Grosse Ile,White,66.8,115,5418
Wyandotte Shores Golf Course,MI,Wyandotte,Black,71.6,129,6474
Wyandotte Shores Golf Course,MI,Wyandotte,Gold,69.0,127,5960
Wyandotte Shores Golf Course,MI,Wyandotte,Blue,67.0,117,5538
Wyandotte Shores Golf Course,MI,Wyandotte,White,63.4,113,4900
The Alpine,MI,Boyne Falls,Brown,73.6,140,7056
The Alpine,MI,Boyne Falls,Purple,72.5,138,6865
The Alpine,MI,Boyne Falls,Orange,70.9,134,6491
The Alpine,MI,Boyne Falls,Orange/Green,69.5,130,6239
The Alpine,MI,Boyne Falls,Green,69.1,126,6035
The Alpine,MI,Boyne Falls,Silver,64.5,115,5062
The Monument,MI,Boyne Falls,Brown,73.9,141,6964
The Monument,MI,Boyne Falls,Purple,72.1,136,6591
The Monument,MI,Boyne Falls,Orange,69.8,130,6104
The Monument,MI,Boyne Falls,Blue,69.3,128,5962
The Monument,MI,Boyne Falls,Green,67.6,123,5662
The Monument,MI,Boyne Falls,Silver,64.0,114,4879
Copper Hills Golf and Country Club,MI,Oxford,Championship,72.4,142,6539
Copper Hills Golf and Country Club,MI,Oxford,Back,70.7,138,6235
Copper Hills Golf and Country Club,MI,Oxford,Middle,69.3,128,5858
Copper Hills Golf and Country Club,MI,Oxford,Forward,65.9,118,5287
Copper Hills Golf and Country Club,MI,Oxford,Front,66.2,113,4673
Devil's Ridge Golf Club,MI,Oxford,Championship,72.2,123,6612
Devil's Ridge Golf Club,MI,Oxford,Tournament,69.4,118,6129
