"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"The Quarry Preserve at Bay Harbor Golf Club","MI","Bay Harbor","Brown","73.5","146","","","6774","4 3 5 4 5 4 4 3 4 4 4 4 5 3 5 4 4 3","13 17 5 9 1 11 3 15 7 12 14 4 8 10 2 16 18 6"
"The Quarry Preserve at Bay Harbor Golf Club","MI","Bay Harbor","Purple","71.4","144","","","6327","4 3 5 4 5 4 4 3 4 4 4 4 5 3 5 4 4 3","13 17 5 9 1 11 3 15 7 12 14 4 8 10 2 16 18 6"
"The Quarry Preserve at Bay Harbor Golf Club","MI","Bay Harbor","Orange","71","143","","","6262","4 3 5 4 5 4 4 3 4 4 4 4 5 3 5 4 4 3","13 17 5 9 1 11 3 15 7 12 14 4 8 10 2 16 18 6"
"The Quarry Preserve at Bay Harbor Golf Club","MI","Bay Harbor","Blue","68.8","133","74.4","149","5697","4 3 5 4 5 4 4 3 4 4 4 4 5 3 5 4 4 3","13 17 5 9 1 11 3 15 7 12 14 4 8 10 2 16 18 6"
"The Quarry Preserve at Bay Harbor Golf Club","MI","Bay Harbor","Blue/Green","68","129","73.3","147","5547","4 3 5 4 5 4 4 3 4 4 4 4 5 3 5 4 4 3","13 17 5 9 1 11 3 15 7 12 14 4 8 10 2 16 18 6"
"The Quarry Preserve at Bay Harbor Golf Club","MI","Bay Harbor","Green","64.7","120","69.2","135","4858","4 3 5 4 5 4 4 3 4 4 4 4 5 3 5 4 4 3","13 17 5 9 1 11 3 15 7 12 14 4 8 10 2 16 18 6"
"The Quarry Preserve at Bay Harbor Golf Club","MI","Bay Harbor","Green/Silver","","","66.4","125","4357","4 3 5 4 5 4 4 3 4 4 4 4 5 3 5 4 4 3","13 17 5 9 1 11 3 15 7 12 14 4 8 10 2 16 18 6"
"The Quarry Preserve at Bay Harbor Golf Club","MI","Bay Harbor","Silver","61.4","104","64","120","4104","4 3 5 4 5 4 4 3 4 4 4 4 5 3 5 4 4 3","13 17 5 9 1 11 3 15 7 12 14 4 8 10 2 16 18 6"
"Donald Ross Memorial at the Highlands Boyne","MI","Harbor Springs","Brown","73.9","143","","","6814","4 4 3 4 5 4 4 3 5 4 4 3 5 4 4 5 3 4","11 13 5 9 1 7 17 15 3 4 16 18 2 8 10 14 12 6"
"Donald Ross Memorial at the Highlands Boyne","MI","Harbor Springs","Purple","72.3","140","","","6563","4 4 3 4 5 4 4 3 5 4 4 3 5 4 4 5 3 4","11 13 5 9 1 7 17 15 3 4 16 18 2 8 10 14 12 6"
"Donald Ross Memorial at the Highlands Boyne","MI","Harbor Springs","Orange","71.1","136","77.4","145","6233","4 4 3 4 5 4 4 3 5 4 4 3 5 4 4 5 3 4","11 13 5 9 1 7 17 15 3 4 16 18 2 8 10 14 12 6"
"Donald Ross Memorial at the Highlands Boyne","MI","Harbor Springs","Blue","69.7","134","76","142","5972","4 4 3 4 5 4 4 3 5 4 4 3 5 4 4 5 3 4","11 13 5 9 1 7 17 15 3 4 16 18 2 8 10 14 12 6"
"Donald Ross Memorial at the Highlands Boyne","MI","Harbor Springs","Green","67.9","132","74.2","139","5658","4 4 3 4 5 4 4 3 5 4 4 3 5 4 4 5 3 4","11 13 5 9 1 7 17 15 3 4 16 18 2 8 10 14 12 6"
"Donald Ross Memorial at the Highlands Boyne","MI","Harbor Springs","Silver","64.5","122","69.8","129","4935","4 4 3 4 5 4 4 3 5 4 4 3 5 4 4 5 3 4","11 13 5 9 1 7 17 15 3 4 16 18 2 8 10 14 12 6"
