"name","city","state","reason"
"Bay Meadows Golf Course","Traverse City","MI","9-hole"
"Birch Pointe Golf Club","Saint Helen","MI","no-card"
"Boulder Creek Golf Course","Bessemer","MI","no-card"
"Bonnie View Golf Course","Eaton Rapids","MI","9-hole"
"Bushwood Golf Course","Northville","MI","9-hole"
"Cascade Hills Country Club","Grand Rapids","MI","9-hole"
"Corunna Hills Golf Course","Corunna","MI","9-hole"
"Currie Municipal Golf Course","Midland","MI","9-hole"
"Custer Greens Golf Course","Battle Creek","MI","no-card"
"Deer View Golf Course","Imlay City","MI","no-card"
"Diamond Lake Golf Club","Cassopolis","MI","9-hole"
"Eastern Hills Golf Club","Kalamazoo","MI","no-card"
"Drummond Island Golf Club","Drummond Island","MI","no-card"
"Edgewood Greens Golf Course","Prescott","MI","9-hole"
"Epworth Heights Golf Course","Ludington","MI","no-card"
"Evergreen Resort","Cadillac","MI","9-hole"
"Fawn Crest Golf Course","Wellston","MI","9-hole"
"Falcon Golf Course","East Lansing","MI","9-hole"
"Garden Golf Club","Garden","MI","no-card"
"Golden Sands Golf Course","Mears","MI","9-hole"
"Greenbush Golf Course","Greenbush","MI","9-hole"
"Hickory Hills Golf Club","Jackson","MI","no-card"
"Hickory Knoll Golf Course","Whitehall","MI","no-card"
"Indian Hills Golf Course","Stephenson","MI","9-hole"
"Holland Lake Golf Course","Sheridan","MI","9-hole"
"Keweenaw Mountain Lodge Golf Course","Copper Harbor","MI","9-hole"
"Kalamazoo Country Club","Kalamazoo","MI","no-card"
"Jeptha Lake Golf Course","Bloomingdale","MI","9-hole"
"Lake o' the Hills Golf Course","Haslett","MI","9-hole"
"Lake Monterey Golf Course","Dorr","MI","no-card"
"Mack Mayfield Municipal Golf Course","Westland","MI","9-hole"
"Mallard Golf Club","East Jordan","MI","9-hole"
"Maple Hills Golf Course","Augusta","MI","9-hole"
"Mountain Flowers","Glen Arbor","MI","9-hole"
"Old Town Golf Course","Monroe","MI","9-hole"
"Orchard Hills Golf Course","Shelbyville","MI","no-card"
"Pleasant View Golf Course","Saginaw","MI","9-hole"
"Pointe Aux Barques Golf Course","Port Austin","MI","no-card"
"Red Arrow Golf Course","Kalamazoo","MI","9-hole"
"Ridge Golf Course","Ottawa Lake","MI","9-hole"
"Red Oaks Golf Course","Madison Heights","MI","9-hole"
"Rippling Rapids Golf Club","Cheboygan","MI","no-card"
"Riverwood Resort","Mount Pleasant","MI","9-hole"
"Sand Creek Golf Club","Marne","MI","9-hole"
"Saskatoon Golf Club","Alto","MI","9-hole"
"Somerset Golf Course","Troy","MI","9-hole"
"Sherwood on the Hill Golf Course","Gagetown","MI","no-card"
"Stony Point Golf Course","Manistique","MI","no-card"
"Swartz Creek Golf Course","Flint","MI","9-hole"
"The Links At Rolling Meadows","Holland","MI","9-hole"
"Tustin Trails Golf Course","Tustin","MI","no-card"
"Tyler Creek Golf Club","Alto","MI","9-hole"
"Warfield Greens Golf Club","Fraser","MI","9-hole"
"Wilderness Golf Course","Carp Lake","MI","no-card"
"Wildwood Lake Golf Course","Wolverine","MI","9-hole"
"Wyandotte Shores Golf Course","Wyandotte","MI","9-hole"
