"name","city","verified","reason"
"Eagle Springs Golf Course","Florissant, MO","","OGA data failed sanity gate"
"LedgeStone Championship Golf Course","Branson West, MO","","OGA data failed sanity gate"
"Country Creek Golf Club - Hoot's Hollow","Pleasant Hill, MO","","OGA data failed sanity gate"
"Sandstone Country Club","Warrensburg, MO","","OGA data failed sanity gate"
"Saint James Golf Club","Missouri Highway 68, MO","","OGA data failed sanity gate"
"Meramec Lakes Golf Course","Saint Clair, MO","","OGA data failed sanity gate"
"Briarbrook Golf Course","Carl Junction, MO","","OGA data failed sanity gate"
"Higginsville Country Club","","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
"Cameron Veteran's Memorial Golf Club","Cameron, MO","","OGA data failed sanity gate"
"Crown Pointe Golf Club","Farmington, MO","","OGA data failed sanity gate"
"Shadow Lake Golf Course","MO","","OGA data failed sanity gate"
"Crowley's Ridge Recreation Center","","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
"Ballwin Golf Course & Event Center","","","our rating<55 (9-hole); delta 36 (wrong-course?)"
"Millwood Gold and Racquet Club","MO","","OGA data failed sanity gate"
"Clinton Country Club","MO","","OGA data failed sanity gate"
"Osage Country Club","","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
"Indian Rock Golf Club","Laurie, MO","","OGA data failed sanity gate"
"Raintree Country Club","Hillsboro, MO","","OGA data failed sanity gate"
"Mosswood Meadows","Monroe City, MO","","OGA rating<55; delta 36 (wrong-course?); OGA data failed sanity gate"
"Springfield Golf & Country Club","MO","","OGA rating<55; OGA data failed sanity gate"
"Deer Lake Golf Course","","","OGA data failed sanity gate"
