"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Bill and Payne Stewart Golf Course","MO","MO","Blue","68.4","113","","","6162","5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3","14 4 10 8 2 16 18 12 6 17 5 1 15 11 3 13 7 9"
"Bill and Payne Stewart Golf Course","MO","MO","White","68.4","113","","","5875","5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3","14 4 10 8 2 16 18 12 6 17 5 1 15 11 3 13 7 9"
"Bill and Payne Stewart Golf Course","MO","MO","Red","","","70.6","113","5360","5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3","14 4 10 8 2 16 18 12 6 17 5 1 15 11 3 13 7 9"
"Riverside Golf Course","MO","MO","Blue","73.5","136","","","6748","4 4 3 4 4 4 3 4 5 5 4 4 3 4 5 4 4 3","7 1 13 17 3 9 15 5 11 4 2 14 12 6 10 18 8 16"
"Riverside Golf Course","MO","MO","Member","72.9","134","","","6610","4 4 3 4 4 4 3 4 5 5 4 4 3 4 5 4 4 3","7 1 13 17 3 9 15 5 11 4 2 14 12 6 10 18 8 16"
"Riverside Golf Course","MO","MO","White","72","132","","","6406","4 4 3 4 4 4 3 4 5 5 4 4 3 4 5 4 4 3","7 1 13 17 3 9 15 5 11 4 2 14 12 6 10 18 8 16"
"Riverside Golf Course","MO","MO","Legend","70.2","128","","","6002","4 4 3 4 4 4 3 4 5 5 4 4 3 4 5 4 4 3","7 1 13 17 3 9 15 5 11 4 2 14 12 6 10 18 8 16"
"Riverside Golf Course","MO","MO","Gold","69.1","125","","","5759","4 4 3 4 4 4 3 4 5 5 4 4 3 4 5 4 4 3","7 1 13 17 3 9 15 5 11 4 2 14 12 6 10 18 8 16"
"Riverside Golf Course","MO","MO","Green","","","68.3","122","4766","4 4 3 4 4 4 3 4 5 5 4 4 3 4 5 4 4 3","7 1 13 17 3 9 15 5 11 4 2 14 12 6 10 18 8 16"
"Quail Creek Golf Course","MO","MO","Black","73.6","136","","","7050","4 4 3 4 4 4 5 3 5 4 5 4 3 4 4 3 5 4","16 4 18 6 2 12 8 14 10 3 9 13 17 7 1 15 11 5"
"Quail Creek Golf Course","MO","MO","Gold","73.4","127","","","6856","4 4 3 4 4 4 5 3 5 4 5 4 3 4 4 3 5 4","16 4 18 6 2 12 8 14 10 3 9 13 17 7 1 15 11 5"
"Quail Creek Golf Course","MO","MO","Blue","71.3","127","","","6334","4 4 3 4 4 4 5 3 5 4 5 4 3 4 4 3 5 4","16 4 18 6 2 12 8 14 10 3 9 13 17 7 1 15 11 5"
"Quail Creek Golf Course","MO","MO","White","70","125","","","5985","4 4 3 4 4 4 5 3 5 4 5 4 3 4 4 3 5 4","16 4 18 6 2 12 8 14 10 3 9 13 17 7 1 15 11 5"
"Quail Creek Golf Course","MO","MO","Red","71","118","","","5212","4 4 3 4 4 4 5 3 5 4 5 4 3 4 4 3 5 4","16 4 18 6 2 12 8 14 10 3 9 13 17 7 1 15 11 5"
