name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Bill and Payne Stewart Golf Course,MO,,Blue,69.3,117,,,6162,4-5-5-3-4-4-3-4-3-3-4-4-4-4-4-4-3-5,14-4-10-8-2-16-18-12-6-17-5-1-15-11-3-13-7-9
Bill and Payne Stewart Golf Course,MO,,White,67.9,113,73.2,121,5875,4-5-5-3-4-4-3-4-3-3-4-4-4-4-4-4-3-5,14-4-10-8-2-16-18-12-6-17-5-1-15-11-3-13-7-9
Bill and Payne Stewart Golf Course,MO,,Yellow,64.5,107,,,5249,4-5-5-3-4-4-3-4-3-3-4-4-4-4-4-4-3-5,14-4-10-8-2-16-18-12-6-17-5-1-15-11-3-13-7-9
Bill and Payne Stewart Golf Course,MO,,Red,63.3,106,68.8,112,4903,4-5-5-3-4-4-3-4-3-3-4-4-4-4-4-4-3-5,14-4-10-8-2-16-18-12-6-17-5-1-15-11-3-13-7-9
Green Hills Golf Course,MO,Chillicothe,Gold,72.9,125,,,6862,4-3-5-4-4-3-5-4-4-4-3-5-4-4-4-3-4-5,13-9-7-1-11-17-5-15-3-18-10-12-4-14-2-8-16-6
Green Hills Golf Course,MO,Chillicothe,Blue,69,122,75.4,137,6095,4-3-5-4-4-3-5-4-4-4-3-5-4-4-4-3-4-5,13-9-7-1-11-17-5-15-3-18-10-12-4-14-2-8-16-6
Green Hills Golf Course,MO,Chillicothe,White,65.1,118,70,116,5241,4-3-5-4-4-3-5-4-4-4-3-5-4-4-4-3-4-5,13-9-7-1-11-17-5-15-3-18-10-12-4-14-2-8-16-6
Green Hills Golf Course,MO,Chillicothe,Red,64.3,113,69.3,115,5069,4-3-5-4-4-3-5-4-4-4-3-5-4-4-4-3-4-5,13-9-7-1-11-17-5-15-3-18-10-12-4-14-2-8-16-6
Eldon Golf Club,MO,,Gold,70.4,126,,,6434,5-4-3-4-4-3-5-4-4-3-4-5-4-4-3-5-3-5,15-3-5-9-11-13-1-7-17-10-12-2-4-8-18-14-16-6
Eldon Golf Club,MO,,Blue,69.1,124,,,6092,5-4-3-4-4-3-5-4-4-3-4-5-4-4-3-5-3-5,15-3-5-9-11-13-1-7-17-10-12-2-4-8-18-14-16-6
Eldon Golf Club,MO,,White,67,119,71.9,126,5582,5-4-3-4-4-3-5-4-4-3-4-5-4-4-3-5-3-5,15-3-5-9-11-13-1-7-17-10-12-2-4-8-18-14-16-6
Eldon Golf Club,MO,,Red (W),,,66.9,116,4735,5-4-3-4-4-3-5-4-4-3-4-5-4-4-3-5-3-5,15-3-5-9-11-13-1-7-17-10-12-2-4-8-18-14-16-6
Eldon Golf Club,MO,,Orange (W),,,63.1,103,4092,5-4-3-4-4-3-5-4-4-3-4-5-4-4-3-5-3-5,15-3-5-9-11-13-1-7-17-10-12-2-4-8-18-14-16-6
Bear Creek Valley Golf Club,MO,Osage Beach,Blue,71.5,130,,,6775,4-3-4-4-4-4-3-5-5-3-4-4-4-5-4-3-5-4,7-17-11-5-15-13-3-1-9-4-14-8-2-12-16-18-10-6
Bear Creek Valley Golf Club,MO,Osage Beach,White Long,69.2,126,,,6188,4-3-4-4-4-4-3-5-5-3-4-4-4-5-4-3-5-4,7-17-11-5-15-13-3-1-9-4-14-8-2-12-16-18-10-6
Bear Creek Valley Golf Club,MO,Osage Beach,White Short,68.1,125,,,6155,4-3-4-4-4-4-3-5-5-3-4-4-4-5-4-3-5-4,7-17-11-5-15-13-3-1-9-4-14-8-2-12-16-18-10-6
Bear Creek Valley Golf Club,MO,Osage Beach,Yellow Long,65.6,119,72.3,135,5592,4-3-4-4-4-4-3-5-5-3-4-4-4-5-4-3-5-4,7-17-11-5-15-13-3-1-9-4-14-8-2-12-16-18-10-6
Bear Creek Valley Golf Club,MO,Osage Beach,Yellow Short,64.5,118,71.2,134,5509,4-3-4-4-4-4-3-5-5-3-4-4-4-5-4-3-5-4,7-17-11-5-15-13-3-1-9-4-14-8-2-12-16-18-10-6
Bear Creek Valley Golf Club,MO,Osage Beach,Red Long (W),,,67.7,117,4738,4-3-4-4-4-4-3-5-5-3-4-4-4-5-4-3-5-4,7-17-11-5-15-13-3-1-9-4-14-8-2-12-16-18-10-6
Bear Creek Valley Golf Club,MO,Osage Beach,Red Short (W),,,66.5,116,4653,4-3-4-4-4-4-3-5-5-3-4-4-4-5-4-3-5-4,7-17-11-5-15-13-3-1-9-4-14-8-2-12-16-18-10-6
Horton Smith Municipal Golf Course,MO,,Blue,68,109,71.2,120,6457,5-4-3-4-4-3-4-3-5-3-4-3-5-4-4-4-4-4,16-2-11-1-5-17-4-10-13-14-6-12-18-3-9-7-8-15
Horton Smith Municipal Golf Course,MO,,White,67.1,103,69.9,115,5905,5-4-3-4-4-3-4-3-5-3-4-3-5-4-4-4-4-4,16-2-11-1-5-17-4-10-13-14-6-12-18-3-9-7-8-15
