"name","city","verified","reason"
"Duncan Park Golf","MS","","OGA data failed sanity gate"
"Back Acres Country Club","Senatobia, MS","Y","OGA data failed sanity gate"
"Perry Creek Golf & Racquet Club","Grenada, MS","","OGA data failed sanity gate"
"Pearl Municipal Golf Course","Pearl, MS","Y","OGA data failed sanity gate"
"Green Oaks Golf Club","MS","Y","OGA data failed sanity gate"
"Greenville Golf & Country Club","Greenville, MS","Y","OGA data failed sanity gate"
"Brookhaven Country Club","MS","","OGA data failed sanity gate"
"Eagle Ridge Golf Course","MS","Y","OGA data failed sanity gate"
"Great Southern Golf Club","MS","","OGA data failed sanity gate"
"Windance Country Club","MS","Y","OGA data failed sanity gate"
"Cherokee Valley Golf Course","Olive Branch, MS","Y","OGA data failed sanity gate"
"River Birch Golf Club","Amory","Y","OGA data failed sanity gate"
"Elm Lake Golf Course","Columbus","Y","OGA data failed sanity gate"
"Panola Country Club","Batesville","Y","OGA data failed sanity gate"
"Bayou Vista Golf Course","Gulfport","Y","OGA data failed sanity gate"
"Hills at Hernando Country Club","Hernando","Y","OGA data failed sanity gate"
"Pete Brown Golf Facility","Jackson","Y","OGA data failed sanity gate"
"Olive Branch Country Club","Olive Branch","Y","OGA data failed sanity gate"
"Timber Truss Golf Course","Olive Branch","Y","OGA data failed sanity gate"
"River Bend Links","Robinsonville","Y","OGA data failed sanity gate"
"Sunkist Country Club","Biloxi","Y","OGA data failed sanity gate"
