name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Leflore County County Club,MS,Itta Bena,Blue,35.4,121,,,3098,5 4 3 4 4 4 3 5 4,7 9 3 5 1 4 8 6 2
Leflore County County Club,MS,Itta Bena,White,34.6,117,,,2770,5 4 3 4 4 4 3 5 4,7 9 3 5 1 4 8 6 2
Leflore County County Club,MS,Itta Bena,Red,,,33.6,113,2682,5 4 3 4 4 4 3 5 4,7 9 3 5 1 4 8 6 2
Indianola Country Club (MS),MS,Indianola,Back,34.5,112,,,2962,4 5 3 4 4 4 5 3 4,1 8 6 2 7 4 3 5 9
Indianola Country Club (MS),MS,Indianola,Forward,,,34.6,112,2422,4 5 3 4 4 4 5 3 4,1 8 6 2 7 4 3 5 9
Amory Golf Course,MS,Amory,Mens,33.8,114,,,3187,5 4 4 3 4 3 5 4 4,6 2 7 5 3 1 8 9 4
Amory Golf Course,MS,Amory,Ladies,,,32.7,107,3187,5 4 4 3 4 3 5 4 4,6 2 7 5 3 1 8 9 4
Bel-Air Golf Course Tupelo,MS,Tupelo,Blue,35.4,121,35.9,123,3093,4 4 4 4 3 5 4 5 3,5 1 3 4 2 8 6 7 9
Bel-Air Golf Course Tupelo,MS,Tupelo,White,34.6,117,35.1,119,2904,4 4 4 4 3 5 4 5 3,5 1 3 4 2 8 6 7 9
Bel-Air Golf Course Tupelo,MS,Tupelo,Yellow/Red,33.1,111,33.6,113,2623,4 4 4 4 3 5 4 5 3,5 1 3 4 2 8 6 7 9
Bel-Air Golf Course Tupelo,MS,Tupelo,Gold,33,107,33.5,109,2463,4 4 4 4 3 5 4 5 3,5 1 3 4 2 8 6 7 9
Prentiss Country Club,MS,Prentiss,Mens,34,117,,,2937,4 3 3 4 4 3 5 5 4,8 2 5 4 6 9 3 1 7
Prentiss Country Club,MS,Prentiss,Ladies,,,32.6,109,2937,4 3 3 4 4 3 5 5 4,8 2 5 4 6 9 3 1 7
Zach Brooks Golf Course,MS,Macon,Blue,35.6,95,,,3145,4 4 4 3 5 4 5 3 4,1 8 4 5 3 6 2 7 9
Zach Brooks Golf Course,MS,Macon,White,34.2,92,35.9,94,2998,4 4 4 3 5 4 5 3 4,1 8 4 5 3 6 2 7 9
Booneville Golf & Country Club,MS,Booneville,White/Blue,35.1,116,,,3124,4 4 4 3 4 3 5 4 5,9 4 7 3 6 8 2 5 1
Booneville Golf & Country Club,MS,Booneville,Gold/Black,32.6,101,,,2583,4 4 4 3 4 3 5 4 5,9 4 7 3 6 8 2 5 1
Booneville Golf & Country Club,MS,Booneville,Red/Silver,,,32.6,110,2340,4 4 4 3 4 3 5 4 5,9 4 7 3 6 8 2 5 1
Fulton,MS,Fulton,Back,33.9,119,,,2648,4 4 5 4 3 4 3 5 3,7 8 1 9 2 5 4 3 6
Fulton,MS,Fulton,Forward,,,32.6,108,2162,4 4 5 4 3 4 3 5 3,7 8 1 9 2 5 4 3 6
Waynesboro Country Club (MS),MS,Waynesboro,Back,33.7,123,,,2792,4 4 3 4 3 4 5 4 4,8 3 2 9 7 4 6 5 1
Waynesboro Country Club (MS),MS,Waynesboro,Senior,32,110,,,2490,4 4 3 4 3 4 5 4 4,8 3 2 9 7 4 6 5 1
Waynesboro Country Club (MS),MS,Waynesboro,Forward,,,34.5,116,2490,4 4 3 4 3 4 5 4 4,8 3 2 9 7 4 6 5 1
