"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Tupelo Country Club","MS","Belden","Black","72.4","127","","","6887","5 3 4 4 5 4 4 3 4 4 4 3 5 4 5 4 3 4","6 18 14 4 2 10 12 16 8 13 11 15 3 7 5 1 17 9"
"Tupelo Country Club","MS","Belden","Blue","70.7","121","","","6474","5 3 4 4 5 4 4 3 4 4 4 3 5 4 5 4 3 4","6 18 14 4 2 10 12 16 8 13 11 15 3 7 5 1 17 9"
"Tupelo Country Club","MS","Belden","White","67.1","114","","","5636","5 3 4 4 5 4 4 3 4 4 4 3 5 4 5 4 3 4","6 18 14 4 2 10 12 16 8 13 11 15 3 7 5 1 17 9"
"Tupelo Country Club","MS","Belden","Red","","","68.1","117","4993","5 3 4 4 5 4 4 3 4 4 4 3 5 4 5 4 3 4","6 18 14 4 2 10 12 16 8 13 11 15 3 7 5 1 17 9"
"Greenwood Country Club Golf Course","MS","MS","Blue","69.8","116","","","6296","5 4 3 4 4 5 4 3 4 4 3 5 3 3 4 5 4 5","16 10 2 4 12 14 6 18 8 5 7 13 15 1 9 11 3 17"
"Greenwood Country Club Golf Course","MS","MS","White","69.1","113","","","6103","5 4 3 4 4 5 4 3 4 4 3 5 3 3 4 5 4 5","16 10 2 4 12 14 6 18 8 5 7 13 15 1 9 11 3 17"
"Greenwood Country Club Golf Course","MS","MS","Red","","","69.9","115","5422","5 4 3 4 4 5 4 3 4 4 3 5 3 3 4 5 4 5","16 10 2 4 12 14 6 18 8 5 7 13 15 1 9 11 3 17"
"Dogwood Hills Golf Club","MS","Biloxi, MS","Blue","69.9","119","","","6003","4 3 4 5 3 4 4 5 4 4 3 4 5 4 5 3 4 4","18 8 16 6 2 10 12 14 4 9 17 15 5 1 7 11 3 13"
"The Ole Miss Golf Course","MS","Oxford, MS","Blue","73.3","125","","","7035","4 4 3 4 3 5 5 4 4 4 4 3 4 5 5 3 4 4","8 12 4 2 16 14 6 18 10 9 3 15 1 17 13 5 7 11"
"The Ole Miss Golf Course","MS","Oxford, MS","White","70.4","123","","","6338","4 4 3 4 3 5 5 4 4 4 4 3 4 5 5 3 4 4","8 12 4 2 16 14 6 18 10 9 3 15 1 17 13 5 7 11"
"The Ole Miss Golf Course","MS","Oxford, MS","Gold","66.3","110","","","5457","4 4 3 4 3 5 5 4 4 4 4 3 4 5 5 3 4 4","8 12 4 2 16 14 6 18 10 9 3 15 1 17 13 5 7 11"
"The Ole Miss Golf Course","MS","Oxford, MS","Red","","","68.4","113","4849","4 4 3 4 3 5 5 4 4 4 4 3 4 5 5 3 4 4","8 12 4 2 16 14 6 18 10 9 3 15 1 17 13 5 7 11"
"Clarksdale Country Club","MS","MS","Blue","71.2","118","","","6667","4 4 3 4 4 3 5 4 4 4 4 3 4 4 5 4 3 5","7 11 1 3 15 9 13 17 5 10 2 4 8 12 18 6 14 16"
"Clarksdale Country Club","MS","MS","White","70","116","","","6207","4 4 3 4 4 3 5 4 4 4 4 3 4 4 5 4 3 5","7 11 1 3 15 9 13 17 5 10 2 4 8 12 18 6 14 16"
"Clarksdale Country Club","MS","MS","Gold","65.2","115","","","5430","4 4 3 4 4 3 5 4 4 4 4 3 4 4 5 4 3 5","7 11 1 3 15 9 13 17 5 10 2 4 8 12 18 6 14 16"
"Clarksdale Country Club","MS","MS","Red","","","71.3","116","5535","4 4 3 4 4 3 5 4 4 4 4 3 4 4 5 4 3 5","7 11 1 3 15 9 13 17 5 10 2 4 8 12 18 6 14 16"
"Bay Breeze Golf Course","MS","Keesler Air Force Base, MS","Blue","70.7","112","","","6517","4 4 3 4 4 5 4 4 4 3 4 3 5 5 4 4 3 4","1 15 11 9 3 13 7 17 5 10 14 12 2 18 16 8 6 4"
"Bay Breeze Golf Course","MS","Keesler Air Force Base, MS","White","68.9","104","","","6139","4 4 3 4 4 5 4 4 4 3 4 3 5 5 4 4 3 4","1 15 11 9 3 13 7 17 5 10 14 12 2 18 16 8 6 4"
"Bay Breeze Golf Course","MS","Keesler Air Force Base, MS","Red","","","70.4","110","5330","4 4 3 4 4 5 4 4 4 3 4 3 5 5 4 4 3 4","1 15 11 9 3 13 7 17 5 10 14 12 2 18 16 8 6 4"
"Mississippi State University Golf Course","MS","Starkville, MS","Black","72.7","131","","","6624","4 3 5 4 4 4 5 3 4 3 5 4 3 4 3 4 4 5","13 7 5 11 15 1 3 17 9 18 8 4 16 2 12 10 14 6"
"Mississippi State University Golf Course","MS","Starkville, MS","Grey","70.3","128","","","6171","4 3 5 4 4 4 5 3 4 3 5 4 3 4 3 4 4 5","13 7 5 11 15 1 3 17 9 18 8 4 16 2 12 10 14 6"
"Mississippi State University Golf Course","MS","Starkville, MS","Maroon","68.1","121","73.4","131","5707","4 3 5 4 4 4 5 3 4 3 5 4 3 4 3 4 4 5","13 7 5 11 15 1 3 17 9 18 8 4 16 2 12 10 14 6"
"Mississippi State University Golf Course","MS","Starkville, MS","White","66.3","117","71.2","127","5313","4 3 5 4 4 4 5 3 4 3 5 4 3 4 3 4 4 5","13 7 5 11 15 1 3 17 9 18 8 4 16 2 12 10 14 6"
"Mississippi State University Golf Course","MS","Starkville, MS","Family PGA Gold","61.3","107","63.1","106","3972","4 3 5 4 4 4 5 3 4 3 5 4 3 4 3 4 4 5","13 7 5 11 15 1 3 17 9 18 8 4 16 2 12 10 14 6"
"Mississippi State University Golf Course","MS","Starkville, MS","Family PGA Blue","56.5","95","57.7","95","2962","4 3 5 4 4 4 5 3 4 3 5 4 3 4 3 4 4 5","13 7 5 11 15 1 3 17 9 18 8 4 16 2 12 10 14 6"
"Mallard Pointe Golf Course","MS","Sardis, MS","Black","73.8","131","","","7004","5 5 5 5 4 4 4 4 4 4 4 4 4 4 3 3 3 3","9 17 11 5 7 3 13 15 1 10 4 14 8 12 16 6 18 2"
"Mallard Pointe Golf Course","MS","Sardis, MS","Blue","71.3","124","","","6498","5 5 5 5 4 4 4 4 4 4 4 4 4 4 3 3 3 3","9 17 11 5 7 3 13 15 1 10 4 14 8 12 16 6 18 2"
"Mallard Pointe Golf Course","MS","Sardis, MS","White","68.8","118","","","5959","5 5 5 5 4 4 4 4 4 4 4 4 4 4 3 3 3 3","9 17 11 5 7 3 13 15 1 10 4 14 8 12 16 6 18 2"
"Mallard Pointe Golf Course","MS","Sardis, MS","Silver","71.5","122","","","5300","5 5 5 5 4 4 4 4 4 4 4 4 4 4 3 3 3 3","9 17 11 5 7 3 13 15 1 10 4 14 8 12 16 6 18 2"
"Country Club of Canton","MS","Canton, MS","Blue","69.8","119","","","6322","4 4 3 5 5 3 5 4 3 4 5 3 4 4 4 4 3 5","4 12 16 10 18 6 2 14 8 13 1 15 5 3 11 7 17 9"
"Country Club of Canton","MS","Canton, MS","White","68","112","","","5896","4 4 3 5 5 3 5 4 3 4 5 3 4 4 4 4 3 5","4 12 16 10 18 6 2 14 8 13 1 15 5 3 11 7 17 9"
