"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"River Birch Golf Club","MS","Amory","Black","73.3","121","","","7246","4 5 3 4 5 3 4 4 4 4 3 5 4 4 4 4 3 5","16 6 2 10 8 18 14 4 12 3 17 9 1 5 13 7 15 11"
"River Birch Golf Club","MS","Amory","Gold","72.2","118","","","6771","4 5 3 4 5 3 4 4 4 4 3 5 4 4 4 4 3 5","16 6 2 10 8 18 14 4 12 3 17 9 1 5 13 7 15 11"
"River Birch Golf Club","MS","Amory","White","70","114","75.3","122","6301","4 5 3 4 5 3 4 4 4 4 3 5 4 4 4 4 3 5","16 6 2 10 8 18 14 4 12 3 17 9 1 5 13 7 15 11"
"River Birch Golf Club","MS","Amory","Red","66.1","104","66.7","109","5404","4 5 3 4 5 3 4 4 4 4 3 5 4 4 4 4 3 5","16 6 2 10 8 18 14 4 12 3 17 9 1 5 13 7 15 11"
"River Birch Golf Club","MS","Amory","Blue","","","63.2","102","4770","4 5 3 4 5 3 4 4 4 4 3 5 4 4 4 4 3 5","16 6 2 10 8 18 14 4 12 3 17 9 1 5 13 7 15 11"
"Elm Lake Golf Course","MS","Columbus","Gold","73.3","123","","","6913","5 4 3 5 4 4 4 3 4 4 4 4 4 5 3 4 3 5","4 8 18 6 12 16 2 10 14 13 5 7 3 9 15 1 17 11"
"Elm Lake Golf Course","MS","Columbus","Blue/Gold","71.8","123","","","6641","5 4 3 5 4 4 4 3 4 4 4 4 4 5 3 4 3 5","4 8 18 6 12 16 2 10 14 13 5 7 3 9 15 1 17 11"
"Elm Lake Golf Course","MS","Columbus","Blue","70.2","122","","","6341","5 4 3 5 4 4 4 3 4 4 4 4 4 5 3 4 3 5","4 8 18 6 12 16 2 10 14 13 5 7 3 9 15 1 17 11"
"Elm Lake Golf Course","MS","Columbus","White","68.7","117","74.3","131","6012","5 4 3 5 4 4 4 3 4 4 4 4 4 5 3 4 3 5","4 8 18 6 12 16 2 10 14 13 5 7 3 9 15 1 17 11"
"Elm Lake Golf Course","MS","Columbus","White/Gray","66.5","115","71.9","125","5586","5 4 3 5 4 4 4 3 4 4 4 4 4 5 3 4 3 5","4 8 18 6 12 16 2 10 14 13 5 7 3 9 15 1 17 11"
"Elm Lake Golf Course","MS","Columbus","Gray","65.1","113","70.2","122","5271","5 4 3 5 4 4 4 3 4 4 4 4 4 5 3 4 3 5","4 8 18 6 12 16 2 10 14 13 5 7 3 9 15 1 17 11"
