"name","city","verified","reason"
"Highland Country Club","NC","Y","OGA data failed sanity gate"
"Wedgewood Golf Course","Wilson, NC","Y","OGA data failed sanity gate"
"Wildwood Green Golf Club","Raleigh, NC","Y","OGA data failed sanity gate"
"Hound Ears Club","NC","Y","OGA data failed sanity gate"
"Lake Junaluska Golf Course","NC","Y","OGA data failed sanity gate"
"Winston Lake Golf Course","Winston-Salem, NC","Y","OGA data failed sanity gate"
"The Country Club of Sapphire Valley","Sapphire, NC","Y","OGA data failed sanity gate"
"Sapphire National Golf Club","Sapphire, NC","Y","OGA data failed sanity gate"
"Brook Valley Country Club","Greenville, NC","Y","OGA data failed sanity gate"
"Greenville Country Club","Greenville, NC","Y","OGA data failed sanity gate"
"Maccripine Country Club","Pinetops, NC","Y","OGA data failed sanity gate"
"New Bern Golf & Country Club","New Bern, NC","Y","OGA data failed sanity gate"
"Scotch Meadows Country Club","Laurinburg, NC","Y","OGA data failed sanity gate"
"Ryder Golf Course","NC","Y","OGA data failed sanity gate"
"Chicora Golf Club","Dunn, NC","Y","OGA data failed sanity gate"
"Lake Course","NC","Y","OGA data failed sanity gate"
"Brookwood Golf Course","Whitsett, NC","Y","OGA data failed sanity gate"
"Hendersonville Country Club","NC","Y","OGA data failed sanity gate"
"Biltmore Forest Country Club","Asheville, NC","Y","OGA data failed sanity gate"
"McCanless Golf Club","Salisbury, NC","Y","OGA data failed sanity gate"
"Glen Oaks Golf Club","Maiden, NC","Y","OGA data failed sanity gate"
"Black Mountain Golf Course","Black Mountain, NC","Y","OGA data failed sanity gate"
"Morehead City Country Club","Morehead City, NC","Y","OGA data failed sanity gate"
"Willow Springs Country Club","Wilson, NC","Y","OGA data failed sanity gate"
"Eagles Chase Golf Club","NC","Y","OGA data failed sanity gate"
"Lake Winds Golf Course","NC","Y","OGA data failed sanity gate"
"Sound of Freedom Golf Course","NC","Y","OGA data failed sanity gate"
"Jacksonville Country Club","NC","Y","OGA data failed sanity gate"
"Deer Brook Golf Club","Shelby, NC","Y","OGA data failed sanity gate"
"Ironwood Golf & Country Club","Greenville, NC","Y","OGA data failed sanity gate"
"Magnolia","NC","Y","OGA data failed sanity gate"
"South Course","NC","Y","OGA data failed sanity gate"
"Siler City Country Club","Siler City, NC","Y","OGA data failed sanity gate"
"Stoney Creek Golf Club","Stoney Creek, NC","Y","OGA data failed sanity gate"
"Henderson Country Club","Henderson, NC","Y","OGA data failed sanity gate"
"Pine Hollow Golf Club","Clayton, NC","Y","OGA data failed sanity gate"
"Country Club of Johnston County","Smithfield, NC","Y","OGA data failed sanity gate"
"Baywood Golf Club","Fayetteville, NC","Y","OGA data failed sanity gate"
"The Peninsula Club","Cornelius, NC","","OGA data failed sanity gate"
"Sedgefield Country Club, Dye Course","Greensboro, NC","","OGA data failed sanity gate"
"Lincoln Country Club","Lincolnton, NC","Y","OGA data failed sanity gate"
"Wilson Country Club","Wilson, NC","Y","OGA data failed sanity gate"
"Highlands Falls Country Club","NC","Y","OGA data failed sanity gate"
"Pine Island Country Club","Charlotte, NC","Y","OGA data failed sanity gate"
"Cedar Rock Country Club","NC","Y","OGA data failed sanity gate"
"Taberna Country Club","New Bern, NC","Y","OGA data failed sanity gate"
