"name","state","city","phone","website","address"
"Hillandale Golf Course","NC","Durham","+1 919 286 4211","https://hillandalegolf.com/","1600 Hillandale Road, Durham, NC, 27705"
"Old Town Country Club","NC","Winston-Salem","","",""
"Forsyth Country Club","NC","Winston-Salem","","https://www.forsythcc.org/",""
"Highland Country Club","NC","Fayetteville","","",""
"Duke University Golf Club","NC","Durham","","",""
"Wedgewood Golf Course","NC","Wilson","+1 252 237 4761","https://www.wilsonnc.org/parks-and-recreation/wedgewood-golf-course/","3201 Old Stantonsburg Road, Wilson, NC, 27893"
"Finley Golf Course","NC","Chapel Hill","","",""
"Chockoyotte Country Club","NC","Weldon","+1-252-536-3166","https://www.chockoyottecountryclub.com/","800 Country Club Road, Weldon, NC, 27890"
"Charlotte Country Club","NC","Charlotte","","https://www.charlottecountryclub.org/","2465 Mecklenburg Avenue, Charlotte, NC, 28205"
"Rocky River Golf Club","NC","Concord","","","6900 Bruton Smith Boulevard, Concord, NC, 28027"
"Carolina Country Club","NC","Raleigh","","",""
"North Ridge Country Club","NC","Raleigh","","",""
"Myers Park Country Club","NC","Charlotte","+1 704 376 0741","https://www.myersparkcc.com/","2415 Roswell Avenue, Charlotte, NC, 28209"
"Wildwood Green Golf Club","NC","Raleigh","+1-919-846-8376","https://www.wildwoodgreen.com/","3000 Bullybunion Way, Raleigh, NC, 27613"
"Hedingham Golf Club","NC","Raleigh","","",""
"Raleigh Country Club","NC","Raleigh","+1-919-231-5501","https://www.raleighcc.com/","400 Donald Ross Drive, Raleigh, NC, 27610"
"Cape Fear National at Brunswick Forest","NC","Leland","","",""
"Hound Ears Club","NC","Boone","","",""
"Old Chatham Golf Club","NC","Durham","+1-919-361-1400","https://www.oldchathamgolf.org/","1480 O'Kelly Chapel Road, Durham, NC, 27713"
"Boone Golf Club","NC","Boone","+1-828-264-8760","https://www.boonegolfclub.com/","433 Fairway Drive, Boone, NC, 28607"
"Lake Junaluska Golf Course","NC","Waynesville","","",""
"Cedarwood Country Club","NC","Charlotte","+1-704-542-0250","https://www.cedarwoodcc.com/","4100 Pineville-Matthews Road, Charlotte, NC, 28226"
"Benvenue Country Club Course","NC","Rocky Mount","","",""
"Northgreen Country Club Golf Course","NC","Rocky Mount","","",""
"Southern Pines Golf Club","NC","Southern Pines","+1 910 692 6551","https://southernpinesgc.com/","290 Country Club Circle, Southern Pines, NC, 28387"
"Monroe Country Club","NC","Monroe","+1 704 282 4661","https://www.monroecountryclubgolf.com/","1680 Pageland Highway, Monroe, NC, 28112"
"Carolina Pines Golf and Country Club","NC","Southern Pines","+1-252-444-1000","https://www.carolinapinesgolf.com/","465 Carolina Pines Boulevard, New Bern, NC, 28560"
"Winston Lake Golf Course","NC","Winston-Salem","","https://www.winstonlakegolf.com/","3535 Winston Lake Road, Winston-Salem, NC, 27105"
"Reynolds Park Golf Course","NC","Winston-Salem","","",""
"Pinehurst Course No.1","NC","Pinehurst","","",""
"Pinehurst Course No.7","NC","Pinehurst","","",""
"Lochmere Golf Course","NC","Cary","","http://www.clubcorp.com/Clubs/Lochmere-Golf-Club/Amenities/Golf",""
"Oak Island Golf Club","NC","Caswell Beach","+1-910-278-5275","https://oakislandgolf.com/","928 Caswell Beach Road, Caswell Beach, NC, 28465"
"Burlingame Country Club","NC","Sapphire","+1-828-966-9200","https://burlingameccwnc.com/","19387 Rosman Highway, Sapphire, NC, 28774"
"The Country Club of Sapphire Valley","NC","Sapphire","+1-828-743-1991","https://sapphirevalley.com/Red_Bird_Golf.php","127 Cherokee Trail, Sapphire, NC, 28774"
"Sapphire National Golf Club","NC","Sapphire","+1-828-743-1174","https://www.sapphirenational.com/","50 Slicers Avenue, Sapphire, NC, 28774"
"Wade Hampton Golf Club","NC","Cashiers","+1-828-743-5465","https://www.wadehamptongc.com/","68 Golf Drive, Cashiers, NC, 28717"
"Ayden Golf & Country Club","NC","Ayden","+1-252-746-3389","https://www.aydengolf.com/","4343 Ayden Golf Club Road, Ayden, NC, 28513"
"Brook Valley Country Club","NC","Greenville","","https://www.brookvalleycc.com/","311 Oxford Road, Greenville, NC, 27858"
"Greenville Country Club","NC","Greenville","+1-252-756-1237","https://www.greenvillecountryclub.com/","216 Country Club Drive, Greenville, NC, 27834"
"Maccripine Country Club","NC","Pinetops","+1-252-827-5636","http://www.maccripine.com/","1332 Maccripine Road, Pinetops, NC, 27864"
"Occoneechee Golf Club","NC","Hillsborough","+1-919-732-3435","https://www.occoneechee.com/","1500 Lawrence Road, Hillsborough, NC, 27278"
"New Bern Golf & Country Club","NC","New Bern","+1-252-637-4061","https://www.nbgcc.com/","4301 Country Club Road, New Bern, NC, 28562"
"The Farm","NC","Graham","+1 336 288 3415","https://www.greensborocc.org/","5121 Hedrick Drive, Greensboro, NC, 27410"
"Maple Chase Golf & Country Club","NC","Winston-Salem","","https://www.maplechasecc.com/",""
"Catawba Country Club","NC","Newton","+1-828-294-3727","https://www.catawbacc.org/","1154 Country Club Road, Newton, NC, 28658"
"Lakewood Golf Club","NC","Statesville","+1-704-873-6441","https://www.lakewoodgolfclub.net/","273 Old Airport Road, Statesville, NC, 28677"
"Statesville Country Club","NC","Statesville","+1-704-873-7240","https://statesvillecc.com/","635 Deauville Road, Statesville, NC, 28625"
"Linville Falls Golf Club","NC","Marion","+1-828-756-4653","https://www.linvillefallsgolfclub.com/","210 Blue Ridge Drive North, Marion, NC, 28752"
"Pilot Knob Park","NC","Pilot Mountain","+1-336-368-2828","https://www.pkpgolf.com/","450 Club House Drive, Pilot Mountain, NC, 27041"
"Asheboro Country Club","NC","Asheboro","+1-800-697-2143","https://www.asheborocc.com/","5105 Old Lexington Road, Asheboro, NC, 27205"
"Brevofield Golf Links","NC","Wake Forest","","",""
"Pine Valley Country Club","NC","Lasker","","",""
"Carolina Plantation Golf Club","NC","Lumberton","+1 910 738 9400","http://www.carolinaplantationgolfclub.com/","3811 Martin Luther King Jr Drive, Lumberton, NC, 28358"
"Pinecrest Country Club","NC","Lumberton","+1 910 738 6541","https://www.golfcoursesoni95.com/","110 Nigel Drive, Lumberton, NC, 28360"
"Scotch Meadows Country Club","NC","Laurinburg","+1 910 276 0169","https://www.scotchmeadowscountryclub.com/","8000 Tartan Drive, Laurinburg, NC, 28352"
"Dormie Club","NC","West End","+1 910 215 4587","http://www.dormieclub.com/","6033 Beulah Hill Church Road, West End, NC, 27376"
"Pinehurst Course No. 8","NC","Pinehurst","","https://www.pinehurst.com/golf/courses/no-8/",""
"Talamore Golf Club","NC","Southern Pines","+1 800 552 6292","https://talamoregolfresort.com/","48 Talamore Drive, Southern Pines, NC, 28387"
"Ryder Golf Course","NC","Fort Bragg","+1 910 907 4653","https://bragg.armymwr.com/us/bragg/programs/ryder-golf-course",""
"Carolina Lakes Golf Club","NC","Sanford","+1 919 499 5421","https://carolina-lakes.com","55 Carolina Lakes Road, Sanford, NC, 27332"
"Chicora Golf Club","NC","Dunn","+1 910 897 7366","https://www.chicoragolf.com/","495 Chicora Club Drive, Dunn, NC, 28334"
