"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Hillandale Golf Course","NC","Durham, NC","Blue","70.2","127","","","6425","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Hillandale Golf Course","NC","Durham, NC","White","68.2","124","73.8","131","6026","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Hillandale Golf Course","NC","Durham, NC","Gold","65.1","115","70","122","5395","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Hillandale Golf Course","NC","Durham, NC","Red","62.9","109","67.3","117","4823","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Hillandale Golf Course","NC","Durham, NC","Light Blue","60.3","92","61.5","102","3677","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Old Town Country Club","NC","NC","Black","74.5","140","","","7038","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","NC","Blue","72.5","134","","","6637","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","NC","White","70.3","131","","","6277","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","NC","White/Gold","68.4","127","","","5888","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","NC","Gold","66.3","124","","","5360","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","NC","Red","","","69.4","127","4955","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Forsyth Country Club","NC","NC","Black","72.8","136","","","6784","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","NC","Blue","71.4","133","","","6513","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","NC","White","69.6","127","75.8","139","6156","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","NC","Gold","67.1","120","72.5","130","5542","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","NC","Red","64.8","109","69.7","123","5038","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Duke University Golf Club","NC","NC","Blue Devil Tee","74.8","142","","","7154","4 4 4 3 4 4 5 3 5 4 5 3 4 5 3 4 4 4","4 6 10 18 12 8 2 14 16 11 13 15 9 17 5 7 1 3"
"Duke University Golf Club","NC","NC","Gold","73.4","139","79.8","151","6872","4 4 4 3 4 4 5 3 5 4 5 3 4 5 3 4 4 4","4 6 10 18 12 8 2 14 16 11 13 15 9 17 5 7 1 3"
"Duke University Golf Club","NC","NC","Blue","71.9","134","78.2","148","6562","4 4 4 3 4 4 5 3 5 4 5 3 4 5 3 4 4 4","4 6 10 18 12 8 2 14 16 11 13 15 9 17 5 7 1 3"
"Duke University Golf Club","NC","NC","Blue/White","70.8","131","76.9","145","6318","4 4 4 3 4 4 5 3 5 4 5 3 4 5 3 4 4 4","4 6 10 18 12 8 2 14 16 11 13 15 9 17 5 7 1 3"
"Duke University Golf Club","NC","NC","White","70.2","126","75.8","143","6127","4 4 4 3 4 4 5 3 5 4 5 3 4 5 3 4 4 4","4 6 10 18 12 8 2 14 16 11 13 15 9 17 5 7 1 3"
"Duke University Golf Club","NC","NC","White/Green","68.3","123","73.7","136","5709","4 4 4 3 4 4 5 3 5 4 5 3 4 5 3 4 4 4","4 6 10 18 12 8 2 14 16 11 13 15 9 17 5 7 1 3"
"Duke University Golf Club","NC","NC","Green","66.1","121","71.5","128","5288","4 4 4 3 4 4 5 3 5 4 5 3 4 5 3 4 4 4","4 6 10 18 12 8 2 14 16 11 13 15 9 17 5 7 1 3"
"Charlotte Country Club","NC","Charlotte, NC","Championship","75.9","146","","","7335","4 4 3 4 4 4 5 4 4 4 3 5 4 4 4 4 3 4","15 7 17 5 11 3 9 1 13 10 16 6 2 14 12 4 18 8"
"Charlotte Country Club","NC","Charlotte, NC","Back","73.2","140","","","6763","4 4 3 4 4 4 5 4 4 4 3 5 4 4 4 4 3 4","15 7 17 5 11 3 9 1 13 10 16 6 2 14 12 4 18 8"
