name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Lake Hickory Country Club,NC,Hickory,White/Blue,60.6,106,62.2,106,3846,4 4 4 3 3 3 3 3 3,
Lake Hickory Country Club,NC,Hickory,Red/Gold,59.2,96,59.3,99,3177,4 4 4 3 3 3 3 3 3,
Twin Oaks Golf Course,NC,Statesville,Blue,69.2,112,,,6368,,18 10 14 16 6 3 12 8 4 17 15 7 9 2 5 13 1 11
Twin Oaks Golf Course,NC,Statesville,White,67.0,106,,,5899,,18 10 14 16 6 3 12 8 4 17 15 7 9 2 5 13 1 11
Twin Oaks Golf Course,NC,Statesville,Red (W),70.2,114,70.2,114,,,18 10 14 16 6 3 12 8 4 17 15 7 9 2 5 13 1 11
Walnut Woods Golf Course,NC,Julian,Blue,71.6,130,,,6431,5 4 3 4 4 4 4 5 3 4 3 4 4 4 4 5 3 5,7 3 5 9 13 11 1 15 17 10 18 2 6 12 8 14 4 16
Birchwood Country Club,NC,Nashville,Blue,70.3,128,,,6462,5 3 4 4 5 4 4 4 3 4 4 3 4 5 4 5 3 4,6 12 8 18 14 4 16 2 10 7 3 9 13 5 11 17 15 1
Downback,NC,Fayetteville,Tourney Tees,72.6,143,,,6451,,11 17 13 5 1 3 9 15 7 8 6 14 4 18 2 12 10 16
Etowah Valley Golf & Resort,NC,Etowah,Back Tees,75.0,139,,,7121,4 5 4 4 3 5 4 4 3 4 4 4 4 3 5 4 3 5,5 15 11 1 13 9 7 3 17 2 6 4 10 16 18 8 14 12
Badin Inn Golf Club,NC,Albemarle,Gold,70.0,128,,,6345,,17 5 1 15 13 11 7 3 9 16 8 18 12 10 4 2 14 6
Bushy Mountain Golf Club,NC,Taylorsville,Blue,71.2,124,,,6560,5 4 4 4 3 4 4 3 5 4 3 5 4 4 3 4 5 4,11 7 1 15 17 3 5 13 9 8 14 4 6 2 16 18 12 10
Bushy Mountain Golf Club,NC,Taylorsville,White,68.7,114,,,5975,5 4 4 4 3 4 4 3 5 4 3 5 4 4 3 4 5 4,11 7 1 15 17 3 5 13 9 8 14 4 6 2 16 18 12 10
Bushy Mountain Golf Club,NC,Taylorsville,Red (W),68.0,114,68.0,114,,5 4 4 4 3 4 4 3 5 4 3 5 4 4 3 4 5 4,11 7 1 15 17 3 5 13 9 8 14 4 6 2 16 18 12 10
Sugar Mountain Golf Course,NC,Banner Elk,Back,63.0,113,,,4500,4 3 3 4 4 3 3 4 4 3 3 4 3 3 5 4 3 4,15 13 9 1 5 11 3 7 17 4 18 6 2 12 8 14 16 10
Sugar Mountain Golf Course,NC,Banner Elk,Middle,62.0,110,,,4071,4 3 3 4 4 3 3 4 4 3 3 4 3 3 5 4 3 4,15 13 9 1 5 11 3 7 17 4 18 6 2 12 8 14 16 10
Sugar Mountain Golf Course,NC,Banner Elk,Forward,60.0,107,,,3418,4 3 3 4 4 3 3 4 4 3 3 4 3 3 5 4 3 4,15 13 9 1 5 11 3 7 17 4 18 6 2 12 8 14 16 10
Tryon Country Club,NC,Tryon,Blue/Yellow (18-hole),70.5,127,,,6257,5 4 4 4 4 4 4 4 3,
Tryon Country Club,NC,Tryon,Green/Brown (18-hole),67.1,120,72.8,128,5653,5 4 4 4 4 4 4 4 3,
Tryon Country Club,NC,Tryon,White/Red (18-hole),65.9,114,71.1,125,5531,5 4 4 4 4 4 4 4 3,
Tryon Country Club,NC,Tryon,Forward/Yellow (18-hole),62.2,105,65.8,113,4363,5 4 4 4 4 4 4 4 3,
Tryon Country Club,NC,Tryon,Forward/Blue (18-hole),59.2,96,61.0,103,3609,5 4 4 4 4 4 4 4 3,
New River Country Club,NC,Twin Oaks,Blue,67.7,116,,,6011,4 5 4 3 4 5 4 4 3 4 3 4 4 5 3 4 5 3,17 11 5 15 1 13 9 3 7 2 10 12 16 18 14 6 4 8
New River Country Club,NC,Twin Oaks,White,66.6,114,,,5639,4 5 4 3 4 5 4 4 3 4 3 4 4 5 3 4 5 3,17 11 5 15 1 13 9 3 7 2 10 12 16 18 14 6 4 8
