"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Hillandale Golf Course","NC","Durham","Blue","69.7","126","","","6425","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Hillandale Golf Course","NC","Durham","White","68.2","123","73.6","132","6026","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Hillandale Golf Course","NC","Durham","Gold","64.4","112","69.2","122","5395","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Hillandale Golf Course","NC","Durham","Red","62.8","107","67.1","116","4823","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Hillandale Golf Course","NC","Durham","Light Blue","60","88","61.2","99","3677","4 5 4 3 4 4 3 4 4 4 4 4 4 5 3 4 3 5","13 9 1 15 17 5 11 7 3 4 6 12 2 18 10 14 8 16"
"Old Town Country Club","NC","Winston-Salem","Black","74.4","138","","","6931","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","Black/Blue","73.4","137","","","6782","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","Blue","72.6","136","","","6595","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","Blue/White","71.4","134","","","6397","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","White","70.5","132","76.8","144","6236","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","White/Gold","68.2","127","","","5778","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","Gold","66.2","123","71.7","133","5322","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","Red","64.4","120","69.3","130","4938","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","Red/Family","62.1","109","65.3","119","4290","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Old Town Country Club","NC","Winston-Salem","Family","60.2","101","61.8","107","3679","4 3 4 5 4 3 4 4 4 4 3 4 4 4 3 4 5 4","5 17 9 1 11 15 3 13 7 10 18 4 6 14 16 12 2 8"
"Forsyth Country Club","NC","Winston-Salem","Red","72.4","134","","","6790","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","Red/Black","71.6","133","","","6591","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","Black","71.3","131","","","6513","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","Black/Blue","70.6","130","","","6317","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","Blue","69.9","128","76.2","135","6156","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","Blue/White","68.3","126","74","129","5765","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","White","67.2","123","72.6","127","5542","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","White/Green","65.9","116","70.8","124","5217","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","Green","65.2","113","69.7","122","5041","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","Green/Bronze","63.8","111","68","118","4676","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Forsyth Country Club","NC","Winston-Salem","Bronze","62.9","110","66.7","114","4439","4 4 3 4 5 4 3 5 4 4 3 4 4 3 5 4 4 4","11 13 17 9 5 1 15 3 7 14 16 6 12 18 4 2 8 10"
"Highland Country Club","NC","Fayetteville","Gold","72.4","130","","","6732","4 4 3 5 4 5 4 3 4 4 3 4 4 5 3 4 5 4","9 17 11 13 5 3 7 15 1 10 12 8 14 6 18 4 16 2"
"Highland Country Club","NC","Fayetteville","Blue","69.8","125","","","6228","4 4 3 5 4 5 4 3 4 4 3 4 4 5 3 4 5 4","9 17 11 13 5 3 7 15 1 10 12 8 14 6 18 4 16 2"
"Highland Country Club","NC","Fayetteville","White","67.9","119","74","128","5777","4 4 3 5 4 5 4 3 4 4 3 4 4 5 3 4 5 4","9 17 11 13 5 3 7 15 1 10 12 8 14 6 18 4 16 2"
"Highland Country Club","NC","Fayetteville","Green","66.2","113","71.8","121","5437","4 4 3 5 4 5 4 3 4 4 3 4 4 5 3 4 5 4","9 17 11 13 5 3 7 15 1 10 12 8 14 6 18 4 16 2"
