"name","state","city","reason"
"Challenger 3 Golf Course","NC","Shelby","no-card"
"Knight's Play Golf Center","NC","Apex","no-card"
"Azalea","NC","Pinehurst","9-hole"
"Knollwood Fairways","NC","Southern Pines","9-hole"
"Pebble Creek Golf Golf Course","NC","Indian Trail","no-card"
"Par 3 Golf Course","NC","Elizabeth City","no-card"
"The Cradle","NC","Pinehurst","9-hole"
"Knobbs Creek Golf Course","NC","Elizabeth City","9-hole"
"Paradise Valley","NC","Charlotte","par3-short"
"The Golf Village","NC","Pineville","no-card"
"Par 3 Course","NC","Elizabeth City","no-card"
"Tanglewood Par 3 Course","NC","Clemmons","no-card"
"Whiteville Country Club","NC","Whiteville","9-hole"
"Lake Hickory Country Club","NC","Hickory","9-hole"
"Asheboro Municipal Golf Course","NC","Asheboro","9-hole"
"Foothills Course","NC","Chapel Hill","9-hole"
"Pennrose Park Country Club","NC","Reidsville","9-hole"
"High Point Country Club","NC","High Point","9-hole"
"Sugar Mountain Golf Course","NC","Banner Elk","short-exec"
"Warrenton Golf Club","NC","Warrenton","9-hole"
"Tryon Country Club","NC","Tryon","9-hole"
"Paschal Golf Club","NC","Wake Forest","9-hole"
"Plymouth Country Club","NC","Plymouth","9-hole"
"Forest City Municipal Golf Course","NC","Forest City","9-hole"
"Dr. Charles L. Sifford Golf Course","NC","Charlotte","9-hole"
"Peachtree Hills Country Club","NC","Spring Hope","9-hole"
"Gillespie Golf Course","NC","Greensboro","9-hole"
"Midland Country Club","NC","Pinehurst","9-hole"
"Orange Course","NC","Buies Creek","9-hole"
"Royster Memorial Golf Course","NC","Shelby","9-hole"
"Heather Hills Golf Course","NC","Winston-Salem","short-exec"
