name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Passaconaway Country Club,NH,Litchfield,Blue,73.0,132,,,6855,4 4 4 3 5 4 4 4 4 5 3 4 3 5 4 4 3 4,11 9 3 15 1 7 13 5 17 4 18 8 16 2 6 10 14 12
Passaconaway Country Club,NH,Litchfield,White,71.0,128,,,6462,4 4 4 3 5 4 4 4 4 5 3 4 3 5 4 4 3 4,11 9 3 15 1 7 13 5 17 4 18 8 16 2 6 10 14 12
Passaconaway Country Club,NH,Litchfield,Green,67.6,119,,,6017,4 4 4 3 5 4 4 4 4 5 3 4 3 5 4 4 3 4,11 9 3 15 1 7 13 5 17 4 18 8 16 2 6 10 14 12
Passaconaway Country Club,NH,Litchfield,Red (W),70.3,118,70.3,118,,4 4 4 3 5 4 4 4 4 5 3 4 3 5 4 4 3 4,11 9 3 15 1 7 13 5 17 4 18 8 16 2 6 10 14 12
Exeter Country Club,NH,Exeter,Blue/White (18-hole),68.9,114,,,5522,4 3 5 4 4 4 4 3 4,
Exeter Country Club,NH,Exeter,Red/Gold (18-hole),70.1,117,,,5157,4 3 5 4 4 4 4 3 4,
Manchester Country Club,NH,Bedford,Championship,73.0,136,,,6833,4 5 3 4 3 4 4 4 5 4 5 4 3 4 4 3 4 4,2 12 14 8 16 18 4 10 6 11 5 3 17 7 13 15 1 9
Manchester Country Club,NH,Bedford,Blue,71.3,132,,,6510,4 5 3 4 3 4 4 4 5 4 5 4 3 4 4 3 4 4,2 12 14 8 16 18 4 10 6 11 5 3 17 7 13 15 1 9
Manchester Country Club,NH,Bedford,White,70.0,128,,,6221,4 5 3 4 3 4 4 4 5 4 5 4 3 4 4 3 4 4,2 12 14 8 16 18 4 10 6 11 5 3 17 7 13 15 1 9
Manchester Country Club,NH,Bedford,Green,66.9,120,72.6,132,5463,4 5 3 4 3 4 4 4 5 4 5 4 3 4 4 3 4 4,2 12 14 8 16 18 4 10 6 11 5 3 17 7 13 15 1 9
Manchester Country Club,NH,Bedford,Yellow,63.0,108,69.3,123,4740,4 5 3 4 3 4 4 4 5 4 5 4 3 4 4 3 4 4,2 12 14 8 16 18 4 10 6 11 5 3 17 7 13 15 1 9
Londonderry Country Club,NH,Londonderry,White,60.4,102,61.2,101,3810,3 3 4 4 3 3 3 3 3 3 3 4 4 4 4 4 4 3,2 4 6 16 18 14 8 12 10 3 13 11 7 9 17 1 5 15
Londonderry Country Club,NH,Londonderry,Red (W),58.5,92,58.5,92,,3 3 4 4 3 3 3 3 3 3 3 4 4 4 4 4 4 3,2 4 6 16 18 14 8 12 10 3 13 11 7 9 17 1 5 15
Windham Country Club,NH,Windham,Gold,71.2,135,,,6442,5 4 3 4 5 3 4 4 3 4 4 5 4 3 5 4 4 4,5 7 13 11 3 17 9 1 15 18 6 4 14 16 8 2 12 10
Windham Country Club,NH,Windham,Blue,69.1,129,74.0,134,6033,5 4 3 4 5 3 4 4 3 4 4 5 4 3 5 4 4 4,5 7 13 11 3 17 9 1 15 18 6 4 14 16 8 2 12 10
Windham Country Club,NH,Windham,White,67.4,122,71.7,129,5584,5 4 3 4 5 3 4 4 3 4 4 5 4 3 5 4 4 4,5 7 13 11 3 17 9 1 15 18 6 4 14 16 8 2 12 10
Windham Country Club,NH,Windham,Red (W),70.6,128,70.6,128,,5 4 3 4 5 3 4 4 3 4 4 5 4 3 5 4 4 4,5 7 13 11 3 17 9 1 15 18 6 4 14 16 8 2 12 10
Nashua Country Club,NH,Nashua,Blue,70.5,126,,,6446,4 5 4 4 4 3 5 3 4 4 5 4 3 3 4 4 4 4,5 9 11 15 1 17 7 13 3 14 6 12 16 10 18 8 2 4
Nashua Country Club,NH,Nashua,White,68.6,125,74.1,132,5985,4 5 4 4 4 3 5 3 4 4 5 4 3 3 4 4 4 4,5 9 11 15 1 17 7 13 3 14 6 12 16 10 18 8 2 4
