name,state,city
Sebonack Golf Course,NY,Southampton
National Golf Links of America,NY,Southampton
Baiting Hallow Golf Club,NY,Baiting Hollow
Bethpage State Park Golf Courses,NY,Old Bethpage
Hempstead Golf and Country Club,NY,Hempstead
Town of Oyster Bay Public Golf Course,NY,Woodbury
North Woodmere Golf Course,NY,North Woodmere
The Seawane Club,NY,Hewlett Harbor
Fishkill Golf Course,NY,Fishkill
Dutchess Golf Club,NY,Spackenkill
Craig Wood Golf & Country Club,NY,Lake Placid
The Woodside Club,NY,Syosset
St. Georges Golf and Country Club,NY,East Setauket
Rockland Country Club,NY,Sparkill
Broadacres Golf Club,NY,Orangeburg
Manhattan Woods Golf Club,NY,West Nyack
Minisceongo Golf Club,NY,Pomona
Richmond County Country Club,NY,Staten Island
Silver Lake Golf Course,NY,Staten Island
South Shore Golf Course,NY,Staten Island
Park Country Club,NY,Williamsville
Brentwood Country Club,NY,Brentwood
Timber Point Golf Course,NY,Great River
Holbrook Country Club,NY,Holbrook
Bellport Country Club,NY,Bellport
Island Hills Country Club,NY,Sayville
West Sayville Golf Course,NY,West Sayville
Smithtown Landing Golf Course,NY,Smithtown
Indian Hills Country Club,NY,Northport
Crab Meadow Golf Course,NY,Northport
Spring Lake Golf Club,NY,Middle Island
North Shore Country Club,NY,Glen Head
Huntington Country Club,NY,Huntington
New York Country Club,NY,New Hempstead
Phillip J. Rotella Memorial Golf Course,NY,Thiells
Lake Success Golf Club,NY,Lake Success
Lido Golf Club,NY,Lido Beach
Schenectady Stadium Country Club,NY,Schenectady
Town of Colonie Golf Course: Blue Course,NY,Niskayuna
Town of Colonie Golf Course: White Course,NY,Schenectady
Town of Colonie Golf Course: Red Course,NY,Schenectady
Town of Colonie Golf Course: Green Course,NY,Niskayuna
Engineers Country Club,NY,Roslyn Harbor
East Hampton Golf Club,NY,East Hampton
Heartland Golf Park,NY,Edgewood
Pine Hollow Country Club,NY,East Norwich
Tam O'Shanter Country Club,NY,Brookville
Glen Head Country Club,NY,Glen Head
Sumpwams Creek Golf Course,NY,Babylon
Diamond Hawk Golf Course,NY,Cheektowaga
Capital Hills at Albany,NY,Albany
Normanside Country Club,NY,Delmar
Fox Valley Country Club,NY,Lancaster
Peninsula Golf Club,NY,Massapequa
River Oaks Golf Club,NY,Grand Island
Brookville Country Club,NY,Glen Head
Niagara-Orleans County Club,NY,Gasport
Bellevue Golf and Country Club,NY,Syracuse
Buffalo Tournament Club,NY,Lancaster
Saratoga National Golf Course,NY,Saratoga Springs
Van Schaick Island Country Club,NY,Cohoes
Battenkill Country Club,NY,Greenwich
Windy Hills Golf Course,NY,Greenwich
Westport Country Club,NY,Westport
Fenway Golf Club,NY,Scarsdale
Quaker Ridge Golf Club,NY,Scarsdale
Bonnie Briar Country Club,NY,Larchmont
Leewood Golf Club,NY,Eastchester
Lake Isle Country Club,NY,Eastchester
Siwanoy Country Club,NY,Bronxville
Scarsdale Country Club,NY,Hartsdale
Sunningdale Country Club,NY,Scarsdale
Harrison Meadows Country Club,NY,Harrison
Saxon Woods Golf Course,NY,Scarsdale
Hampshire Country Club,NY,Mamaroneck
Saranac Inn Golf and Country Club,NY,Saranac Lake
Galway Golf Course,NY,Galway
Pioneer Hills Golf Course,NY,Ballston Spa
Amsterdam Municipal Golf Course,NY,Amsterdam
Saratoga Golf & Polo Club,NY,Saratoga Springs
Saratoga Spa State Park Golf Course,NY,Saratoga Springs
Twin Ponds Golf & Country Club,NY,New York Mills
Corning Country Club,NY,Corning
Sonyea Golf Course,NY,Sonyea
Transit Valley County Club,NY,East Amherst
Onondaga Country Club,NY,Fayetteville
Skaneateles Country Club,NY,Skaneateles
Atunyote at Turning Stone,NY,Vernon
Yahnundasis Golf Club,NY,New Hartford
Tee-Bird Country Club - North,NY,Fort Edward
Rip Van Winkle Country Club,NY,Palenville
18 Mile Creek Golf Course,NY,Hamburg
Sullivan County Golf Club,NY,Liberty
Lochmor Golf Course,NY,Loch Sheldrake
Monster Golf Club,NY,Monticello
Grossinger Country Club,NY,Liberty
Inness Golf Course,NY,Accord
Warwick Valley Country Club,NY,Warwick
The Barracks Golf Course,NY,Plattsburgh
Watkins Glen Golf Club,NY,Watkins Glen
Inlet Golf Club,NY,Inlet
North Country Golf Club,NY,Rouses Point
Bedford Creek Golf Course,NY,Sackets Harbor
Radisson Greens,NY,Baldwinsville
Battle Island State Park Golf Course,NY,Minetto
Oakwood Golf Course,NY,Amherst
Woodstock Golf Club,NY,Woodstock
Green Acres Golf Club,NY,Kingston
Patriot Hills Golf Club,NY,Stony Point
West Point Golf Course,NY,West Point
Endwell Greens,NY,Endicott
Orchard Vali,NY,La Fayette
Canandaigua Country Club,NY,Canandaigua
Orchard Park Country Club,NY,Orchard Park
Harvest Hill Golf Club,NY,Orchard Park
Chenango Valley State Park Golf Course,NY,Chenango Forks
Mcconnellsville Golf Club,NY,McConnellsville
Big Oak Public Golf Course,NY,Geneva
Whiteface Club & Resort Golf Course,NY,Lake Placid
Town of Schroon Lake Golf Club,NY,Schroon Lake
St Bonaventure Golf Club,NY,St. Bonaventure
Bemus Point Golf Club,NY,Bemus Point
Breezewood Links,NY,Falconer
Cassadaga Lakes Golf Club,NY,Cassadaga
Chautauqua Point,NY,Dewittville
Maplehurst Country Club,NY,Lakewood
Peek'n Peak Resort,NY,Findley Lake
South Hills Country Club,NY,Jamestown
Sugar Hill Golf Course,NY,Westfield
Timber Creek Golf Course,NY,Ashville
Tri-County Country Club,NY,Forestville
Willow Run Golf Course,NY,Mayville
Saranac Lake Golf Course,NY,Ray Brook
Hickory Ridge C.C.,NY,Holley
Sodus Bay Heights Golf Club,NY,Sodus Point
Seneca Hickory Stick Golf Course,NY,Lewiston
Crag Burn Golf Club,NY,East Aurora
Tuscarora Golf Club,NY,Marcellus
Highland Park Golf Course,NY,Auburn
Oneida Community Golf Club,NY,Oneida
Camroden Golf Course,NY,Rome
Casolwood Golf Course,NY,Canastota
Rogues Roost,NY,Chittenango
Geneva Country Club,NY,Geneva
Soaring Eagles Golf Course,NY,Horseheads
Elmira Country Club,NY,Elmira
Evergreen Hills Golf Course,NY,Oswego
Oak Run Golf Club,NY,Lockport
Genegantslet Golf Club,NY,Greene
Hollybrook Country Club,NY,Spencer
Mohawk Glen Golf Course,NY,Rome
McGregor Links,NY,Saratoga Springs
Airway Meadows Golf Club,NY,Gansevoort
Mechanicville Golf Club,NY,Mechanicville
Hyde Park Municipal Golf Course,NY,Niagara Falls
Newfane Pro-Am,NY,Newfane
