name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Kissena Golf Course,NY,Flushing,Blue,62.0,94,,,4665,4 4 4 3 3 4 3 4 3 3 4 3 4 3 4 3 4 4,15 1 5 17 13 11 7 9 3 16 6 8 14 4 10 18 2 12
Kissena Golf Course,NY,Flushing,White,60.9,93,,,4389,4 4 4 3 3 4 3 4 3 3 4 3 4 3 4 3 4 4,15 1 5 17 13 11 7 9 3 16 6 8 14 4 10 18 2 12
Kissena Golf Course,NY,Flushing,Red (W),60.7,92,60.7,92,,4 4 4 3 3 4 3 4 3 3 4 3 4 3 4 3 4 4,15 1 5 17 13 11 7 9 3 16 6 8 14 4 10 18 2 12
Sebonack Golf Course,NY,Southampton,Black,77.1,151,,,7220,,15 1 5 13 17 7 3 11 9 14 2 18 6 10 8 4 16 12
Sebonack Golf Course,NY,Southampton,Blue,74.4,145,,,6717,,15 1 5 13 17 7 3 11 9 14 2 18 6 10 8 4 16 12
Sebonack Golf Course,NY,Southampton,White,72.2,140,78.7,145,6164,,15 1 5 13 17 7 3 11 9 14 2 18 6 10 8 4 16 12
Sebonack Golf Course,NY,Southampton,Red (W),69.8,125,69.8,125,,,15 1 5 13 17 7 3 11 9 14 2 18 6 10 8 4 16 12
National Golf Links of America,NY,Southampton,Black,74.3,141,,,6873,4 4 4 3 4 3 5 4 5 4 4 4 3 4 4 4 4 5,11 15 1 13 3 17 9 5 7 4 10 2 18 12 6 14 16 8
National Golf Links of America,NY,Southampton,White,72.7,137,,,6425,4 4 4 3 4 3 5 4 5 4 4 4 3 4 4 4 4 5,11 15 1 13 3 17 9 5 7 4 10 2 18 12 6 14 16 8
National Golf Links of America,NY,Southampton,Green,69.9,131,73.3,135,5817,4 4 4 3 4 3 5 4 5 4 4 4 3 4 4 4 4 5,11 15 1 13 3 17 9 5 7 4 10 2 18 12 6 14 16 8
Baiting Hallow Golf Club,NY,Baiting Hollow,Blue,72.8,137,,,6591,,9 1 11 5 7 3 17 15 13 10 8 6 18 2 4 16 14 12
Bethpage State Park Golf Courses,NY,Old Bethpage,Championship,74.4,133,,,7092,4 4 4 3 5 4 3 4 4 4 4 3 4 4 4 5 3 4,3 7 13 15 5 9 17 11 1 12 14 16 8 4 2 6 18 10
Bethpage State Park Golf Courses,NY,Old Bethpage,Regulation,71.9,127,,,6555,4 4 4 3 5 4 3 4 4 4 4 3 4 4 4 5 3 4,3 7 13 15 5 9 17 11 1 12 14 16 8 4 2 6 18 10
Bethpage State Park Golf Courses,NY,Old Bethpage,Forward,69.2,120,,,5777,4 4 4 3 5 4 3 4 4 4 4 3 4 4 4 5 3 4,3 7 13 15 5 9 17 11 1 12 14 16 8 4 2 6 18 10
Hempstead Golf and Country Club,NY,Hempstead,Black,72.1,131,,,6663,4 4 5 4 4 4 4 3 4 3 4 4 5 4 5 4 3 4,17 7 9 5 11 1 3 15 13 10 4 16 6 8 2 14 18 12
Hempstead Golf and Country Club,NY,Hempstead,Blue,70.9,128,77.1,136,6420,4 4 5 4 4 4 4 3 4 3 4 4 5 4 5 4 3 4,17 7 9 5 11 1 3 15 13 10 4 16 6 8 2 14 18 12
Hempstead Golf and Country Club,NY,Hempstead,White,69.0,124,74.6,132,6006,4 4 5 4 4 4 4 3 4 3 4 4 5 4 5 4 3 4,17 7 9 5 11 1 3 15 13 10 4 16 6 8 2 14 18 12
Hempstead Golf and Country Club,NY,Hempstead,Red (W),74.0,131,74.0,131,,4 4 5 4 4 4 4 3 4 3 4 4 5 4 5 4 3 4,17 7 9 5 11 1 3 15 13 10 4 16 6 8 2 14 18 12
Town of Oyster Bay Public Golf Course,NY,Woodbury,Blue,71.5,131,,,6376,4 5 3 4 4 3 4 3 4 4 4 3 4 5 4 4 4 4,13 5 17 1 7 15 3 9 11 14 16 18 8 12 10 4 2 6
Town of Oyster Bay Public Golf Course,NY,Woodbury,White,69.0,126,73.4,128,5813,4 5 3 4 4 3 4 3 4 4 4 3 4 5 4 4 4 4,13 5 17 1 7 15 3 9 11 14 16 18 8 12 10 4 2 6
Town of Oyster Bay Public Golf Course,NY,Woodbury,Yellow (W),68.0,112,68.0,112,,4 5 3 4 4 3 4 3 4 4 4 3 4 5 4 4 4 4,13 5 17 1 7 15 3 9 11 14 16 18 8 12 10 4 2 6
Douglaston Golf Course,NY,Queens,Black,65.5,110,,,5469,4 3 4 4 3 4 5 4 3 4 4 3 4 4 3 3 3 5,11 15 5 1 17 3 9 7 13 8 10 16 6 4 12 14 18 2
Douglaston Golf Course,NY,Queens,Blue,63.7,108,,,5071,4 3 4 4 3 4 5 4 3 4 4 3 4 4 3 3 3 5,11 15 5 1 17 3 9 7 13 8 10 16 6 4 12 14 18 2
Douglaston Golf Course,NY,Queens,Red (W),62.1,106,62.1,106,,4 3 4 4 3 4 5 4 3 4 4 3 4 4 3 3 3 5,11 15 5 1 17 3 9 7 13 8 10 16 6 4 12 14 18 2
The Seawane Club,NY,Hewlett Harbor,Black,74.7,145,,,6725,4 4 4 4 3 5 4 3 5 4 3 4 4 3 5 4 5 4,8 4 10 16 14 12 2 18 6 9 13 17 3 15 1 5 11 7
The Seawane Club,NY,Hewlett Harbor,Blue,73.1,143,,,6388,4 4 4 4 3 5 4 3 5 4 3 4 4 3 5 4 5 4,8 4 10 16 14 12 2 18 6 9 13 17 3 15 1 5 11 7
The Seawane Club,NY,Hewlett Harbor,White,72.1,139,,,6113,4 4 4 4 3 5 4 3 5 4 3 4 4 3 5 4 5 4,8 4 10 16 14 12 2 18 6 9 13 17 3 15 1 5 11 7
The Seawane Club,NY,Hewlett Harbor,Gold,69.0,129,,,5582,4 4 4 4 3 5 4 3 5 4 3 4 4 3 5 4 5 4,8 4 10 16 14 12 2 18 6 9 13 17 3 15 1 5 11 7
The Seawane Club,NY,Hewlett Harbor,Red (W),71.8,126,71.8,126,,4 4 4 4 3 5 4 3 5 4 3 4 4 3 5 4 5 4,8 4 10 16 14 12 2 18 6 9 13 17 3 15 1 5 11 7
Dutchess Golf Club,NY,Spackenkill,Blue,71.7,132,,,6475,4 4 4 4 5 3 4 3 4 4 4 5 3 4 3 4 4 4,11 15 13 5 3 9 1 17 7 8 4 10 18 2 14 6 12 16
Casperkill Golf Club,NY,Poughkeepsie,Blue,72.4,130,,,6690,5 4 3 4 5 4 4 3 4 5 4 3 4 4 4 3 4 5,9 1 7 13 15 17 3 11 5 6 2 14 4 12 8 18 10 16
Casperkill Golf Club,NY,Poughkeepsie,White,69.9,125,,,6153,5 4 3 4 5 4 4 3 4 5 4 3 4 4 4 3 4 5,9 1 7 13 15 17 3 11 5 6 2 14 4 12 8 18 10 16
Casperkill Golf Club,NY,Poughkeepsie,Red (W),67.9,117,67.9,117,,5 4 3 4 5 4 4 3 4 5 4 3 4 4 4 3 4 5,9 1 7 13 15 17 3 11 5 6 2 14 4 12 8 18 10 16
Craig Wood Golf & Country Club,NY,Lake Placid,Blue,71.8,128,,,6853,5 3 4 3 4 5 4 4 5 4 4 4 3 4 4 5 3 4,7 11 9 15 3 13 5 1 17 18 10 12 14 2 6 8 16 4
Craig Wood Golf & Country Club,NY,Lake Placid,White,70.3,126,,,6554,5 3 4 3 4 5 4 4 5 4 4 4 3 4 4 5 3 4,7 11 9 15 3 13 5 1 17 18 10 12 14 2 6 8 16 4
Craig Wood Golf & Country Club,NY,Lake Placid,Gold,67.7,122,,,5731,5 3 4 3 4 5 4 4 5 4 4 4 3 4 4 5 3 4,7 11 9 15 3 13 5 1 17 18 10 12 14 2 6 8 16 4
Craig Wood Golf & Country Club,NY,Lake Placid,Red (W),70.6,118,70.6,118,,5 3 4 3 4 5 4 4 5 4 4 4 3 4 4 5 3 4,7 11 9 15 3 13 5 1 17 18 10 12 14 2 6 8 16 4
The Woodside Club,NY,Syosset,Blue,71.9,141,,,6520,4 5 3 4 5 4 4 3 4 4 4 4 5 3 4 5 3 4,3 11 17 1 13 15 7 9 5 8 16 2 10 18 12 4 14 6
The Woodside Club,NY,Syosset,White,69.9,138,75.3,134,6112,4 5 3 4 5 4 4 3 4 4 4 4 5 3 4 5 3 4,3 11 17 1 13 15 7 9 5 8 16 2 10 18 12 4 14 6
The Woodside Club,NY,Syosset,Green,68.4,133,,,5812,4 5 3 4 5 4 4 3 4 4 4 4 5 3 4 5 3 4,3 11 17 1 13 15 7 9 5 8 16 2 10 18 12 4 14 6
The Woodside Club,NY,Syosset,Gold,67.3,130,73.0,122,5574,4 5 3 4 5 4 4 3 4 4 4 4 5 3 4 5 3 4,3 11 17 1 13 15 7 9 5 8 16 2 10 18 12 4 14 6
The Woodside Club,NY,Syosset,Red (W),70.8,118,70.8,118,,4 5 3 4 5 4 4 3 4 4 4 4 5 3 4 5 3 4,3 11 17 1 13 15 7 9 5 8 16 2 10 18 12 4 14 6
The Woodside Club,NY,Syosset,Purple (W),68.7,119,68.7,119,,4 5 3 4 5 4 4 3 4 4 4 4 5 3 4 5 3 4,3 11 17 1 13 15 7 9 5 8 16 2 10 18 12 4 14 6
St. Georges Golf and Country Club,NY,East Setauket,Blue,70.4,128,,,6232,4 5 4 4 4 5 3 4 3 4 3 4 4 4 3 4 3 5,9 1 7 3 11 13 15 5 17 10 12 4 2 8 16 14 18 6
St. Georges Golf and Country Club,NY,East Setauket,White,67.4,125,,,5551,4 5 4 4 4 5 3 4 3 4 3 4 4 4 3 4 3 5,9 1 7 3 11 13 15 5 17 10 12 4 2 8 16 14 18 6
St. Georges Golf and Country Club,NY,East Setauket,Red (W),71.8,126,71.8,126,,4 5 4 4 4 5 3 4 3 4 3 4 4 4 3 4 3 5,9 1 7 3 11 13 15 5 17 10 12 4 2 8 16 14 18 6
Rockland Country Club,NY,Sparkill,Black,73.5,141,,,6703,,11 13 17 5 1 3 7 15 9 16 6 2 4 10 18 12 8 14
Rockland Country Club,NY,Sparkill,Blue,71.8,137,,,6352,,11 13 17 5 1 3 7 15 9 16 6 2 4 10 18 12 8 14
Rockland Country Club,NY,Sparkill,White,69.8,134,,,6001,,11 13 17 5 1 3 7 15 9 16 6 2 4 10 18 12 8 14
Rockland Country Club,NY,Sparkill,Green,68.8,125,72.3,130,5635,,11 13 17 5 1 3 7 15 9 16 6 2 4 10 18 12 8 14
Rockland Country Club,NY,Sparkill,Yellow,69.6,119,,,5062,,11 13 17 5 1 3 7 15 9 16 6 2 4 10 18 12 8 14
Manhattan Woods Golf Club,NY,West Nyack,Black,76.0,153,,,7109,4 4 5 3 4 4 3 5 4 4 4 3 5 4 5 4 3 4,9 11 5 15 1 13 17 7 3 10 12 18 4 2 14 8 16 6
Manhattan Woods Golf Club,NY,West Nyack,Gold,74.1,145,,,6789,4 4 5 3 4 4 3 5 4 4 4 3 5 4 5 4 3 4,9 11 5 15 1 13 17 7 3 10 12 18 4 2 14 8 16 6
Manhattan Woods Golf Club,NY,West Nyack,Blue,72.2,141,,,6381,4 4 5 3 4 4 3 5 4 4 4 3 5 4 5 4 3 4,9 11 5 15 1 13 17 7 3 10 12 18 4 2 14 8 16 6
Manhattan Woods Golf Club,NY,West Nyack,White,69.1,136,75.1,137,5751,4 4 5 3 4 4 3 5 4 4 4 3 5 4 5 4 3 4,9 11 5 15 1 13 17 7 3 10 12 18 4 2 14 8 16 6
Manhattan Woods Golf Club,NY,West Nyack,Jade (W),70.7,132,70.7,132,,4 4 5 3 4 4 3 5 4 4 4 3 5 4 5 4 3 4,9 11 5 15 1 13 17 7 3 10 12 18 4 2 14 8 16 6
Minisceongo Golf Club,NY,Pomona,Black,74.5,148,,,7029,4 3 4 5 4 5 4 3 4 4 3 4 4 3 5 4 4 5,13 17 1 3 7 5 11 15 9 8 14 16 4 18 2 10 6 12
Richmond County Country Club,NY,Staten Island,Black,72.4,137,,,6559,4 4 3 4 3 4 5 4 4 5 4 4 3 4 4 4 4 5,18 6 12 10 8 2 16 14 4 5 11 17 15 1 9 13 7 3
Richmond County Country Club,NY,Staten Island,Maroon,70.9,134,77.2,142,6254,4 4 3 4 3 4 5 4 4 5 4 4 3 4 4 4 4 5,18 6 12 10 8 2 16 14 4 5 11 17 15 1 9 13 7 3
Richmond County Country Club,NY,Staten Island,Gold,67.7,124,73.8,132,5643,4 4 3 4 3 4 5 4 4 5 4 4 3 4 4 4 4 5,18 6 12 10 8 2 16 14 4 5 11 17 15 1 9 13 7 3
Richmond County Country Club,NY,Staten Island,Silver,65.8,122,71.2,127,5230,4 4 3 4 3 4 5 4 4 5 4 4 3 4 4 4 4 5,18 6 12 10 8 2 16 14 4 5 11 17 15 1 9 13 7 3
South Shore Golf Course,NY,Staten Island,Blue,71.3,119,,,6362,4 3 4 4 3 4 4 4 5 4 3 5 4 3 5 4 5 4,10 12 16 14 2 18 4 6 8 7 13 15 9 1 17 3 11 5
South Shore Golf Course,NY,Staten Island,White,70.6,115,,,6002,4 3 4 4 3 4 4 4 5 4 3 5 4 3 5 4 5 4,10 12 16 14 2 18 4 6 8 7 13 15 9 1 17 3 11 5
South Shore Golf Course,NY,Staten Island,Red (W),72.2,119,72.2,119,,4 3 4 4 3 4 4 4 5 4 3 5 4 3 5 4 5 4,10 12 16 14 2 18 4 6 8 7 13 15 9 1 17 3 11 5
Park Country Club,NY,Williamsville,Black,72.8,127,,,6908,5 4 4 4 3 4 4 3 5 3 5 4 3 4 4 4 4 4,16 4 14 6 8 2 12 18 10 13 15 3 17 11 9 1 7 5
Park Country Club,NY,Williamsville,Blue,70.9,125,,,6507,5 4 4 4 3 4 4 3 5 3 5 4 3 4 4 4 4 4,16 4 14 6 8 2 12 18 10 13 15 3 17 11 9 1 7 5
Park Country Club,NY,Williamsville,White,69.2,123,,,6265,5 4 4 4 3 4 4 3 5 3 5 4 3 4 4 4 4 4,16 4 14 6 8 2 12 18 10 13 15 3 17 11 9 1 7 5
Park Country Club,NY,Williamsville,Gold,67.4,116,72.4,125,5824,5 4 4 4 3 4 4 3 5 3 5 4 3 4 4 4 4 4,16 4 14 6 8 2 12 18 10 13 15 3 17 11 9 1 7 5
Park Country Club,NY,Williamsville,Red (W),71.2,123,71.2,123,,5 4 4 4 3 4 4 3 5 3 5 4 3 4 4 4 4 4,16 4 14 6 8 2 12 18 10 13 15 3 17 11 9 1 7 5
Brentwood Country Club,NY,Brentwood,Championship,69.3,124,,,6173,5 4 3 5 3 4 4 4 4 4 4 4 4 3 4 4 5 4,6 2 14 8 16 4 10 18 12 13 11 5 9 15 1 17 3 7
Brentwood Country Club,NY,Brentwood,Middle,67.5,121,,,5835,5 4 3 5 3 4 4 4 4 4 4 4 4 3 4 4 5 4,6 2 14 8 16 4 10 18 12 13 11 5 9 15 1 17 3 7
Brentwood Country Club,NY,Brentwood,Forward (W),68.8,114,68.8,114,,5 4 3 5 3 4 4 4 4 4 4 4 4 3 4 4 5 4,6 2 14 8 16 4 10 18 12 13 11 5 9 15 1 17 3 7
Holbrook Country Club,NY,Holbrook,Championship,70.0,128,,,6250,,7 13 17 3 1 15 5 11 9 2 18 4 14 12 8 16 10 6
Holbrook Country Club,NY,Holbrook,Middle,68.7,121,,,5978,,7 13 17 3 1 15 5 11 9 2 18 4 14 12 8 16 10 6
Holbrook Country Club,NY,Holbrook,Forward (W),66.4,108,66.4,108,,,7 13 17 3 1 15 5 11 9 2 18 4 14 12 8 16 10 6
Bellport Country Club,NY,Bellport,Black,71.4,132,,,6329,,3 13 17 11 15 5 7 1 9 18 16 6 10 12 2 8 4 14
Bellport Country Club,NY,Bellport,Blue,70.1,131,,,6011,,3 13 17 11 15 5 7 1 9 18 16 6 10 12 2 8 4 14
Bellport Country Club,NY,Bellport,White,67.7,129,,,5539,,3 13 17 11 15 5 7 1 9 18 16 6 10 12 2 8 4 14
Bellport Country Club,NY,Bellport,Red (W),69.6,123,69.6,123,,,3 13 17 11 15 5 7 1 9 18 16 6 10 12 2 8 4 14
Island Hills Country Club,NY,Sayville,Back,71.2,126,,,6471,,3 11 5 7 15 17 13 1 9 16 10 4 14 18 12 2 8 6
