"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Fort Sill Golf Course","OK","Fort Still, OK","Blue","71","123","","","6592","4 4 5 3 4 3 5 4 4 3 5 4 4 5 3 4 4 4","10 8 18 2 16 4 14 12 6 13 17 9 3 11 15 7 1 5"
"Fort Sill Golf Course","OK","Fort Still, OK","Gold","63.6","102","","","5921","4 4 5 3 4 3 5 4 4 3 5 4 4 5 3 4 4 4","10 8 18 2 16 4 14 12 6 13 17 9 3 11 15 7 1 5"
"Fort Sill Golf Course","OK","Fort Still, OK","White","67.7","115","","","5079","4 4 5 3 4 3 5 4 4 3 5 4 4 5 3 4 4 4","10 8 18 2 16 4 14 12 6 13 17 9 3 11 15 7 1 5"
"Fort Sill Golf Course","OK","Fort Still, OK","Red","","","66.4","107","4495","4 4 5 3 4 3 5 4 4 3 5 4 4 5 3 4 4 4","10 8 18 2 16 4 14 12 6 13 17 9 3 11 15 7 1 5"
"Lakeside Memorial Golf Course","OK","Stillwater, OK","Black","72.8","126","","","6756","4 4 5 4 4 3 4 3 4 3 4 3 5 4 5 4 4 3","5 3 1 13 11 9 15 7 17 6 16 14 18 12 10 4 2 8"
"Lakeside Memorial Golf Course","OK","Stillwater, OK","Blue","70.1","124","","","6170","4 4 5 4 4 3 4 3 4 3 4 3 5 4 5 4 4 3","5 3 1 13 11 9 15 7 17 6 16 14 18 12 10 4 2 8"
"Lakeside Memorial Golf Course","OK","Stillwater, OK","White","66.2","113","70.9","121","5135","4 4 5 4 4 3 4 3 4 3 4 3 5 4 5 4 4 3","5 3 1 13 11 9 15 7 17 6 16 14 18 12 10 4 2 8"
"Lakeside Memorial Golf Course","OK","Stillwater, OK","Orange","","","68.2","116","4647","4 4 5 4 4 3 4 3 4 3 4 3 5 4 5 4 4 3","5 3 1 13 11 9 15 7 17 6 16 14 18 12 10 4 2 8"
"Kickingbird Golf Course","OK","OK","Gold","72.6","118","","","6722","4 4 3 5 4 3 4 4 4 4 3 5 4 3 5 3 4 4","6 18 14 12 2 16 10 8 4 13 11 17 3 7 5 15 9 1"
"Kickingbird Golf Course","OK","OK","Blue","70.3","114","","","6285","4 4 3 5 4 3 4 4 4 4 3 5 4 3 5 3 4 4","6 18 14 12 2 16 10 8 4 13 11 17 3 7 5 15 9 1"
"Kickingbird Golf Course","OK","OK","White","67.6","111","","","5768","4 4 3 5 4 3 4 4 4 4 3 5 4 3 5 3 4 4","6 18 14 12 2 16 10 8 4 13 11 17 3 7 5 15 9 1"
"Kickingbird Golf Course","OK","OK","Red","69.3","112","","","5051","4 4 3 5 4 3 4 4 4 4 3 5 4 3 5 3 4 4","6 18 14 12 2 16 10 8 4 13 11 17 3 7 5 15 9 1"
"Hidden Trails Golf & Country Club","OK","Oklahoma City, OK","Blue","71.2","126","","","6450","4 3 5 4 3 4 4 4 4 5 4 3 5 3 4 4 5 4","7 5 17 3 15 1 11 13 9 12 2 10 16 8 4 18 14 6"
"Hidden Trails Golf & Country Club","OK","Oklahoma City, OK","White","69.1","118","","","6084","4 3 5 4 3 4 4 4 4 5 4 3 5 3 4 4 5 4","7 5 17 3 15 1 11 13 9 12 2 10 16 8 4 18 14 6"
