name,state,city
The Wizard / Man O' War Golf Course,SC,Myrtle Beach
Pine Lakes Golf Club,SC,Myrtle Beach
Redbank Plantation Golf Course,SC,Charleston
Lakeview Golf Club,SC,Piedmont
Riverside Golf Course,SC,Greenville
Whispering Pines Golf Course,SC,Myrtle Beach
Cane Patch Driving Range,SC,Myrtle Beach
King's North at Myrtle Beach National,SC,Myrtle Beach
MB National Kings North GC,SC,Conway
RiverTowne Country Club,SC,Mt Pleasant
Wrenwoods Golf Course,SC,North Charleston
Bloody Point,SC,Daufuskie Island
Winthrop University Golf Course,SC,Rock Hill
Country Club of Charleston,SC,Charleston
Boscobel Golf Club,SC,Pendleton
River Chase Golf Club,SC,Union
The Country Club of Spartanburg,SC,Spartanburg
Tupelo Bay,SC,Murrells Inlet
Cobblestone Park Golf Club,SC,Blythewood
Fort Jackson Golf Club,SC,Columbia
Charwood Golf Club,SC,West Columbia
Carolina Springs Golf Club,SC,Fountain Inn
Beaver Creek Golf Club,SC,Darlington
Cliffs Valley Golf Course,SC,Travelers Rest
Yeaman's Hall Club Golf Course,SC,Hanahan
Mountain Park Golf,SC,The Cliffs Valley
Saluda Valley Golf Course,SC,Williamston
Arcadian Shores Golf Club,SC,Myrtle Beach
Woodfin Ridge Golf Club,SC,Inman
Cokesbury Hills Golf Course,SC,Hodges
Country Club of Newberry,SC,Newberry
Keowee Springs Golf Course,SC,Keowee Key
Country Club of Lexington,SC,Lexington
Mid Carolina Club,SC,Prosperity
Riverside Golf Center Driving Range,SC,Columbia
Hidden Valley Golf Club,SC,Gaston
Sedgewood Country Club,SC,Hopkins
Indian Trail Golf Course,SC,Batesburg-Leesville
Country Club of Gaffney,SC,Gaffney
Village Greens Golf Club,SC,Gramling
Dunes Golf & Beach Club,SC,Myrtle Beach
Crystal Lake Golf Course,SC,Sumter
Linrick Golf Course,SC,Columbia
Beech Creek Golf Club,SC,Sumter
Kershaw Golf Course,SC,Kershaw
Three Pines Country Club,SC,Woodruff
Hampton Country Club,SC,Hampton
Cherry Hill Country Club,SC,Andrews
White Plains Country Club,SC,Pageland
Chesnee Country Club,SC,Chesnee
Chester Golf Club,SC,Chester
Old Sawmill Golf Club,SC,Ridgeville
Olde Eight Golf Club,SC,Greenwood
Wild Dunes - Links Course,SC,Isle of Palms
Wild Dunes - Harbor Course,SC,Isle of Palms
Anson Point Golf Course,SC,Bluffton
Southern Oaks,SC,Easley
Oakdale Golf Course,SC,Florence
Grande Dunes Members Course,SC,Myrtle Beach
Hollow Creek,SC,Aiken
Cedar Creek Golf Club,SC,Aiken
Paris Mountain Country Club,SC,Greenville
3's Greenville Golf & Gril,SC,Greenville
Holly Tree Country Club,SC,Simpsonville
Furman University Golf Course,SC,Greenville
Woodcreek,SC,Elgin
WildeWood,SC,Columbia
The Preserve at Verdae Golf Club,SC,Greenville
The Carolina Country Club,SC,Spartanburg
Smithfields Country Club,SC,Easley
Cherokee Valley Golf Club,SC,Travelers Rest
The Traces Golf Club,SC,Florence
Cobbs Glen Country Club,SC,Anderson
Golden Bear Golf Club at Indigo Run,SC,Hilton Head Island
Willow Creek Golf Club,SC,Greer
Green Valley Country Club,SC,Greenville
Golden Hills Golf & Country Club,SC,Lexington
The Club at Pine Forest,SC,Summerville
Lakeside Country Club,SC,Laurens
The Rock Golf Course And Resort,SC,Pickens
Spanish Wells Golf Club,SC,Hilton Head Island
Port Royal Robber's Row Golf Course,SC,Hilton Head Island
Wexford Golf Club,SC,Hilton Head Island
Monticello Golf Club,SC,McCormick
Musgrove Mill Golf Club,SC,Clinton
Love Course,SC,Longs
The Club at Brookstone,SC,Anderson
River Falls Plantation,SC,Duncan
Ocean Creek Golf Course,SC,Fripp Island
Greer Golf,SC,Greer
Links At Lakewood,SC,Sumter
Moss Creek South Course,SC,Hilton Head Island
Moss Creek North Course,SC,Hilton Head Island
Rose Hill Golf Club,SC,Bluffton
Pickens Golf Club,SC,Pickens
Cheraw State Park Golf Course,SC,Cheraw
Country Club of Hilton Head,SC,Hilton Head Island
Golf at Glassy,SC,The Cliffs Valley
Surf Golf & Beach Club,SC,North Myrtle Beach
Fox Run Country Club,SC,Simpsonville
Legend Oaks Golf Club,SC,Summerville
