name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
The Wizard / Man O' War Golf Course,SC,Myrtle Beach,Championship,72.0,125,,,6721,5 3 4 3 4 3 5 4 4 4 5 3 4 5 4 4 3 4,1 15 7 17 9 13 3 5 11 14 4 18 10 2 12 6 16 8
The Wizard / Man O' War Golf Course,SC,Myrtle Beach,Regular,69.3,118,,,6138,5 3 4 3 4 3 5 4 4 4 5 3 4 5 4 4 3 4,1 15 7 17 9 13 3 5 11 14 4 18 10 2 12 6 16 8
The Wizard / Man O' War Golf Course,SC,Myrtle Beach,Senior,66.3,108,,,5547,5 3 4 3 4 3 5 4 4 4 5 3 4 5 4 4 3 4,1 15 7 17 9 13 3 5 11 14 4 18 10 2 12 6 16 8
The Wizard / Man O' War Golf Course,SC,Myrtle Beach,Ladies (W),71.2,121,71.2,121,,5 3 4 3 4 3 5 4 4 4 5 3 4 5 4 4 3 4,1 15 7 17 9 13 3 5 11 14 4 18 10 2 12 6 16 8
Pine Lakes Golf Club,SC,Myrtle Beach,Tee #4,72.3,134,,,6675,4 3 4 4 5 4 4 3 4 5 3 4 4 4 4 3 4 4,15 9 1 17 3 7 13 5 11 10 18 8 4 2 16 14 12 6
Pine Lakes Golf Club,SC,Myrtle Beach,Tee #3,70.5,128,,,6305,4 3 4 4 5 4 4 3 4 5 3 4 4 4 4 3 4 4,15 9 1 17 3 7 13 5 11 10 18 8 4 2 16 14 12 6
Pine Lakes Golf Club,SC,Myrtle Beach,Tee #2,68.1,120,74.0,131,5756,4 3 4 4 5 4 4 3 4 5 3 4 4 4 4 3 4 4,15 9 1 17 3 7 13 5 11 10 18 8 4 2 16 14 12 6
Pine Lakes Golf Club,SC,Myrtle Beach,Tee #1,68.6,111,,,4758,4 3 4 4 5 4 4 3 4 5 3 4 4 4 4 3 4 4,15 9 1 17 3 7 13 5 11 10 18 8 4 2 16 14 12 6
Redbank Plantation Golf Course,SC,Charleston,Blue,66.5,118,,,5741,4 4 4 3 5 5 4 4 4 4 4 4 4 4 3 4 3 3,11 5 1 17 13 15 7 9 3 10 12 6 14 16 18 8 2 4
Redbank Plantation Golf Course,SC,Charleston,White,64.8,113,,,5382,4 4 4 3 5 5 4 4 4 4 4 4 4 4 3 4 3 3,11 5 1 17 13 15 7 9 3 10 12 6 14 16 18 8 2 4
Redbank Plantation Golf Course,SC,Charleston,Red,66.9,111,,,4628,4 4 4 3 5 5 4 4 4 4 4 4 4 4 3 4 3 3,11 5 1 17 13 15 7 9 3 10 12 6 14 16 18 8 2 4
Patriot Point Links on Charleston Harbor,SC,Mount Pleasant,Blue,74.1,137,,,6868,4 4 3 5 4 5 3 4 4 4 4 4 5 3 4 4 3 5,13 7 15 9 1 3 17 5 11 10 6 18 8 16 14 2 12 4
Lakeview Golf Club,SC,Piedmont,Blue,69.6,116,,,6455,,3 13 11 1 17 7 15 5 9 6 12 14 2 16 18 4 10 8
Lakeview Golf Club,SC,Piedmont,White,66.4,110,,,6016,,3 13 11 1 17 7 15 5 9 6 12 14 2 16 18 4 10 8
Riverside Golf Course,SC,Greenville,Blue,72.5,139,,,6660,4 3 4 4 4 5 5 3 4 4 4 4 3 4 5 4 3 4,4 16 6 10 8 2 12 18 14 3 1 9 15 11 7 5 17 13
Whispering Pines Golf Course,SC,Myrtle Beach,Blue,73.2,129,,,6771,4 3 5 4 4 3 5 4 4 4 3 5 4 5 4 4 3 4,10 18 2 14 4 16 6 8 12 11 15 1 13 5 7 9 17 3
Whispering Pines Golf Course,SC,Myrtle Beach,White,70.9,126,,,6245,4 3 5 4 4 3 5 4 4 4 3 5 4 5 4 4 3 4,10 18 2 14 4 16 6 8 12 11 15 1 13 5 7 9 17 3
Whispering Pines Golf Course,SC,Myrtle Beach,Gold,67.1,116,,,5497,4 3 5 4 4 3 5 4 4 4 3 5 4 5 4 4 3 4,10 18 2 14 4 16 6 8 12 11 15 1 13 5 7 9 17 3
Whispering Pines Golf Course,SC,Myrtle Beach,Red (W),70.6,123,70.6,123,,4 3 5 4 4 3 5 4 4 4 3 5 4 5 4 4 3 4,10 18 2 14 4 16 6 8 12 11 15 1 13 5 7 9 17 3
King's North at Myrtle Beach National,SC,Myrtle Beach,Black,74.2,137,,,7017,5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3,10 8 12 16 14 2 6 18 4 13 11 17 3 9 1 7 15 5
King's North at Myrtle Beach National,SC,Myrtle Beach,Gold,71.1,131,,,6481,5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3,10 8 12 16 14 2 6 18 4 13 11 17 3 9 1 7 15 5
King's North at Myrtle Beach National,SC,Myrtle Beach,Green (W),76.4,148,76.4,148,,5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3,10 8 12 16 14 2 6 18 4 13 11 17 3 9 1 7 15 5
King's North at Myrtle Beach National,SC,Myrtle Beach,White,69.3,125,,,6024,5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3,10 8 12 16 14 2 6 18 4 13 11 17 3 9 1 7 15 5
King's North at Myrtle Beach National,SC,Myrtle Beach,Blue,67.5,118,72.0,127,5662,5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3,10 8 12 16 14 2 6 18 4 13 11 17 3 9 1 7 15 5
King's North at Myrtle Beach National,SC,Myrtle Beach,Red (W),67.4,113,67.4,113,,5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3,10 8 12 16 14 2 6 18 4 13 11 17 3 9 1 7 15 5
MB National Kings North GC,SC,Conway,Black,72.6,136,,,7017,,
RiverTowne Country Club,SC,Mt Pleasant,Championship,74.9,147,,,7188,,12 14 8 10 4 16 6 18 2 11 7 1 9 15 3 13 17 5
RiverTowne Country Club,SC,Mt Pleasant,Medal,72.4,135,,,6679,,12 14 8 10 4 16 6 18 2 11 7 1 9 15 3 13 17 5
RiverTowne Country Club,SC,Mt Pleasant,Member,70.1,125,,,6267,,12 14 8 10 4 16 6 18 2 11 7 1 9 15 3 13 17 5
